canonical_name,alias_name
Dr. Woodford Freeman,
Dr. Woodford Freeman,Freeman
Dr. Woodford Freeman,Dr. Freeman
Dr. Woodford Freeman,Woodford Freeman
Dr. Chappie Artemus,
Dr. Chappie Artemus,Artemus
Dr. Chappie Artemus,Dr. Artemus
Dr. Chappie Artemus,Chappie Artemus
Dr. Jonathan Simon,
Dr. Jonathan Simon,Simon
Dr. Jonathan Simon,Dr. Simon
Dr. Jonathan Simon,Jonathan Simon
Dr. Pepys Cropper,
Dr. Pepys Cropper,Cropper
Dr. Pepys Cropper,Dr. Cropper
Julius D'Arblay,
Julius D'Arblay,Darblay
Julius D'Arblay,D'Arblay
Julius D'Arblay,J. D'Arblay
Mr. J. D'Arblay,
Mr. J. D'Arblay,Mr. D'Arblay
Miss D'Arblay,
Miss D'Arblay,Miss Darblay
Pepper Dewsnep,
Pepper Dewsnep,Dewsnep
Mr. Dewsnep',
Mr. Dewsnep',Mr Dewsnep'
Mr. Dewsnep',Mr. Dewsnep
Mrs. Dewsnep,
Mrs. Dewsnep,Mrs Dewsnep
Simon Roettier,
Slingsby Jove,
John Pylorus,
Simon Gray,
Simon Gray,Gray
Simon Gray,Mr Gray
Simon Gray,Mr. Gray
J. Dewsnep,
R (Barber),
Barber R,
Barber R,Mr. R
Barber R,Mr. R.
Superintendent Hollands,
Superintendent Hollands,Hollands
Professor Stephen,
Inspector Solomon,
Inspector Solomon,Solomon
Sergeant James,
Sergeant James,James
Miss Carolus,
Miss Carolus,Carolus
Mr. Arabella,
Dr. Diogenes,
Mr. Hollands,
Sergeant Man,
Miss Sarah,
Miss Sarah,Sarah
Mrs. Usher,
Dr. Porter,
Dr. Porter,Porter
Mr. Miller,
Mr. Miller,Miller
Mr. Martha,
Mr. Martha,Martha
Bonington,
Woodford,
Bronzino,
Miss Van,
Miss Van,Van
Bendelow,
Garroll,
Cornish,
Vandyke,
Pepper,
Wilson,
Polton,
Susan,
Lewis,
Crile,
Boler,
Plonk,
Gawd,
Anne,
Tee,
Fox,
thorndyke,
follett,
marion,
morris,
god,
daddy,
zellen,
hoxton,
darblays,
carroll,
act,
jenks,
