node,is_victim,pagerank,victim_connection_weight,degree,strength
Anne,0,0.014805147955719519,0,4,5.0
Barber R,0,0.008514531931571194,0,2,2.0
Bendelow,0,0.008156891458513704,0,2,2.0
Boler,0,0.019579302374713333,5,4,8.0
Cornish,0,0.01388998378628083,0,5,5.0
Crile,0,0.006889999892908847,0,1,1.0
Dr. Chappie Artemus,0,0.03700229180045064,0,8,13.0
Dr. Jonathan Simon,0,0.16164030007597432,4,19,76.0
Dr. Pepys Cropper,0,0.025085119933209273,0,4,8.0
Dr. Porter,0,0.012801069765390818,0,3,3.0
Dr. Woodford Freeman,0,0.03551448239844669,1,7,15.0
Garroll,0,0.01017316525757513,0,2,2.0
Gawd,0,0.011529920671892024,0,3,3.0
John Pylorus,0,0.01514198705276229,0,1,6.0
Lewis,0,0.006889999892908847,0,1,1.0
Miss Carolus,0,0.034438919404377294,0,7,16.0
Miss D'Arblay,0,0.0188872012062108,7,2,8.0
Miss Sarah,0,0.042264575348737,0,7,20.0
Miss Van,0,0.030637795204095125,5,5,10.0
Mr. J. D'Arblay,1,0.07786804304929738,0,8,37.0
Mr. Martha,0,0.07773097935751717,13,8,38.0
Pepper,0,0.013011135199497665,0,2,3.0
Pepper Dewsnep,0,0.04919608606084744,1,9,19.0
Polton,0,0.006964590432981893,0,1,1.0
Sergeant James,0,0.011041933547306967,0,2,2.0
Sergeant Man,0,0.011041933547306967,0,2,2.0
Simon Gray,0,0.10430158951282735,0,13,49.0
Slingsby Jove,0,0.0060244799891757145,0,1,1.0
Superintendent Hollands,0,0.050977422512725565,1,9,21.0
Susan,0,0.01388998378628083,0,5,5.0
Wilson,0,0.009616452162293378,0,1,2.0
Woodford,0,0.022061117269425168,0,5,7.0
act,0,0.016192133380143324,0,4,4.0
daddy,0,0.009534281643572125,0,2,2.0
morris,0,0.0067051531370631925,0,1,1.0
