char_id,name,story_title
1,D'Arblay,The D'Arblay Mystery
2,R. Austin Freeman,The D'Arblay Mystery
3,Dr. Segel,The D'Arblay Mystery
4,Mr. Blunt,The D'Arblay Mystery
5,Inspector Zendaya,The D'Arblay Mystery
6,Taika Gable,The D'Arblay Mystery
7,Taika Brown,The D'Arblay Mystery
8,Segel,The D'Arblay Mystery
9,Maiden,The D'Arblay Mystery
10,Paltrow,The D'Arblay Mystery
11,Girl,The D'Arblay Mystery
12,Pray,The D'Arblay Mystery
13,I,The D'Arblay Mystery
14,you,The D'Arblay Mystery
15,she,The D'Arblay Mystery
16,me,The D'Arblay Mystery
17,She,The D'Arblay Mystery
18,the daughter of the dead man,The D'Arblay Mystery
19,the coroner,The D'Arblay Mystery
20,the girl,The D'Arblay Mystery
21,The man,The D'Arblay Mystery
22,his daughter,The D'Arblay Mystery
23,the inspector,The D'Arblay Mystery
24,Julius D'Arblay,The D'Arblay Mystery
25,Heard D'Arblay,The D'Arblay Mystery
26,Miss D'Arblay,The D'Arblay Mystery
27,Dr. Cummings Segel,The D'Arblay Mystery
28,Astin,The D'Arblay Mystery
29,Chappelle,The D'Arblay Mystery
30,Akerman,The D'Arblay Mystery
31,Mr. Akerman,The D'Arblay Mystery
32,Beckinsale,The D'Arblay Mystery
33,Norton,The D'Arblay Mystery
34,Miss Roberts,The D'Arblay Mystery
35,Doctor,The D'Arblay Mystery
36,Shyamalan Chappelle,The D'Arblay Mystery
37,Dr. Chappelle,The D'Arblay Mystery
38,the witness,The D'Arblay Mystery
39,her father,The D'Arblay Mystery
40,Bassey,The D'Arblay Mystery
41,Professor Bassey,The D'Arblay Mystery
42,deceased,The D'Arblay Mystery
43,the foreman,The D'Arblay Mystery
44,coroner,The D'Arblay Mystery
45,Miss Heard,The D'Arblay Mystery
46,Blige,The D'Arblay Mystery
47,Roberts,The D'Arblay Mystery
48,Blunt,The D'Arblay Mystery
49,Dr. Norton,The D'Arblay Mystery
50,Dr. Shyamalan Chappelle,The D'Arblay Mystery
51,Mccarthy Parsons,The D'Arblay Mystery
52,Waller,The D'Arblay Mystery
53,Parsons,The D'Arblay Mystery
54,Dr. Jordan Dehaan,The D'Arblay Mystery
55,Dr. Dehaan,The D'Arblay Mystery
56,Mrs. Parsons,The D'Arblay Mystery
57,Simon Blunt,The D'Arblay Mystery
58,Mr. Parsons,The D'Arblay Mystery
59,Zendaya,The D'Arblay Mystery
60,Cumming Segel,The D'Arblay Mystery
61,Won't you,The D'Arblay Mystery
62,he,The D'Arblay Mystery
63,my boy,The D'Arblay Mystery
64,Downey,The D'Arblay Mystery
65,Charles the Second,The D'Arblay Mystery
66,Nicholson Barlow,The D'Arblay Mystery
67,Mr. D'Arblay,The D'Arblay Mystery
68,Larrykin,The D'Arblay Mystery
69,Atkinson,The D'Arblay Mystery
70,Black,The D'Arblay Mystery
71,Mr. Astin,The D'Arblay Mystery
72,Cummings Dunaway,The D'Arblay Mystery
73,Dunaway,The D'Arblay Mystery
74,Cyndi,The D'Arblay Mystery
75,Kimmel Plummer,The D'Arblay Mystery
76,Iger Elizabeth Parsons,The D'Arblay Mystery
77,Johansson Giamatti,The D'Arblay Mystery
78,Quaid Bohemian,The D'Arblay Mystery
79,Charles,The D'Arblay Mystery
80,Miss Giamatti,The D'Arblay Mystery
81,Miss Bohemian,The D'Arblay Mystery
82,Dehaan,The D'Arblay Mystery
83,Giamatti,The D'Arblay Mystery
84,My husband,The D'Arblay Mystery
85,None,The D'Arblay Mystery
86,Morrises,The D'Arblay Mystery
87,Mr Parsons,The D'Arblay Mystery
88,Dr. Barlow,The D'Arblay Mystery
89,Franco,The D'Arblay Mystery
90,Barlow,The D'Arblay Mystery
91,Woodley,The D'Arblay Mystery
92,Miss D’Arblay,The D'Arblay Mystery
93,Heard,The D'Arblay Mystery
94,Shyamalan,The D'Arblay Mystery
95,D’Arblay,The D'Arblay Mystery
96,W-i-n-d-e-r winder,The D'Arblay Mystery
97,Emmerich,The D'Arblay Mystery
98,Cooper,The D'Arblay Mystery
99,Murdoch,The D'Arblay Mystery
100,Sir,The D'Arblay Mystery
101,J. D'Arblay,The D'Arblay Mystery
102,Plummer Case,The D'Arblay Mystery
103,Mr Astin,The D'Arblay Mystery
104,Kentish Town,The D'Arblay Mystery
105,perdu,The D'Arblay Mystery
106,Mr. Irwin,The D'Arblay Mystery
107,the officer,The D'Arblay Mystery
108,constable,The D'Arblay Mystery
109,Detective-Superintendent Rourke,The D'Arblay Mystery
110,Rourke,The D'Arblay Mystery
111,Pryor Cooper,The D'Arblay Mystery
112,Dano,The D'Arblay Mystery
113,Superintendent,The D'Arblay Mystery
114,Tyrese Thompson,The D'Arblay Mystery
115,Dr. Corbin,The D'Arblay Mystery
116,Corbin,The D'Arblay Mystery
117,Theron,The D'Arblay Mystery
118,Mr. Cooper,The D'Arblay Mystery
119,Superintendent Rourke,The D'Arblay Mystery
120,Bohemian,The D'Arblay Mystery
121,Mr. Dookie,The D'Arblay Mystery
122,Mr. Rourke,The D'Arblay Mystery
123,Bening,The D'Arblay Mystery
124,Iger,The D'Arblay Mystery
125,Thomas,The D'Arblay Mystery
126,Detective-sergeant Ice,The D'Arblay Mystery
127,Hudson,The D'Arblay Mystery
128,Elgort,The D'Arblay Mystery
129,Ice,The D'Arblay Mystery
130,Sergeant,The D'Arblay Mystery
131,victim,The D'Arblay Mystery
132,Madame Tussaud’s,The D'Arblay Mystery
133,the snuff-taker,The D'Arblay Mystery
134,Cornishes',The D'Arblay Mystery
135,the spinsters,The D'Arblay Mystery
136,Mrs. Blunt,The D'Arblay Mystery
137,Mrs. Bradbury,The D'Arblay Mystery
138,Mon Blunt,The D'Arblay Mystery
