character1,character2,count
Lady Frances,Lady Frances Carfax,9
Dr. Watson,Mr. Sherlock Holmes,4
Marie,Miss Marie Devine,4
Lestrade,Mr. Sherlock Holmes,2
Baden,Holy Peters,1
Baden,Lady Frances,1
Baden,Lady Frances Carfax,1
Baden,Mr. Sherlock Holmes,1
Baden,Mrs. Shlessinger,1
Dr. Watson,god,1
Dr. Watson,lausanne,1
Holy Peters,Mr. Sherlock Holmes,1
Holy Peters,Mrs. Shlessinger,1
Holy Peters,henry,1
Lady Frances,Marie,1
Lady Frances,Miss Dobney,1
Lady Frances,Miss Marie Devine,1
Lady Frances,Mr. Sherlock Holmes,1
Lady Frances,Philip Green,1
Lady Frances,arthur,1
Lady Frances,doyle,1
Lady Frances,god,1
Lady Frances,lausanne,1
Lady Frances,shlessingers,1
Lady Frances Carfax,Marie,1
Lady Frances Carfax,Miss Marie Devine,1
Lady Frances Carfax,arthur,1
Lady Frances Carfax,doyle,1
Lady Frances Carfax,lausanne,1
Marie,Mr. Sherlock Holmes,1
Marie,lausanne,1
Mr. Sherlock Holmes,Mrs. Shlessinger,1
Stimson,co,1
al,haines,1
arthur,doyle,1
brannan,david,1
