character1,character2,count
m,on,18
frog,on,9
inspector,on,8
new,on,7
london,on,6
Joshua Washington,on,4
brown,on,4
Joshua Washington,m,3
elsham,wood,3
great,on,3
inspector,m,3
Joshua Washington,broad,2
Joshua Washington,london,2
Ward Smith,m,2
broad,inspector,2
broad,on,2
frog,frogs,2
moore,on,2
mud,ten,2
new,peace,2
new,wood,2
on,ten,2
on,worth,2
philosopher,ten,2
Ella Bennett,on,1
Joshua Washington,bill,1
Joshua Washington,frog,1
Joshua Washington,frogs,1
Joshua Washington,inspector,1
Joshua Washington,james,1
Joshua Washington,ten,1
Thomas,bones,1
Thomas,frog,1
Thomas,great,1
Thomas,heine,1
Thomas,judgment,1
Thomas,peace,1
Thomas,ten,1
Ward Smith,new,1
Ward Smith,on,1
bill,on,1
bones,heine,1
bones,judgment,1
bones,peace,1
bones,ten,1
broad,ten,1
dad,m,1
elsham,hagn,1
frog,great,1
frog,james,1
frog,m,1
frog,wood,1
frogs,james,1
frogs,maitlands,1
god,on,1
great,judgment,1
great,m,1
hagn,wood,1
heine,judgment,1
heine,peace,1
heine,ten,1
holmes,on,1
inspector,london,1
james,m,1
james,on,1
judgment,peace,1
judgment,ten,1
london,m,1
m,new,1
m,ten,1
m,terrace,1
mud,new,1
mud,on,1
on,peace,1
on,philosopher,1
on,seven,1
on,terrace,1
on,whiskers,1
on,wood,1
peace,ten,1
seven,whiskers,1
