node,is_victim,pagerank,victim_connection_weight,degree,strength
Alastor Sorting,0,0.004988068402799419,0,2,14.0
Andromeda,0,0.006465492542288995,0,16,36.0
Angelina,0,0.0014739824393603957,0,1,1.0
Arthur Holmes,0,0.0011914030950327197,0,1,1.0
Bathilda,0,0.014437675524257036,0,19,95.0
Bathilda Dumbledore,0,0.013160668586914446,0,19,86.0
Bellatrix,0,0.0012660506581550965,0,1,1.0
Bennetts,0,0.0011914030950327197,0,1,1.0
Binns,0,0.0024499708621600943,0,8,9.0
Black,0,0.002584961848245153,0,6,11.0
Boggart,0,0.025595709971692505,0,42,149.0
Boy,0,0.01025084319357789,0,28,53.0
Buckbeak,0,0.001308148672673611,0,2,2.0
Butcher,0,0.0024346596300996192,0,1,1.0
Captain,0,0.015036101810768681,0,25,98.0
Captain Queenie,0,0.04413301020909503,0,46,298.0
Captain Weasley,0,0.0017266363223375422,0,5,5.0
Caverley House,0,0.0029442559719212195,0,10,13.0
Chamber Crimes,0,0.0038202189848653423,0,8,8.0
Chief Commissioner,0,0.002256028909682656,0,3,3.0
Chief Constable,0,0.0019357417656820622,0,4,4.0
Child,0,0.004110575642156274,0,10,19.0
Child Pomona,0,0.001775064724186501,0,4,4.0
Chimaera,0,0.005946754000322997,0,18,31.0
Collett-Vernon,0,0.001641878407928355,0,4,4.0
Colonel McClintock,0,0.0013338551411143905,0,1,2.0
Cursed,0,0.0015506865569841148,0,3,3.0
Deathly,0,0.009361810138168556,0,20,57.0
Detective-Inspector,0,0.0018653142986598302,0,3,3.0
Dick,0,0.0011949616235414045,0,1,1.0
Dicky-Orum,0,0.001287045413884029,0,1,1.0
Dobby,0,0.0013355081324101087,0,2,2.0
Draco,0,0.0035187007656434202,0,8,15.0
Draco Pomona,0,0.022151838392182696,0,38,133.0
Dudley Find,0,0.012526263386113658,0,30,70.0
Eldor Street,0,0.003235675382062521,0,7,15.0
Ella Bennett,0,0.0013416072524184016,0,2,2.0
Express,0,0.001825494221098231,0,5,5.0
Fitzroy,0,0.0035427751937732047,0,8,13.0
Foreign Secretary,0,0.0018653142986598302,0,3,3.0
George,0,0.0013338357396270248,0,2,2.0
Gilderoy,0,0.001187576373189712,0,1,1.0
Governor,0,0.003510265787257764,0,12,16.0
Graphorn Gables,0,0.0026163096166841515,0,5,9.0
Gryffindor,0,0.0011914030950327197,0,1,1.0
Hat,0,0.00470659751056605,0,11,24.0
Hermione,0,0.004201994526185878,0,12,15.0
Horklump,0,0.0030560437038231105,0,5,5.0
Inspector Narcissa,0,0.0781230658149801,0,75,479.0
James,0,0.004341533149836733,0,14,18.0
James Find,0,0.0029827112474561483,0,8,12.0
Kreacher,0,0.0021916586101580794,0,2,2.0
Krum,0,0.0019483839960286022,0,5,5.0
Lady FitzHerman,0,0.0018479066841968986,0,3,3.0
Leaford Road,0,0.001598694448055382,0,2,4.0
Lily,0,0.001774037785628662,0,4,5.0
Lord Umbridge,0,0.0027566050898941642,0,9,11.0
Lucius,0,0.0018959710787803258,0,3,6.0
Mabberley Hall,0,0.0018479066841968986,0,3,3.0
Manticore,0,0.0106020788853659,0,24,63.0
Maytree,0,0.004129142008788674,0,12,18.0
Minerva Weasley,0,0.06629110162910959,0,69,412.0
Minister,0,0.0028424700407870167,0,7,13.0
Miss Nimbus Tournament,0,0.008184082103445109,0,18,51.0
Miss Order Them,0,0.012151425559971701,0,18,76.0
Mr. Malfoy,0,0.001185710520341157,0,1,1.0
Mr. Patronus Ron,0,0.013090142879389888,0,32,75.0
Mr. Prisoner Triwizard,0,0.019969681850172692,0,37,113.0
Mr. Seeker,0,0.015228753511079638,0,24,95.0
Mr. Wizarding Them,0,0.010976569638166313,0,14,72.0
Nimbus,0,0.016802591751077567,0,28,103.0
No,0,0.030611362531245072,0,47,191.0
Number Graphorn,0,0.006265351815238059,0,12,29.0
Orchard Street,0,0.0016891102832854309,0,1,1.0
Order,0,0.017604556976763622,0,27,108.0
Paddington,0,0.0025548535888276656,0,8,10.0
Padma Harry,0,0.0013338551411143905,0,1,2.0
Parvati,0,0.003739640323561757,0,7,8.0
Parvati Prince Sorting,0,0.0072179124801356916,0,9,23.0
Parvati Smith,0,0.0016102786622730078,0,2,2.0
Pentonville,0,0.003023025087189269,0,8,11.0
Petunia,0,0.0013415166628373467,0,2,2.0
Philosopher Cissa,0,0.006993006993006993,0,1,1.0
Prince Them!,0,0.010384259277181352,0,28,59.0
Queen Dennis,0,0.0013405243819991682,0,2,2.0
Quibbler Longbottom,0,0.0030560437038231105,0,5,5.0
Remus,0,0.003220580060556184,0,8,15.0
Riddle,0,0.0057318718844371255,0,13,31.0
Rose,0,0.008966316809287849,0,24,52.0
Rose Consolidated,0,0.0035404860395957627,0,7,17.0
Rubeus Azkaban,0,0.0021916586101580794,0,2,2.0
Secretary of State,0,0.0030718998930057318,0,6,15.0
