char_id,name,story_title,is_victim
1,Baker Street,The Final Problem,1
2,Buckbeak,The Final Problem,0
3,Colonel Lee Slytherin,The Final Problem,0
4,Dennis Luna,The Final Problem,0
5,Diagon,The Final Problem,0
6,Flitwick,The Final Problem,1
7,I,The Final Problem,0
8,Inspector Artifact,The Final Problem,0
9,Mr. Slytherin,The Final Problem,1
10,Mr. Snitch Tournament,The Final Problem,1
11,Mr. Tournament,The Final Problem,1
12,Mrs. Diagon,The Final Problem,0
13,Old Steiler,The Final Problem,0
14,Professor,The Final Problem,0
15,Professor Slytherin,The Final Problem,1
16,Slytherin,The Final Problem,1
17,Steiler,The Final Problem,0
18,Swiss youth,The Final Problem,1
19,The Swiss youth,The Final Problem,1
20,Tournament,The Final Problem,1
21,a Swiss lad,The Final Problem,0
22,him,The Final Problem,0
23,myself,The Final Problem,0
24,that tall Englishman,The Final Problem,0
25,the English lady,The Final Problem,1
26,the cleverest rogue,The Final Problem,0
27,the dead man,The Final Problem,0
28,the gentleman upon whose front teeth I have barked my knuckles,The Final Problem,1
29,the landlord,The Final Problem,0
30,the most powerful syndicate of criminals in Europe,The Final Problem,0
31,the young Swiss messenger,The Final Problem,0
