char_id,name,story_title
1,Mr. Nikita Nandita,The Final Problem
2,Colonel Chaitanya Ramesh,The Final Problem
3,Professor Ramesh,The Final Problem
4,Nandita,The Final Problem
5,Nitin,The Final Problem
6,Parvathy,The Final Problem
7,Mrs. Parvathy,The Final Problem
8,Ramesh,The Final Problem
9,ted,The Final Problem
10,Mr. Nandita,The Final Problem
11,ason,The Final Problem
12,Anaya,The Final Problem
13,Lavanya,The Final Problem
14,Varsha Niharika,The Final Problem
15,Reichenbach,The Final Problem
16,Steiler,The Final Problem
17,Tarun,The Final Problem
18,Inspector Imran,The Final Problem
19,Nikita Nandita,The Final Problem
