char_id,name,story_title
1,Sherlock Holmes,The Five Orange Pips
2,Grice Patersons,The Five Orange Pips
3,Clark Russell,The Five Orange Pips
4,Holmes,The Five Orange Pips
5,Major Prendergast,The Five Orange Pips
6,John Openshaw,The Five Orange Pips
7,Elias,The Five Orange Pips
8,Joseph,The Five Orange Pips
9,Colonel,The Five Orange Pips
10,Uncle,The Five Orange Pips
11,John,The Five Orange Pips
12,Mary,The Five Orange Pips
13,Mr. Fordham,The Five Orange Pips
14,Mr. Holmes,The Five Orange Pips
15,my father,The Five Orange Pips
16,Colonel Openshaw,The Five Orange Pips
17,K.K.K.,The Five Orange Pips
18,Major Freebody,The Five Orange Pips
19,Ather,The Five Orange Pips
20,Watson,The Five Orange Pips
21,Cuvier,The Five Orange Pips
22,Openshaw,The Five Orange Pips
23,K. K.,The Five Orange Pips
24,Cook,The Five Orange Pips
25,S. H.,The Five Orange Pips
26,Captain James Calhoun,The Five Orange Pips
