node,is_victim,pagerank,victim_connection_weight,degree,strength
Elias,0,0.08333333333333333,0,1,1.0
John,0,0.13704126083918955,5,2,7.0
John Openshaw,1,0.1208852176057206,0,2,6.0
Joseph,0,0.08333333333333333,0,1,1.0
Sherlock Holmes,0,0.029625405827477067,1,1,1.0
barque,0,0.12224736592310737,0,3,3.0
calhoun,0,0.08197537610056507,0,2,2.0
hood,0,0.08333333333333333,0,1,1.0
jackson,0,0.08333333333333333,0,1,1.0
james,0,0.08197537610056507,0,2,2.0
patersons,0,0.04713521520909568,0,1,1.0
swain,0,0.045781449060946,0,1,2.0
