character1,character2,count
Captain Sir Marauder Lily,Miss Lily,306
Captain Sir Marauder Lily,her,117
Parvati,Parvati Ginny,108
Miss Lily,her,78
Sir Marauder,Sira Marauder,72
Captain Sir Marauder Lily,Sira Marauder,54
Superintendent Cattermole,Young Bathilda Thestral,38
Captain Sir Marauder Lily,Master Pettigrew,37
Superintendent Cattermole,her,37
Captain Sir Marauder Lily,Mr. Broomstick Chudley,32
Master Pettigrew,her,31
Parvati Ginny,her,31
Parvati,her,30
Captain Quaffle,Superintendent Cattermole,26
Mr. Broomstick Chudley,her,26
Captain Sir Marauder Lily,Sir Marauder,25
Miss Lily,Mr. Broomstick Chudley,25
Captain Sir Marauder Lily,Superintendent Cattermole,24
Captain Express,Superintendent Cattermole,22
Captain Sir Marauder Lily,Parvati Ginny,21
Captain Sir Marauder Lily,Young Bathilda Thestral,21
Master Pettigrew,Mr. Broomstick Chudley,20
her,old,20
Master Pettigrew,Miss Lily,19
Nymphadora,her,18
Captain Sir Marauder Lily,Mr. Jacob,17
Captain Sir Marauder Lily,Parvati,17
Master Pettigrew,Mr. Jacob,17
Mr. Jacob,Superintendent Cattermole,17
Newt,Newt Ollivander,17
Parvati,Superintendent Cattermole,17
Captain Sir Marauder Lily,Pettigrew Lily,16
Master Pettigrew,Pettigrew Lily,16
Miss Lily,Sira Marauder,16
Captain Quaffle,Captain Sir Marauder Lily,15
Captain Sir Marauder Lily,Nymphadora,15
Miss Lily,Sir Marauder,15
Captain Quaffle,Mr. Jacob,14
Captain Quaffle,Parvati,14
Captain Sir Marauder Lily,Sir Marauder Lily,14
Sir Marauder,Sir Marauder Lily,14
Sir Marauder Lily,Sira Marauder,14
Sira Marauder,her,14
Captain Quaffle,her,13
Miss Lily,Superintendent Cattermole,13
Mr. Broomstick Chudley,Mr. Jacob,13
Young Bathilda Thestral,her,13
Captain Quaffle,Parvati Ginny,12
Master Pettigrew,Parvati,12
Captain Sir Marauder Lily,old,11
Parvati Ginny,Superintendent Cattermole,11
Broomstick,Captain Sir Marauder Lily,10
Broomstick,Mr. Broomstick Chudley,10
Captain Sir Marauder Lily,Young Lily,10
Miss Ginny,Parvati Ginny,10
Miss Lily,Young Bathilda Thestral,10
Newt,her,10
Sir Marauder,old,10
Sira Marauder,old,10
Broomstick,Miss Lily,9
Captain Sir Marauder Lily,Nymphadora Lily,9
Nymphadora,Nymphadora Lily,9
Sergeant Horklump,Young Bathilda Thestral,9
Master Pettigrew,Parvati Ginny,8
Mr. Broomstick Chudley,Young Bathilda Thestral,8
Mr. Jacob,Parvati,8
Mr. Jacob,her,8
Nymphadora,Sira Marauder,8
Captain Express,Young Bathilda Thestral,7
Captain Sir Marauder Lily,Mr. Chamber,7
Mr. Broomstick Chudley,Sira Marauder,7
Mr. Chamber,her,7
Mr. Jacob,Parvati Ginny,7
Parvati,Young Bathilda Thestral,7
Parvati Ginny,Young Bathilda Thestral,7
Sir Marauder,her,7
Master Pettigrew,Sir Marauder,6
Master Pettigrew,Sira Marauder,6
Master Pettigrew,Young Bathilda Thestral,6
Miss Lily,Mr. Chamber,6
Miss Lily,Mr. Jacob,6
Mr. Broomstick Chudley,Sir Marauder,6
Mr. Broomstick Chudley,old,6
Mr. Chamber,death,6
Mr. Jacob,Sira Marauder,6
Mr. Jacob,old,6
Newt Ollivander,her,6
Nymphadora,Sir Marauder,6
Young Lily,her,6
Broomstick,Master Pettigrew,5
Captain Express,her,5
Captain Quaffle,Young Bathilda Thestral,5
Captain Sir Marauder Lily,death,5
Master Pettigrew,Superintendent Cattermole,5
Miss Lily,Nymphadora,5
Miss Lily,old,5
Mr. Jacob,Young Bathilda Thestral,5
Parvati Ginny,Sira Marauder,5
Pettigrew Lily,her,5
Sir Marauder Lily,old,5
Broomstick,Sir Marauder,4
Broomstick,Sira Marauder,4
Buckbeak,her,4
Captain Express,Captain Sir Marauder Lily,4
Captain Express,Miss Lily,4
Captain Quaffle,Miss Lily,4
Captain Quaffle,Sira Marauder,4
