char_id,name,story_title
1,Suzanne Shell,The Hand in the Dark
2,Mary Meehan,The Hand in the Dark
3,Philip Heredith,The Hand in the Dark
4,Philip Here-Deith,The Hand in the Dark
5,Suckling,The Hand in the Dark
6,Philip,The Hand in the Dark
7,Violet Heredith,The Hand in the Dark
8,Miss Alethea Heredith,The Hand in the Dark
9,Sir Philip Heredith,The Hand in the Dark
10,Mrs. Weyne,The Hand in the Dark
11,Mr. Weyne (Teddy Weyne),The Hand in the Dark
12,Miss Heredith,The Hand in the Dark
13,Dolly Weyne,The Hand in the Dark
14,Teddy Weyne,The Hand in the Dark
15,Mr. Harland,The Hand in the Dark
16,Harry,The Hand in the Dark
17,Violet,The Hand in the Dark
18,Dick,The Hand in the Dark
19,Captain Nepcote,The Hand in the Dark
20,Mrs. Heredith,The Hand in the Dark
21,Sir Philip,The Hand in the Dark
22,Phil,The Hand in the Dark
23,Thomas,The Hand in the Dark
24,Linton,The Hand in the Dark
25,Platt,The Hand in the Dark
26,Hazel,The Hand in the Dark
27,Mrs. Rath,The Hand in the Dark
28,Lisette,The Hand in the Dark
29,Mr. Musard,The Hand in the Dark
30,Mr. Philip,The Hand in the Dark
31,Vincent,The Hand in the Dark
32,Tufnell,The Hand in the Dark
33,Vincent Musard,The Hand in the Dark
34,Alethea Heredith,The Hand in the Dark
35,Musard,The Hand in the Dark
36,Heredith,The Hand in the Dark
37,Phil Heredith,The Hand in the Dark
38,Mr. Brimley,The Hand in the Dark
39,Brimley,The Hand in the Dark
40,Lord Butterworth,The Hand in the Dark
41,Diana,The Hand in the Dark
42,What's-her-name,The Hand in the Dark
43,Denison,The Hand in the Dark
44,Graham,The Hand in the Dark
45,Harding,The Hand in the Dark
46,Rusher,The Hand in the Dark
47,Garton,The Hand in the Dark
48,Adelina,The Hand in the Dark
49,Prince Litzovny,The Hand in the Dark
50,Miss Finch,The Hand in the Dark
51,Moynglass,The Hand in the Dark
52,Me,The Hand in the Dark
53,Doyne,The Hand in the Dark
54,Cain,The Hand in the Dark
55,Mrs. Spicer,The Hand in the Dark
56,Miss Garton,The Hand in the Dark
57,Ediths,The Hand in the Dark
58,Dr. Holmes,The Hand in the Dark
59,Sergeant Lumbe,The Hand in the Dark
60,ty,The Hand in the Dark
