node,is_victim,pagerank,victim_connection_weight,degree,strength
Adelina,0,0.0018325491305020833,0,1,1.0
Alethea,0,0.0031582655863187526,0,7,8.0
Bridges,0,0.0037811676347557673,0,4,8.0
Cain,0,0.003729404545331284,0,2,2.0
Detective Caldew,0,0.03533228538529865,0,25,150.0
Diana,0,0.0018325491305020833,0,1,1.0
Dick,0,0.002814822354000022,0,3,3.0
Dolly Weyne,0,0.0023943898105127717,0,1,1.0
Doyne,0,0.005212938878957663,0,1,1.0
Freeling,0,0.01098901098901099,0,1,1.0
Graham,0,0.00520817559093424,0,2,2.0
Harding,0,0.003861877421632757,0,1,1.0
Harry,0,0.0031863028763592064,0,2,2.0
Hazel,0,0.041515370872548314,1,18,239.0
Hazel Rath,0,0.04250098883226953,1,20,242.0
Henry Hobbs,0,0.00646234540285674,0,4,4.0
Herediths,0,0.0037472803353078383,0,7,11.0
Inspector Weyling,0,0.002872650211576911,0,4,6.0
Jack Tar,0,0.00318670351130141,0,1,1.0
Jem,0,0.0018325491305020833,0,1,1.0
Lady Vaughan,0,0.01098901098901099,0,1,1.0
Linton,0,0.003595125672763078,0,2,2.0
Mary Meehan,0,0.01098901098901099,0,1,1.0
Mary Theberton,0,0.0031886240636596,0,2,6.0
Milly,0,0.008645437655613018,0,8,37.0
Milly Saker,0,0.007590742310235973,0,7,32.0
Miss Alethea Heredith,0,0.10394686146944017,7,36,509.0
Miss Garton,0,0.0018325491305020833,0,1,1.0
Miss Rath,0,0.004057612419955662,0,5,15.0
Moynglass,0,0.008374171567128268,0,2,2.0
Mr. Austin Wendover,0,0.002617413305395365,0,4,5.0
Mr. Colwyn,0,0.03020710270563307,0,21,127.0
Mr. Phil,0,0.0350080029243884,0,17,182.0
Mr. Philip,0,0.048866437074519736,0,29,226.0
Mr. Tufnell,0,0.01034512362863517,0,14,41.0
Nepcote,0,0.02349372237696962,0,15,114.0
Phil Heredith,0,0.009319840377935906,0,11,45.0
Philip Here-Deith,0,0.0020057116797174363,0,2,2.0
Platt,0,0.003421547966637822,0,1,1.0
Rusher,0,0.0023862455894786676,0,2,4.0
Sergeant Lumbe,0,0.006357205779710427,0,8,22.0
Sir Arthur,0,0.0028517044993997473,0,3,3.0
Sir Arthur Wellesley,0,0.0028517044993997473,0,3,3.0
Sir Harry Ravenworth,0,0.0031863028763592064,0,2,2.0
Sir Philip,0,0.028320454163754435,0,20,130.0
Sir Philip Heredith,0,0.021880581811194323,0,17,109.0
Sir William Vaughan,0,0.01098901098901099,0,1,1.0
Stanhill,0,0.009875660481045793,0,11,44.0
Suckling,0,0.0019255775966717152,0,1,1.0
Superintendent Merrington,0,0.04507574335724508,2,27,224.0
Suzanne Shell,0,0.01098901098901099,0,1,1.0
Teddy Weyne,0,0.004388503490178624,0,3,5.0
Thomas,0,0.006258082954298363,0,3,3.0
Tom,0,0.0044696029701698945,0,3,5.0
Upden,0,0.0019255775966717152,0,1,1.0
Vincent,0,0.01043802344632123,0,11,40.0
Vincent Musard,0,0.034140788479097496,0,23,156.0
Violet,0,0.01482779905565848,7,13,72.0
Violet Heredith,1,0.004943060287199634,0,6,19.0
Wellington,0,0.001834368102755398,0,1,1.0
abel,0,0.003729404545331284,0,2,2.0
aig,0,0.0019255775966717152,0,1,1.0
chianti,0,0.0019255775966717152,0,1,1.0
christ,0,0.003187026157295458,0,2,2.0
cockney,0,0.0052556443647418785,0,2,2.0
cook,0,0.002896483335886572,0,4,6.0
czars,0,0.002117851108243652,0,1,1.0
death,0,0.007094937416693566,1,15,28.0
dormer,0,0.0019255775966717152,0,1,1.0
egg,0,0.002814822354000022,0,3,3.0
fate,0,0.004971298081429707,0,5,9.0
fortune,0,0.0054131773811467625,0,2,2.0
gardner,0,0.001834368102755398,0,1,1.0
god,0,0.006419754534682421,0,7,11.0
granger,0,0.0019255775966717152,0,1,1.0
her,0,0.09535265593599951,0,37,440.0
highness,0,0.0018325491305020833,0,1,1.0
horatio,0,0.004728740696147454,0,3,3.0
jesus,0,0.003187026157295458,0,2,2.0
john,0,0.006968839764331049,0,2,2.0
jove,0,0.0018485901505407474,0,1,1.0
lane,0,0.007895928650435488,0,3,3.0
maggie,0,0.002408160329100798,0,1,1.0
nelson,0,0.0072390195485230536,0,4,4.0
nile,0,0.004728740696147454,0,3,3.0
obbs,0,0.0052556443647418785,0,2,2.0
old,0,0.030006443109560053,0,24,92.0
putney,0,0.01098901098901099,0,1,1.0
rees,0,0.010872430446612888,0,3,3.0
truth,0,0.004657905965600535,0,9,16.0
watson,0,0.00473055134429363,0,1,1.0
