canonical_name,alias_name
Mr. Vandeleur Hindhead,
Mr. Vandeleur Hindhead,Hindhead
Mr. Vandeleur Hindhead,Mr. Hindhead
Mr. Vandeleur Hindhead,Vandeleur Hindhead
Sir Antonio Haslemere,
Sir Antonio Haslemere,Haslemere
Sir Antonio Haslemere,A Haslemere
Sir Antonio Haslemere,Sir A Haslemere
Dr. Watson Cartwright,
Dr. Watson Cartwright,Cartwright
Dr. Watson Cartwright,Dr. Cartwright
Dr. Watson Cartwright,Watson Cartwright
Mrs. Laura Stapleton,
Mrs. Laura Stapleton,Mrs. Stapleton
Mrs. Laura Stapleton,Laura Stapleton
Sir A (Baskerville),
Hottentot Haslemere,
Sir Morland Carere,
Selden Baskerville,
Morland Monsieur,
Mr. A Haslemere,
Lestrade Upwood,
Watson Desmond,
L Haslemere,
Pitt Henry,
Mrs. Theophilus,
Mrs. Theophilus,Theophilus
Miss Theophilus,
Mr. Theophilus,
Mr. Stapletons,
Mr. Stapletons,Stapletons
Sir Antonio,
Sir Antonio,Antonio
Sir Antonio,SIR ANTONIO
Mrs. Halloa,
Mrs. Halloa,HALLOA
Mrs. Halloa,Halloa
Mr. Halloa,
Michaelmas,
Dr. Doyle,
Dr. Doyle,Doyle
Hottentot,
Barrymore,
Frankland,
Sherlock,
Mortimer,
Morland,
William,
Anthony,
Clayton,
Rodney,
George,
Sir A?,
Sir A?,SIR A
Sir A?,Sir A
Sir A?,Sir A.
Tracey,
Meyers,
Holmes,
Garcia,
Rodger,
Coombe,
Watson,
Fraser,
Eliza,
Beryl,
Jack,
Jove,
Hugo,
Mlle,
John,
james,
bertillon,
charles,
clarendon,
elizabeth,
murphy,
perkins,
wilson,
johnson,
oldmore,
grimpen,
barrymores,
lyons,
regina,
kneller,
montpensier,
reszkes,
