char_id,name,story_title
1,Hercule Poirot,The Hunter's Lodge Case
2,Miss Violet Marsh,The Hunter's Lodge Case
3,Andrew,The Hunter's Lodge Case
4,Roger,The Hunter's Lodge Case
5,I,The Hunter's Lodge Case
6,my uncle,The Hunter's Lodge Case
7,my mother,The Hunter's Lodge Case
8,Mr. Marsh,The Hunter's Lodge Case
9,Uncle Andrew,The Hunter's Lodge Case
10,Poirot,The Hunter's Lodge Case
11,Hastings,The Hunter's Lodge Case
12,Miss Marsh,The Hunter's Lodge Case
13,Mr. Baker,The Hunter's Lodge Case
14,Mrs. Baker,The Hunter's Lodge Case
15,Baker,The Hunter's Lodge Case
16,Madame Baker,The Hunter's Lodge Case
17,Master,The Hunter's Lodge Case
18,Miss Violet,The Hunter's Lodge Case
19,Jim,The Hunter's Lodge Case
20,Coghan,The Hunter's Lodge Case
21,Andrew Marsh,The Hunter's Lodge Case
22,POIROT,The Hunter's Lodge Case
23,HASTINGS,The Hunter's Lodge Case
24,ANDREW MARCH,The Hunter's Lodge Case
25,Violet Marsh,The Hunter's Lodge Case
26,Albert Pike,The Hunter's Lodge Case
27,Jessie Pike,The Hunter's Lodge Case
