node,is_victim,pagerank,victim_connection_weight,degree,strength
Albert Pike,0,0.08333333333333333,0,1,1.0
Andrew,0,0.08333333333333333,0,1,2.0
Andrew Marsh,0,0.08333333333333333,0,1,2.0
Hastings,0,0.05545057367007908,0,2,2.0
Jessie Pike,0,0.08333333333333333,0,1,1.0
Miss Violet,0,0.08995854415111162,0,4,4.0
Miss Violet Marsh,0,0.11672187822814961,0,5,5.0
Mrs. Baker,0,0.032343033639110924,0,1,1.0
Poirot,0,0.13682497500591304,0,6,6.0
agatha,0,0.08995854415111162,0,4,4.0
bakers,0,0.05545057367007908,0,2,2.0
christie,0,0.08995854415111162,0,4,4.0
