node,is_victim,pagerank,victim_connection_weight,degree,strength
Andaman,0,0.012680901089576544,0,10,20.0
Cadby,0,0.002642748490293127,0,1,1.0
Cleeve,0,0.004417080884451282,0,5,5.0
Crichton Mohammed,0,0.0026142788361767423,0,2,2.0
Dr. Chinaman,0,0.01767554856015574,0,15,49.0
Dusk Edward,0,0.007883996172754162,0,8,14.0
Effendi,0,0.011117972286604418,0,9,29.0
Frank,0,0.014390691995413757,0,14,28.0
Graham,0,0.009350708053288788,0,7,19.0
Hadrian Fear,0,0.007225324222672795,0,9,17.0
Henderson,0,0.0032300972470584105,0,2,2.0
Honan,0,0.016773732377779103,0,12,41.0
Hung Edmonds,0,0.0025536301216963,0,1,1.0
Inspector Denby,0,0.005520637818414552,0,6,14.0
Inspector Weymouth,0,0.030301131085087706,0,14,117.0
James,0,0.013629926344364886,0,9,32.0
James Weymouth,0,0.006973539764137884,0,4,16.0
Jenner,0,0.00726050506538377,0,7,15.0
Kali,0,0.00558937572171681,0,6,10.0
Karamaneh,0,0.005557081246823995,0,9,12.0
Kent,0,0.002595255490186457,0,1,1.0
Kwee,0,0.0494102069446584,0,17,172.0
Lhassa,0,0.0046224828516092135,0,4,5.0
Lhassa Weymouth,0,0.05161295674217204,0,23,184.0
Lionel,0,0.014057693479414476,0,13,44.0
Lisle,0,0.006103344646499009,0,2,5.0
Logan,0,0.004629514707449635,0,3,3.0
Miss Furneaux,0,0.003915195188020375,0,2,2.0
Miss Hunchback,0,0.011099079051560974,0,4,23.0
Mr. Graham Vernon,0,0.013217561301328529,0,9,28.0
Mr. Kwee Barber,0,0.11158868675117208,0,39,363.0
Mr. Li,0,0.004293433843579348,0,5,6.0
Mr. Singapore Charlie,0,0.00291026755485418,0,2,2.0
Mr. Southery Eltham,0,0.013028785064863642,0,9,35.0
NAYLAND Barber,0,0.0030797343631422582,0,2,2.0
Nayland,0,0.010087994517412501,0,7,14.0
Nayland Hunchback,0,0.007569279291640089,0,4,10.0
Norris Dolan,0,0.002825422215382047,0,2,2.0
Platt-Houston,0,0.0026949387247834225,0,1,1.0
Professor Doctor Mason,0,0.0034212007536512275,0,3,4.0
Professor Lewin,0,0.0036022030124382527,0,2,4.0
Rev. J. D. Hunchback,0,0.02464352717643835,0,13,54.0
Ryman,0,0.009002834545299099,0,4,4.0
Said,0,0.0895132741840692,1,42,251.0
Satan Lafitte,0,0.0027448177570513215,0,1,1.0
Shenyan,0,0.0027448177570513215,0,1,1.0
Sir Amenti West,0,0.003309250169227079,0,3,3.0
Sir Caesar,0,0.020111042667174894,0,14,43.0
Sir Caesar Stradwick,0,0.01465796427141475,0,10,32.0
Sir Crichton Davey,1,0.0025090205727203467,0,1,1.0
Sir Moses,0,0.013232811094917918,0,9,23.0
Sir Moses Shen,0,0.010450288726248416,0,5,17.0
Siva,0,0.08798582516083055,0,26,369.0
Smith,0,0.007399574638759248,0,3,7.0
Stradwicks,0,0.004153013621158809,0,4,4.0
Tongking,0,0.0028121587924995165,0,1,2.0
Von,0,0.007168135365651746,0,2,2.0
Wapping,0,0.011949642591009769,0,15,32.0
Yan,0,0.005129659532062478,0,8,8.0
astern,0,0.0025090205727203467,0,1,1.0
ben,0,0.007168135365651746,0,2,2.0
big,0,0.012127979785264826,0,14,31.0
burboyne,0,0.0027113558625589135,0,2,2.0
croxted,0,0.010818485667377392,0,9,28.0
dan,0,0.003534688663151528,0,3,3.0
edwards,0,0.0029316802585949145,0,3,3.0
god,0,0.0038927283969275805,0,3,4.0
inspector,0,0.12103412292449907,0,29,500.0
