canonical_name,alias_name
Mrs. Kalyani Chaitanya,
Mrs. Kalyani Chaitanya,Chaitanya
Mrs. Kalyani Chaitanya,Mrs. Chaitanya
Mrs. Kalyani Chaitanya,Kalyani Chaitanya
Miss Niharika Rohit,
Miss Niharika Rohit,Rohit
Miss Niharika Rohit,Miss Rohit
Miss Niharika Rohit,Niharika Rohit
Niharika Chaitanya,
Niharika Chaitanya,Mr. Chaitanya
Miss Arvind Rohit,
Miss Arvind Rohit,Arvind Rohit
Mrs. Kavita Rahul,
Mrs. Kavita Rahul,Rahul
Mrs. Kavita Rahul,Mrs. Rahul
Mrs. Kavita Rahul,Kavita Rahul
Mr. Pankaj Mukesh,
Mr. Pankaj Mukesh,Mukesh
Mr. Pankaj Mukesh,Mr. Mukesh
Mr. Pankaj Mukesh,Pankaj Mukesh
Kritika Sonakshi,
Kritika Sonakshi,Sonakshi
Kritika Sonakshi,Mr. Sonakshi
Siddharth Riddhi,
Chandni Prithvi,
Salman Nikita,
Salman Nikita,Nikita
Salman Nikita,Nikita'
Salman Nikita,Mr. Nikita
Vikas Shriman,
Shikha Sagar,
Om Mohanlal,
Payal Varun,
Payal Varun,Varun
Payal Varun,Mr. Varun
Manas Kirti,
Manas Kirti,Kirti
Manas Kirti,Mr. Kirti
Esha Pranav,
Sania Ayush,
Mrs. Tanushree,
Mrs. Tanushree,Tanushree
Miss Niharika,
Miss Niharika,Niharika
Mr. Tanushree,
Mr. Akshaye,
Mr. Akshaye,Akshaye
Mr. Tanisha,
Mr. Tanisha,Tanisha
Miss Arvind,
Miss Arvind,ARVIND
Miss Arvind,Arvind
Mr. Ranjit,
Mr. Ranjit,Ranjit
Miss Divya,
Mrs. Disha,
Kalyani IV,
Kalyani IV,Kalyani
Mrs. Rohan,
Mrs. Rohit,
Mrs. Neetu,
Miss Sunny,
Mrs. Harsh,
Mr. Leena,
Mr. Leena,Leena
Mr. Kavya,
Mr. Shalu,
Mr. Rohit,
Mr. Tarun,
Mr. Tarun,Tarun
Mrs. Hema,
Mrs. Hema,Hema
Mr. Juhi,
Mr. Juhi,Juhi
Sushmita,
Shraddha,
Santhosh,
Kritika,
Anushka,
Karisma,
Sharman,
Shabana,
Roshan,
Shruti,
Mayank,
Aditya,
Sarika,
Monali,
Mitali,
Shafaq,
Kavita,
Rajesh,
Shreya,
Aparna,
Gopika,
Pritam,
Soumya,
Ishaan,
Gully,
Manas,
Sonam,
Reema,
Payal,
Vipin,
Mansi,
Dhruv,
Ronit,
Medha,
Gauri,
Tanvi,
Parth,
Yash,
Riya,
Ravi,
Amol,
Zoya,
Tabu,
Ekta,
Vinay,
Ronak,
Bhavesh,
Kajol,
Udita,
Naman,
Vinita,
Sneha,
Abir,
Pushkar,
Manan,
Anil,
Javed,
Ruchika,
Bhumi,
Hrithik,
Rajkummar,
Neelam,
Sanjeev,
Mahesh,
Sanjay,
Yashwant,
Prateek,
