character1,character2,count
Aniston Phillips,Old Phillips,160
Aniston. Saldana Mcconaughey,Madame Mcconaughey,119
Cummings Glover,Paley Glover,59
Tatum,Tatum Dorsey d'Arlange,48
Count,Count Harrelson de James,46
Aniston. Saldana Mcconaughey,Saldana,41
Count Harrelson de James,Viscount Astin de James,34
Count Harrelson de James,Viscount Astin,28
Count Harrelson de James,Viscount,25
Viscount,Viscount Astin de James,24
Aniston Phillips,Saldana,19
Madame Mcconaughey,Saldana,18
Count,Saldana,17
Aniston. Saldana Mcconaughey,Count,15
Count,Viscount Astin,15
Count,Madame Mcconaughey,14
Madame Cruz,Saldana,14
Viscount Astin,Viscount Astin de James,14
Count Harrelson de James,Saldana,13
Old Phillips,Saldana,13
Tatum,Tatum Dorsey,13
Aniston,Pierre-Marie Chastain,12
Aniston,Aniston Phillips,10
Saldana,Viscount,10
Count,Viscount,9
Saldana,Viscount Astin,9
Viscount,Viscount Astin,9
Aniston,Count,8
Count,Pierre-Marie Chastain,8
Cummings,Cummings Glover,8
Emmerich,Saldana,8
Aniston,mademoiselle,7
Aniston Phillips,Pierre-Marie Chastain,7
Aniston. Saldana Mcconaughey,Count Harrelson de James,7
Count,Tatum Dorsey,7
Count Harrelson de James,Pierre-Marie Chastain,7
Pierre-Marie Chastain,Viscount Astin,7
Aniston,Old Phillips,6
Aniston Phillips,Aniston. Saldana Mcconaughey,6
Aniston. Saldana Mcconaughey,Cummings Glover,6
Bell,Pierre-Marie Chastain,6
Old Phillips,Pierre-Marie Chastain,6
Pierre-Marie Chastain,Tatum Dorsey,6
Tatum Dorsey,Viscount Astin,6
Aniston,Tatum,5
Aniston Phillips,Bell,5
Aniston Phillips,Pearson,5
Aniston Phillips,Viscount Astin,5
Aniston. Saldana Mcconaughey,Cummings,5
Bullock Grant,Cummings Glover,5
Bullock Grant,Paley Glover,5
Bullock Grant,crime,5
Count,Cummings Glover,5
Count Harrelson de James,Madame Mcconaughey,5
Count Harrelson de James,Tatum Dorsey,5
Cummings Glover,Viscount Astin,5
Cummings Glover,assassin,5
Paley Glover,assassin,5
Tatum,Viscount Astin,5
