node,is_victim,pagerank,victim_connection_weight,degree,strength
Benoit,0,0.015384615384615385,0,2,4.0
Bernard,0,0.015384615384615385,0,2,4.0
Brosette,0,0.002824597223247339,0,1,1.0
Charlotte,0,0.004125264683507972,0,2,3.0
Claudine,0,0.01880677543490759,1,8,31.0
Claudine Lerouge,0,0.012647054858976683,0,5,21.0
Commarin,0,0.05594735654473514,2,19,92.0
Crime,0,0.016496861924189945,0,11,19.0
Dr. Herve,0,0.003838935414777472,0,2,3.0
Durand,0,0.015384615384615385,0,2,4.0
Emile Gaboriau,0,0.0027725026608397363,0,1,1.0
Guy,0,0.00768271864948927,0,5,9.0
Jacques,0,0.005031041654763888,1,3,3.0
Jean,0,0.004250059001774989,0,2,2.0
Joseph,0,0.006600239941490715,0,1,3.0
Juliette,0,0.017615640316681724,0,7,23.0
Juliette Chaffour,0,0.0036097178572557275,0,1,2.0
Kaiser,0,0.003045709806004172,0,1,1.0
La Jonchere,0,0.01678680263986751,3,12,22.0
Lambreth,0,0.0029418858007549393,0,1,1.0
Lecoq,0,0.006002711224403681,0,3,5.0
Louis,0,0.006924438219388611,0,4,8.0
M. Albert,0,0.057051778180106864,4,17,99.0
M. Clergeot,0,0.005916520091458017,0,1,7.0
M. Constant,0,0.003948624350712096,0,3,3.0
M. Denis,0,0.0028232391339445525,0,1,1.0
M. Germain,0,0.005044847943577441,0,3,4.0
M. Gevrol,0,0.015214199265537468,0,10,19.0
M. Lubin,0,0.010100111682701977,0,4,6.0
M. Noel,0,0.08248749483470233,3,24,136.0
M. Noel Gerdy,0,0.057075880975652964,3,19,97.0
M. Tabaret,0,0.038844380508438546,2,14,64.0
Mademoiselle,0,0.03006461453591214,0,11,40.0
Mademoiselle Claire,0,0.027915802834863494,0,10,41.0
Mademoiselle Goello,0,0.004224311502313228,0,1,3.0
Mademoiselle Levernois,0,0.003585438437439588,0,1,2.0
Mademoiselle Schmidt,0,0.006808941234218234,0,4,6.0
Mannette,0,0.0028232391339445525,0,1,1.0
Marie Pierre Lerouge,0,0.06452661630484433,59,18,118.0
Monsieur,0,0.006064518309870393,0,3,4.0
Monsieur Daburon,0,0.004204882777959445,0,2,2.0
Paul,0,0.02243852463006099,0,2,2.0
Pierre-Marie Daburon,0,0.049394280675938894,2,24,69.0
Tellier,0,0.005637596118754846,0,2,2.0
Tirauclair,0,0.0075632927969790514,0,3,8.0
Valerie,0,0.004380021376898243,0,2,3.0
Virginia,0,0.011857660761892586,0,1,1.0
Widow Lerouge,1,0.04629054621021326,0,13,87.0
assassin,0,0.020144970095671153,4,15,27.0
bougival,0,0.016555105309686298,0,9,20.0
chance,0,0.011208865902589127,2,12,15.0
chatou,0,0.0056873773709201,0,4,4.0
christ,0,0.015384615384615385,0,1,1.0
cooper,0,0.006835006727920409,0,3,3.0
dabiron,0,0.009113044364551409,0,5,5.0
jesus,0,0.015384615384615385,0,1,1.0
laliron,0,0.009113044364551409,0,5,5.0
laridon,0,0.009113044364551409,0,5,5.0
maliron,0,0.009113044364551409,0,5,5.0
marly,0,0.009835190043387792,0,6,6.0
plutarch,0,0.0028078417622729836,0,1,1.0
providence,0,0.005465828175428476,0,4,6.0
rheteau,0,0.01287617663840451,1,7,19.0
taburon,0,0.009113044364551409,0,5,5.0
vincent,0,0.011857660761892586,0,1,1.0
