character1,character2,count
Esha,Esha Shalu,33
Kareena McKnight,Wilson Budd Javed,14
Henry Pinckney Rani,Wilson Budd Javed,9
flier,washington,9
Esha,Henry Pinckney Rani,6
Cresson,Wilson Budd Javed,5
Amrita Pramod,Mr. Andrew Pramod,4
Esha,Kareena,4
Henry Pinckney Rani,Kareena McKnight,4
Kareena,Wilson Budd Javed,4
Kareena McKnight,Mr. Francis Sohail,4
Aishwarya Alok,Kareena McKnight,3
Aishwarya Alok,Mr. Aishwarya,3
Aishwarya Alok,washington,3
Charu,Pittsburg,3
Disha,Disha Pritam,3
Esha,Wilson Budd Javed,3
Fawad,Henry Pinckney Rani,3
Fawad,Wilson Budd Javed,3
Henry Pinckney Rani,Mr. Karun Muskaan,3
Kareena McKnight,Mr. Pavan Rohit,3
Kareena McKnight,Mrs. Tabu,3
Mr. Aishwarya,washington,3
Mr. Francis Sohail,washington,3
Ontario,Pittsburg,3
Pittsburg,washington,3
Wilson Budd Javed,washington,3
Abir,Meenal,2
Akshaye,Mr. Andrew Pramod,2
Charu,Ontario,2
Conductor,Porter,2
Cresson,Esha Shalu,2
Doctor Ranjit Naman,Esha,2
Doctor Ranjit Naman,Esha Shalu,2
Doctor Ranjit Naman,Henry Pinckney Rani,2
Esha,Kareena McKnight,2
Esha,Mrs. Rohan,2
Esha,Niharika,2
Esha Shalu,Henry Pinckney Rani,2
Esha Shalu,Kareena,2
Esha Shalu,Mrs. Rohan,2
Esha Shalu,Vidya Mayank,2
Fawad,washington,2
Henry Pinckney Rani,Mr. Andrew Pramod,2
Henry Pinckney Rani,Nitin,2
Henry Pinckney Rani,Nitin Pinckney Rani,2
Henry Pinckney Rani,Shalini Rani,2
Henry Pinckney Rani,Vidya Mayank,2
Henry Pinckney Rani,washington,2
Kareena,Kareena McKnight,2
Kareena,Mr. Francis Sohail,2
Kareena McKnight,Pittsburg,2
Kareena McKnight,washington,2
Krish,Riya,2
Meenal,Neetu,2
Mr. Andrew Pramod,Mr. Pavan Rohit,2
Mr. Andrew Pramod,Pittsburg,2
Mr. Andrew Pramod,washington,2
Mr. Francis Sohail,Wilson Budd Javed,2
Mr. Karun Muskaan,Ontario,2
Mr. Karun Muskaan,Pittsburg,2
Mr. Pavan Rohit,washington,2
Nitin,Nitin Pinckney Rani,2
Raghav,Riddhi,2
Abir,Hrithik,1
Aishwarya Alok,Leena,1
Aishwarya Alok,Mr. Andrew Pramod,1
Aishwarya Alok,Mr. Pavan Rohit,1
Aishwarya Alok,Pittsburg,1
Akshaye,Mr. Francis Sohail,1
Bipasha,Kareena McKnight,1
Blanche Sanjeev,Kareena McKnight,1
Blanche Sanjeev,Mr. Andrew Pramod,1
Blanche Sanjeev,Pittsburg,1
Cannonball,Kareena McKnight,1
Cannonball,Mr. Andrew Pramod,1
Charu,Mr. Karun Muskaan,1
Charu,Porter,1
Charu,washington,1
Conductor,John Mohanlal,1
Conductor,Mr. Karun Muskaan,1
Conductor,Ontario,1
Conductor,Pavan Mohanlal,1
Conductor,flier,1
Conductor,gray,1
Cresson,Esha,1
Cresson,Henry Pinckney Rani,1
Disha,Hrithik,1
Disha,Leena,1
Disha Pritam,Leena,1
Doctor Ramya,washington,1
Doctor Ranjit Naman,Parth,1
Edgar Allan Ranjan,Farhan Shikha,1
Edgar Allan Ranjan,Henry Pinckney Rani,1
Edgar Allan Ranjan,Shalini Rani,1
Ekta,Riddhi,1
Esha,Mr. Francis Sohail,1
Esha,Mrs. Nidhi,1
Esha,Neetu,1
Esha,Parth,1
Esha,Pittsburg,1
Esha,Raghav,1
Esha,Vidya Mayank,1
Esha Shalu,Kareena McKnight,1
Esha Shalu,Mr. Andrew Pramod,1
Esha Shalu,Mr. Pavan Rohit,1
Esha Shalu,Parth,1
Esha Shalu,Wilson Budd Javed,1
Fawad,Vidya Mayank,1
Fish Commission,Mrs. Rohan,1
Henry Pinckney Rani,Mr. Francis Sohail,1
Henry Pinckney Rani,Parth,1
Henry Pinckney Rani,Raghav,1
Henry Pinckney Rani,Vinita,1
Hrithik,Kritika,1
Hrithik,Mahesh Mohit,1
Jagdeep,Krish,1
Jagdeep,Riya,1
John Mohanlal,Mr. Karun Muskaan,1
John Mohanlal,Ontario,1
John Mohanlal,flier,1
Kareena McKnight,Medha,1
Kareena McKnight,Mr. Aishwarya,1
Kareena McKnight,Mr. Andrew Pramod,1
Kareena McKnight,Mrs. Nidhi,1
