node,is_victim,pagerank,victim_connection_weight,degree,strength
Abir,0,0.012438460368496525,0,2,3.0
Aishwarya Alok,0,0.018032657942373884,0,7,13.0
Akshaye,0,0.005883926965711099,0,2,3.0
Amrita Pramod,0,0.00722146794391958,0,1,4.0
Bipasha,0,0.003382683992407408,0,1,1.0
Blanche Sanjeev,0,0.005821681678251063,0,3,3.0
Cannonball,0,0.004636580390152009,0,2,2.0
Charu,0,0.012801651335740913,0,5,8.0
Conductor,0,0.017406591776754687,0,7,8.0
Cresson,0,0.011172938675253295,0,4,9.0
Disha,0,0.015879266155515253,0,3,5.0
Disha Pritam,0,0.012164389368655737,0,2,4.0
Doctor Ramya,0,0.00330108990663174,0,1,1.0
Doctor Ranjit Naman,0,0.00946817220154159,0,4,7.0
Edgar Allan Ranjan,0,0.009513019859019305,0,3,3.0
Ekta,0,0.004310127867049231,0,1,1.0
Esha,0,0.06822589201127045,0,16,62.0
Esha Shalu,0,0.05330470445205144,0,12,50.0
Farhan Shikha,0,0.004901222795767568,0,1,1.0
Fawad,0,0.012196026050723082,0,4,9.0
Fish Commission,0,0.0036458649365993883,0,1,1.0
Henry Pinckney Rani,0,0.061852215315740776,0,19,47.0
Hrithik,0,0.019063292011347426,0,4,4.0
Jagdeep,0,0.008805466592177204,0,2,2.0
John Mohanlal,0,0.00780918408217272,0,4,4.0
Kareena,0,0.016534474709181395,0,5,14.0
Kareena McKnight,0,0.07614649031485754,0,26,55.0
Krish,0,0.012221619304759172,0,2,3.0
Kritika,0,0.006259155216569386,0,1,1.0
Leena,0,0.010955603323193461,0,5,5.0
Mahesh Mohit,0,0.006259155216569386,0,1,1.0
Medha,0,0.003382683992407408,0,1,1.0
Meenal,0,0.01452941125731568,0,2,4.0
Mr. Aishwarya,0,0.016813592458739354,0,8,12.0
Mr. Andrew Pramod,0,0.03392914569047752,0,15,23.0
Mr. Francis Sohail,0,0.02202849008182148,0,9,16.0
Mr. Karun Muskaan,0,0.020307178989286332,0,9,13.0
Mr. Pavan Rohit,0,0.016042283657056317,0,8,12.0
Mrs. Nidhi,0,0.006433445893019139,0,4,4.0
Mrs. Rohan,0,0.010164715133159186,0,4,6.0
Mrs. Tabu,0,0.00887290564866806,0,2,4.0
Neetu,0,0.009320579574004772,0,2,3.0
Neha,0,0.003376134170221897,0,1,1.0
New York,0,0.0033909836410402315,0,1,1.0
Niharika,0,0.0075918565648085135,0,3,4.0
Niharika Muskaan,0,0.005146875073875383,0,2,2.0
Nitin,0,0.007727001181813634,0,2,4.0
Nitin Pinckney Rani,0,0.007727001181813634,0,2,4.0
Nushrat,0,0.0032260446307258886,0,1,1.0
Ontario,0,0.018064475444816996,0,8,12.0
Pallavi,0,0.003382683992407408,0,1,1.0
Parth,0,0.0063156844281246835,0,4,4.0
Pavan Mohanlal,0,0.004055319097696655,0,1,1.0
Pittsburg,0,0.03206781706383716,0,14,23.0
Porter,0,0.007264919952380908,0,2,3.0
Raghav,0,0.011760521730425707,0,6,7.0
Riddhi,0,0.00990235913416036,0,3,4.0
Riya,0,0.014759840587490827,0,3,4.0
Shailesh,0,0.003382683992407408,0,1,1.0
Shalini Rani,0,0.007138392414148487,0,2,3.0
Vidya Mayank,0,0.011393491473162789,0,5,7.0
Vinita,0,0.003324467162131636,0,1,1.0
Wilson Budd Javed,0,0.05881005888386321,0,14,49.0
Zara,0,0.0034597787506857776,0,1,1.0
flier,0,0.022931069314692458,0,9,17.0
gray,0,0.005232120737162886,0,2,2.0
south,0,0.003589369682416443,0,1,1.0
washington,0,0.05153954457728007,0,17,40.0
