char_id,name,story_title
1,Sonali,The Man in the Brown Suit
2,Rohit,The Man in the Brown Suit
3,Count Priyadarshan Juhi,The Man in the Brown Suit
4,Count,The Man in the Brown Suit
5,Colonel,The Man in the Brown Suit
6,Royalty,The Man in the Brown Suit
7,De Beer,The Man in the Brown Suit
8,Lord Ekta,The Man in the Brown Suit
9,Tanmay,The Man in the Brown Suit
10,Tushar',The Man in the Brown Suit
11,Sir Pushkar Taapsee,The Man in the Brown Suit
12,Nushrat Medha,The Man in the Brown Suit
13,Professor Medha,The Man in the Brown Suit
14,Pallavi,The Man in the Brown Suit
15,Anushka,The Man in the Brown Suit
16,Professor Gaurav,The Man in the Brown Suit
17,Aamir,The Man in the Brown Suit
18,Nushrat,The Man in the Brown Suit
19,Lavanya,The Man in the Brown Suit
20,Siddharth,The Man in the Brown Suit
21,Mr. Siddharth,The Man in the Brown Suit
22,Mrs. Siddharth,The Man in the Brown Suit
23,Pankaj,The Man in the Brown Suit
24,Anna,The Man in the Brown Suit
25,Myself,The Man in the Brown Suit
26,the lady,The Man in the Brown Suit
27,the doctor,The Man in the Brown Suit
28,a tall man with a brown beard,The Man in the Brown Suit
29,L. B. Kritika,The Man in the Brown Suit
30,Flemmings,The Man in the Brown Suit
31,Prerna,The Man in the Brown Suit
32,Park,The Man in the Brown Suit
33,Deepika,The Man in the Brown Suit
34,Pushkar Taapsee,The Man in the Brown Suit
35,Mrs. Deepika,The Man in the Brown Suit
36,Tube,The Man in the Brown Suit
37,Reema,The Man in the Brown Suit
38,Mrs. de Castina,The Man in the Brown Suit
39,Detective Inspector Roshan,The Man in the Brown Suit
40,Miss Medha,The Man in the Brown Suit
41,Inspector Priyanka,The Man in the Brown Suit
42,Soumya,The Man in the Brown Suit
43,Medha,The Man in the Brown Suit
44,Inspector,The Man in the Brown Suit
45,Manju Castle,The Man in the Brown Suit
46,Sir Pushkar,The Man in the Brown Suit
47,my sister,The Man in the Brown Suit
48,Ronit,The Man in the Brown Suit
49,Miss,The Man in the Brown Suit
50,The Moth Ball man,The Man in the Brown Suit
51,The doctor,The Man in the Brown Suit
52,Kritika,The Man in the Brown Suit
53,Akanksha Kiara,The Man in the Brown Suit
54,Kiara,The Man in the Brown Suit
55,Meena,The Man in the Brown Suit
56,Genelia Swara,The Man in the Brown Suit
57,Taapsee,The Man in the Brown Suit
58,Irrfan,The Man in the Brown Suit
59,Saira,The Man in the Brown Suit
60,Mr. Swara,The Man in the Brown Suit
61,Vinita Sidharth,The Man in the Brown Suit
62,Miss Saif,The Man in the Brown Suit
