character1,character2,count
Colonel,Colonel O'hara,112
Mendes Kidman,Miss Kidman,42
Mendes Kidman,Miss Mendes,33
Sir Knopfler,Sir Knopfler Elgort,32
Blunt,Blunt Dehaan,27
Dookie,Dookie Ellis,26
Dookie Ellis,Sir Knopfler,11
Charles,Charles girl,9
Colonel,Sir Knopfler,9
Cabin,Sir Knopfler,8
Caplan,Colonel,8
Colonel O'hara,Miss Mendes,8
Colonel O'hara,Sir Knopfler,8
Blunt,Blunt Brosnan,7
Cabin,Dookie Ellis,7
Colonel O'hara,Mrs. Theron James,7
Dookie Ellis,Harrelson,7
Miss Leto,Rev. Penn Corbin,7
O'neal Harold Bonham,Sir Dickinson,7
O'neal Harold Bonham,Sir Dickinson Bonham,7
Sir Dickinson,Sir Dickinson Bonham,7
Caplan,Colonel O'hara,6
Colonel,Mrs. Theron James,6
Miss Leto,Sir Knopfler,6
Colonel,Dookie Ellis,5
Miss Leto,Mr. Corbin-Leto,5
Mr. Corbin-Leto,Rev. Penn Corbin,5
Blunt Brosnan,O'neal Harold Bonham,4
Caplan,Miss Mendes,4
Colonel O'hara,Dookie Ellis,4
Dookie Ellis,Neeson,4
Mendes Kidman,Rev. Penn Corbin,4
O'neal,O'neal Harold Bonham,4
Barr,Dookie Ellis,3
Black,Dookie Ellis,3
Blunt,Colonel,3
Blunt,Colonel O'hara,3
Blunt,Sir Knopfler,3
Blunt Dehaan,Brown,3
Blunt Dehaan,Sir Knopfler,3
Cabin,Mrs. Theron James,3
Caplan,Sir Knopfler,3
Colonel,Miss Mendes,3
Dookie,Sir Knopfler,3
L. B. Hiddleston,Madame Winslet,3
Arthur Pitt,Miss Leto,2
Bening,Caplan,2
Bening,Dookie Ellis,2
Bening,L. B. Hiddleston,2
Bening,Miss Mendes,2
Black,Brown,2
Black,Dutchman,2
Blunt Brosnan,Madame Winslet,2
Brown,Madame Winslet,2
Brown,Miss Mendes,2
Cabin,Caplan,2
Cabin,Mendes Kidman,2
Cabin,Rev. Penn Corbin,2
Caplan,Caplan James,2
Caplan,Mrs. Theron James,2
Caplan,Neeson,2
Caplan James,Mrs. Theron James,2
Colonel,Gadot Grünberg,2
Colonel,Neeson,2
Colonel,O'neal Harold Bonham,2
Colonel,Sir Knopfler Elgort,2
Colonel,lawrence,2
Colonel O'hara,O'neal Harold Bonham,2
Colonel O'hara,Rhodesia,2
Colonel O'hara,lawrence,2
Dookie Ellis,Miss Mendes,2
Dookie Ellis,Rhodesia,2
Durban,Rev. Penn Corbin,2
Durban,Sir Knopfler,2
Gadot Grünberg,Madame Winslet,2
Lady Elgort,Sir Knopfler Elgort,2
Madame Winslet,Mrs. Mccarthy,2
Mendes Kidman,Professor Kidman,2
Miss Leto,Mrs. Theron James,2
Miss Mendes,Mrs. Theron James,2
Miss Mendes,Rhodesia,2
Miss Mendes,Sir Knopfler,2
Mrs. Theron James,Sir Knopfler,2
Mrs. Theron James,Theron,2
O'neal Harold Bonham,lawrence,2
Rev. Penn Corbin,Sir Knopfler,2
Affleck,Lord Jett,1
Armstrong,Colonel,1
Armstrong,Colonel O'hara,1
Armstrong,Miss Mendes,1
Arquette,Blunt,1
Arthur Pitt,Blunt Dehaan,1
Arthur Pitt,Cabin,1
Arthur Pitt,Mr. Corbin-Leto,1
Arthur Pitt,Rev. Penn Corbin,1
Asafœtida,Cabin,1
Bach,butler,1
Barlow,Brooks,1
Barr,Harrelson,1
Barr,Miss Mendes,1
Beckham,Caplan,1
Bening,Blunt,1
Bening,Blunt Brosnan,1
Bening,Colonel O'hara,1
Bening,De Beer,1
Bening,De Beers,1
Bening,Dookie,1
Bening,Downey,1
Bening,Madame Winslet,1
Bening,O'neal Harold Bonham,1
Black,Blunt,1
Black,Caplan,1
Black,Miss Leto,1
Blunt,Brown,1
Blunt,De Beers,1
Blunt,Downey,1
