canonical_name,alias_name
Annie Evans Raglan,
Annie Evans Raglan,Raglan
Annie Evans Raglan,Mr. Raglan
Annie Evans Raglan,Annie Raglan
Annie Evans Raglan,Evans Raglan
Mrs. Sabatini Curtis,
Mrs. Sabatini Curtis,Curtis
Mrs. Sabatini Curtis,Sabatini Curtis
Blackguard Melrose,
Blackguard Melrose,Melrose
Mrs. Cooper George,
Mrs. Cooper George,Mrs. George
Geoffrey Caroline,
Methuselah Greys,
Methuselah Greys,Greys
Methuselah Greys,Miss Greys
Methuselah Roger,
Methuselah Roger,ROGER
Methuselah Roger,Roger
Methuselah Roger,Miss Roger
Elizabeth Parker,
Elizabeth Parker,Parker
Elizabeth Parker,MISS Parker
Elizabeth Parker,Miss Parker
Sherlock Poirot,
Sherlock Poirot,POIROT
Mr. Bourne Vane,
Mr. Bourne Vane,VANE
Mr. Bourne Vane,Vane
Mr. Bourne Vane,Mr. Vane
Mr. Bourne Vane,Bourne Vane
Gladys Sheppard,
Gladys Sheppard,Sheppard
Methuselah Japp,
Methuselah Japp,Japp
Miss Japp,
Dr. Japp,
Dr. Japp,DR. Japp
Mrs. Diana John,
Mrs. Diana John,John
Mrs. Diana John,MRS. John
Mrs. Diana John,Mrs. John
Mrs. Diana John,Diana John
Mrs. Cecil John,
Mrs. Cecil John,Cecil John
Miss Roger John,
Miss Roger John,MISS JOHN
Miss Roger John,Miss John
Miss Roger John,Roger John
Patons Porrott,
Grosset Thripp,
Grosset Thripp,Thripp
Grosset Curtis,
Hercule Raglan,
Sally Sheppard,
George Grange,
Richard Dumas,
Elsie Kipling,
Ursula Thripp,
Ashley Hayes,
Ashley Hayes,Mrs. Hayes
Troute James,
Emma Wetmore,
Emma Wetmore,Mrs. Wetmore
Cecil Watson,
Dagger Uncle,
Cecil Ralph,
Annie Eliot,
Annie Eliot,Eliot
Annie Eliot,Mr. Eliot
Paton Diana,
Paton Diana,Diana
Zane Ashley,
Annie. Vane,
Mary Thripp,
RALPH PATON,
RALPH PATON,Paton
Davis Nancy,
Davis Nancy,Nancy
Sally Clara,
Gladys Pond,
Vida Hurst,
FLORA John,
FLORA John,Mr. John
Cecil Kent,
Bates Jong,
Beast Japp,
Cecil Dale,
Cecil Vida,
John Gage,
John Gage,Gage
M Ackroyd,
Superintendent Carter,
Superintendent Carter,Carter
Inspector Sonia,
Inspector Quill,
Inspector Quill,Quill
Inspector Mah,
Inspector Mah,Mah
Mr. Raymond,
Mrs. Dunlap,
Miss Black,
Methuselah,
Elizabeth,
Melisande,
Folliott,
Sabatini,
Mrs. Mah,
American,
Hercule,
Grosset,
Crippen,
Ferrars,
Rafael,
Fernly,
Agatha,
Arthur,
Davis,
Dolly,
Beast,
Grice,
Blunt,
Cecil,
Marby,
Elsie,
Evans,
Helen,
Annie,
Gold,
christie,
punkie,
charles,
russell,
ganett,
sheba,
hector,
jones,
mademoiselle,
hallo,
hammond,
hastings,
faust,
r,
son,
paul,
bennett,
shakespeare,
colin,
chow,
pung,
this,
ellerby,
merci,
sequel,
marsh,
motley,
grey,
desert,
