char_id,name,story_title
1,Diana John,The Murder of Roger Ackroyd
2,Sherlock Poirot,The Murder of Roger Ackroyd
3,Melisande,The Murder of Roger Ackroyd
4,DR. Japp,The Murder of Roger Ackroyd
5,Cecil Vida,The Murder of Roger Ackroyd
6,Cecil Ralph,The Murder of Roger Ackroyd
7,Cecil Watson,The Murder of Roger Ackroyd
8,MRS. John,The Murder of Roger Ackroyd
9,Bourne Vane,The Murder of Roger Ackroyd
10,Parker,The Murder of Roger Ackroyd
11,Davis Nancy,The Murder of Roger Ackroyd
12,FLORA John,The Murder of Roger Ackroyd
13,MISS Parker,The Murder of Roger Ackroyd
14,Dr. Japp,The Murder of Roger Ackroyd
15,Mrs. Hayes,The Murder of Roger Ackroyd
16,Greys,The Murder of Roger Ackroyd
17,Rafael,The Murder of Roger Ackroyd
18,Crippen,The Murder of Roger Ackroyd
19,nial,The Murder of Roger Ackroyd
20,Beast,The Murder of Roger Ackroyd
21,King,The Murder of Roger Ackroyd
22,John,The Murder of Roger Ackroyd
23,Sabatini Curtis,The Murder of Roger Ackroyd
24,Curtis,The Murder of Roger Ackroyd
25,Mrs. Diana John,The Murder of Roger Ackroyd
26,Ashley Hayes,The Murder of Roger Ackroyd
27,Miss Parker,The Murder of Roger Ackroyd
28,Cecil John,The Murder of Roger Ackroyd
29,Mrs. Cecil John,The Murder of Roger Ackroyd
30,Mrs. John,The Murder of Roger Ackroyd
31,Japp,The Murder of Roger Ackroyd
32,Sabatini,The Murder of Roger Ackroyd
33,Miss Black,The Murder of Roger Ackroyd
34,Roger John,The Murder of Roger Ackroyd
35,Mr. Raymond,The Murder of Roger Ackroyd
36,I,The Murder of Roger Ackroyd
37,Captain Sabatini Curtis,The Murder of Roger Ackroyd
38,Mr. John,The Murder of Roger Ackroyd
39,Miss Roger,The Murder of Roger Ackroyd
40,Roger,The Murder of Roger Ackroyd
41,doctor,The Murder of Roger Ackroyd
42,Vane,The Murder of Roger Ackroyd
43,Gage,The Murder of Roger Ackroyd
44,King Davis,The Murder of Roger Ackroyd
45,Richard Dumas,The Murder of Roger Ackroyd
46,Paton,The Murder of Roger Ackroyd
47,Cross-stones,The Murder of Roger Ackroyd
48,Diana,The Murder of Roger Ackroyd
49,Cecil,The Murder of Roger Ackroyd
50,Major Melrose,The Murder of Roger Ackroyd
51,Blackguard Melrose,The Murder of Roger Ackroyd
52,ted,The Murder of Roger Ackroyd
53,Hercule,The Murder of Roger Ackroyd
54,Mr. Vane,The Murder of Roger Ackroyd
55,Melrose,The Murder of Roger Ackroyd
56,Miss John,The Murder of Roger Ackroyd
57,Sheppard,The Murder of Roger Ackroyd
58,BILLIARD,The Murder of Roger Ackroyd
59,HALL,The Murder of Roger Ackroyd
60,ROOM,The Murder of Roger Ackroyd
61,STUDY,The Murder of Roger Ackroyd
62,VANE,The Murder of Roger Ackroyd
63,ROGER,The Murder of Roger Ackroyd
64,MISS JOHN,The Murder of Roger Ackroyd
65,Paton Diana,The Murder of Roger Ackroyd
66,Inspector Quill,The Murder of Roger Ackroyd
67,inspector,The Murder of Roger Ackroyd
68,quiet man,The Murder of Roger Ackroyd
69,ector Quill,The Murder of Roger Ackroyd
70,Evans Raglan,The Murder of Roger Ackroyd
71,Annie,The Murder of Roger Ackroyd
72,Raglan,The Murder of Roger Ackroyd
73,Quill,The Murder of Roger Ackroyd
74,Inspector Mah,The Murder of Roger Ackroyd
75,Methuselah,The Murder of Roger Ackroyd
76,Colonel Fernly,The Murder of Roger Ackroyd
77,le docteur,The Murder of Roger Ackroyd
78,Captain Curtis,The Murder of Roger Ackroyd
79,Annie (le docteur),The Murder of Roger Ackroyd
80,Fernly,The Murder of Roger Ackroyd
81,Young Vane,The Murder of Roger Ackroyd
82,Grice,The Murder of Roger Ackroyd
83,Eliot,The Murder of Roger Ackroyd
84,Mrs. Mah,The Murder of Roger Ackroyd
85,Lord,The Murder of Roger Ackroyd
86,Miss Roger John,The Murder of Roger Ackroyd
87,Elsie Kipling,The Murder of Roger Ackroyd
88,Ursula Thripp,The Murder of Roger Ackroyd
89,Mrs. Wetmore,The Murder of Roger Ackroyd
90,Gladys Sheppard,The Murder of Roger Ackroyd
91,Mary Thripp,The Murder of Roger Ackroyd
92,Geoffrey Caroline,The Murder of Roger Ackroyd
93,Mr. Bourne Vane,The Murder of Roger Ackroyd
94,Mah,The Murder of Roger Ackroyd
95,Mélisande,The Murder of Roger Ackroyd
96,Annie Evans Raglan,The Murder of Roger Ackroyd
97,Mr. Eliot,The Murder of Roger Ackroyd
98,Emma Wetmore,The Murder of Roger Ackroyd
99,Dolly,The Murder of Roger Ackroyd
100,the secretary,The Murder of Roger Ackroyd
101,the inspector,The Murder of Roger Ackroyd
102,Grosset Thripp,The Murder of Roger Ackroyd
103,Elsie,The Murder of Roger Ackroyd
104,The girl,The Murder of Roger Ackroyd
105,Mrs. Cooper George,The Murder of Roger Ackroyd
106,Methuselah Roger,The Murder of Roger Ackroyd
107,POIROT,The Murder of Roger Ackroyd
108,Mrs. George,The Murder of Roger Ackroyd
109,Bartolozzi,The Murder of Roger Ackroyd
110,Annie Raglan,The Murder of Roger Ackroyd
111,Prince Grey,The Murder of Roger Ackroyd
112,Mrs. Dunlap,The Murder of Roger Ackroyd
113,M Ackroyd,The Murder of Roger Ackroyd
114,George Grange,The Murder of Roger Ackroyd
115,Mr. Raglan,The Murder of Roger Ackroyd
116,l'Inspecteur,The Murder of Roger Ackroyd
117,Inspector,The Murder of Roger Ackroyd
118,young Vane,The Murder of Roger Ackroyd
119,Papa Raglan,The Murder of Roger Ackroyd
120,Hercule Raglan,The Murder of Roger Ackroyd
121,Agatha,The Murder of Roger Ackroyd
122,Ferrars,The Murder of Roger Ackroyd
123,Bruce MacPherson,The Murder of Roger Ackroyd
124,Chow MacDonald,The Murder of Roger Ackroyd
125,Thripp,The Murder of Roger Ackroyd
126,ohn,The Murder of Roger Ackroyd
127,Folliott,The Murder of Roger Ackroyd
128,Methuselah Greys,The Murder of Roger Ackroyd
129,Colonel Faust,The Murder of Roger Ackroyd
130,Helen,The Murder of Roger Ackroyd
131,Dagger Uncle,The Murder of Roger Ackroyd
132,Reys,The Murder of Roger Ackroyd
133,Miss Greys,The Murder of Roger Ackroyd
134,Tin-ho,The Murder of Roger Ackroyd
135,Colonel,The Murder of Roger Ackroyd
136,Beast Japp,The Murder of Roger Ackroyd
137,Major Motley,The Murder of Roger Ackroyd
138,Annie Eliot,The Murder of Roger Ackroyd
139,Moosior,The Murder of Roger Ackroyd
140,Carter,The Murder of Roger Ackroyd
141,Inspector Sonia,The Murder of Roger Ackroyd
142,Nancy,The Murder of Roger Ackroyd
143,superintendent,The Murder of Roger Ackroyd
144,inspector mah,The Murder of Roger Ackroyd
145,supe,The Murder of Roger Ackroyd
146,raglan,The Murder of Roger Ackroyd
147,Superintendent Carter,The Murder of Roger Ackroyd
148,Davis,The Murder of Roger Ackroyd
149,Sally Sheppard,The Murder of Roger Ackroyd
150,Evans,The Murder of Roger Ackroyd
151,Miss Japp,The Murder of Roger Ackroyd
