node,is_victim,pagerank,victim_connection_weight,degree,strength
Agatha,0,0.011627906976744186,0,1,1.0
American,0,0.005463067861579779,0,5,5.0
Annie,0,0.011230076661621865,4,14,30.0
Annie Eliot,0,0.002254383346336897,0,2,2.0
Annie Evans Raglan,0,0.04353114854950582,3,31,119.0
Ashley Hayes,0,0.00217039985526759,0,1,1.0
Bates Jong,0,0.011627906976744186,0,1,1.0
Beast,0,0.0102094018926954,0,9,21.0
Beast Japp,0,0.002583625553373761,0,2,2.0
Blackguard Melrose,0,0.015500540159848496,7,13,44.0
Cecil,0,0.022813926525838996,3,21,29.0
Cecil Dale,0,0.007051797455511318,0,5,5.0
Cecil Kent,0,0.00419726060697603,0,2,2.0
Cecil Ralph,0,0.005997372720963208,0,7,8.0
Cecil Vida,0,0.005997372720963208,0,7,8.0
Cecil Watson,0,0.006346169365824251,0,8,9.0
Crippen,0,0.002844784606389137,0,2,2.0
Dagger Uncle,0,0.009187951569044613,1,13,21.0
Davis,0,0.01605017846714803,1,16,45.0
Davis Nancy,0,0.015821138992828193,1,15,44.0
Dolly,0,0.0020436092148004665,0,1,1.0
Elizabeth,0,0.005317876270765848,1,6,6.0
Elizabeth Parker,0,0.017622693913662866,5,26,42.0
Elsie,0,0.008431255414604346,0,4,12.0
Elsie Kipling,0,0.006030933334610187,0,3,8.0
Emma Wetmore,0,0.002100833655759538,0,1,1.0
Evans,0,0.010070253404058253,0,4,27.0
FLORA John,0,0.005677280470395444,2,11,12.0
Fernly,0,0.009318678073553353,1,15,19.0
Ferrars,0,0.011627906976744186,0,1,1.0
Folliott,0,0.0057128383430274645,0,4,7.0
Geoffrey Caroline,0,0.002254383346336897,0,2,2.0
Gladys Pond,0,0.0024975284522733704,0,1,1.0
Gladys Sheppard,0,0.011627906976744186,0,1,1.0
Gold,0,0.019448145948208487,5,25,44.0
Grice,0,0.0020407546206451894,0,1,1.0
Grosset,0,0.02484439500748726,3,25,74.0
Grosset Curtis,0,0.0042045502273132035,0,4,9.0
Grosset Thripp,0,0.01373640916708595,0,8,40.0
Helen,0,0.003992756837308772,0,2,5.0
Hercule,0,0.00432152189247532,0,5,7.0
Hercule Raglan,0,0.0039256861115328275,0,4,6.0
Inspector Mah,0,0.011513076840448876,1,18,26.0
Inspector Quill,0,0.004393614819271198,0,5,8.0
John Gage,0,0.015809049982778423,5,17,41.0
M Ackroyd,0,0.002672897375105317,0,1,1.0
Marby,0,0.011627906976744186,0,1,1.0
Methuselah,0,0.011136324161707747,1,11,33.0
Methuselah Greys,0,0.03174107693453688,4,24,81.0
Methuselah Japp,0,0.018552449265495638,1,23,37.0
Methuselah Roger,0,0.04260246532940979,34,23,144.0
Miss Black,0,0.01914858067523688,1,14,40.0
Miss Japp,0,0.00284806602848732,0,2,3.0
Miss Roger John,0,0.026008384722943367,51,13,92.0
Mr. Bourne Vane,0,0.016388204259718278,8,18,48.0
Mrs. Cecil John,0,0.005585043348975479,3,5,9.0
Mrs. Diana John,1,0.06481626604588576,0,31,215.0
Mrs. Sabatini Curtis,0,0.045339331003666376,8,22,151.0
Paton Diana,0,0.015020651530469461,23,16,45.0
Patons Porrott,0,0.007051797455511318,0,5,5.0
RALPH PATON,0,0.005943744907642585,1,11,13.0
Rafael,0,0.0022845424717001413,0,2,2.0
Sabatini,0,0.05220778833150998,12,27,174.0
Sally Clara,0,0.00419726060697603,0,2,2.0
Sally Sheppard,0,0.011627906976744186,0,1,1.0
Sherlock Poirot,0,0.011878184635831016,2,20,22.0
Superintendent Carter,0,0.0026625997329713822,0,2,3.0
Troute James,0,0.007051797455511318,0,5,5.0
Vida Hurst,0,0.004927079227433977,0,2,2.0
Zane Ashley,0,0.007051797455511318,0,5,5.0
desert,0,0.01223537662059757,0,8,10.0
ellerby,0,0.002119886592097655,0,1,1.0
faust,0,0.004147501103482097,0,5,7.0
hallo,0,0.01497832085139929,0,2,8.0
hammond,0,0.0034535976397454763,0,2,2.0
mademoiselle,0,0.0065839534355403295,0,7,16.0
marsh,0,0.01497832085139929,0,2,8.0
merci,0,0.004383590533817209,0,3,6.0
motley,0,0.0020551086026747243,0,1,1.0
paul,0,0.002077259822169727,0,1,1.0
pung,0,0.011627906976744186,0,1,1.0
r,0,0.0031349863299488887,1,5,5.0
sequel,0,0.011627906976744186,0,1,1.0
sheba,0,0.004284199076576568,0,2,3.0
son,0,0.006556456711429034,4,10,17.0
this,0,0.04431313079281116,18,30,127.0
