char_id,name,story_title
1,Trapp Robey,The Murder on the Links
2,Maitre Denise,The Murder on the Links
3,Santiago,The Murder on the Links
4,Mrs. Poirots,The Murder on the Links
5,Geneviève,The Murder on the Links
6,Beroldy,The Murder on the Links
7,Amelie,The Murder on the Links
8,Jove Daubreuils,The Murder on the Links
9,Poirots,The Murder on the Links
10,God,The Murder on the Links
11,Arthur,The Murder on the Links
12,Christie,The Murder on the Links
13,Japp God,The Murder on the Links
14,Billingsgate fishwoman,The Murder on the Links
15,the lady,The Murder on the Links
16,myself,The Murder on the Links
17,the minx,The Murder on the Links
18,my sister,The Murder on the Links
19,P,The Murder on the Links
20,My companion,The Murder on the Links
21,Papa,The Murder on the Links
22,Hiram,The Murder on the Links
23,Greuse,The Murder on the Links
24,Mademoiselle,The Murder on the Links
25,Inspector,The Murder on the Links
26,Scotland Yard Inspector,The Murder on the Links
27,The Countess of Forfanock,The Murder on the Links
28,P. T. RENAULD,The Murder on the Links
29,Harris,The Murder on the Links
30,Me,The Murder on the Links
31,Merlinville,The Murder on the Links
32,Greuze,The Murder on the Links
33,Browning Sapristi,The Murder on the Links
34,Georges,The Murder on the Links
35,Mr. Poirots,The Murder on the Links
36,Hercules Grosier,The Murder on the Links
37,Eloise Bel,The Murder on the Links
38,monsieur,The Murder on the Links
39,Bex,The Murder on the Links
40,Francoise,The Murder on the Links
41,Captain Greuze,The Murder on the Links
42,Durand,The Murder on the Links
43,Madame Poirots,The Murder on the Links
44,Amelie Durand,The Murder on the Links
45,Dr. Paul,The Murder on the Links
46,Léonie,The Murder on the Links
47,Françoise,The Murder on the Links
48,Amelie Poirots,The Murder on the Links
49,M Poirots,The Murder on the Links
50,Ayres,The Murder on the Links
51,Léonie Oulard,The Murder on the Links
52,Françoise Arrichet,The Murder on the Links
53,Cleopatra,The Murder on the Links
54,Cleopatra Poirots,The Murder on the Links
55,Madame Beroldy,The Murder on the Links
56,M,The Murder on the Links
57,Aarons,The Murder on the Links
58,God's,The Murder on the Links
59,Daubreuils,The Murder on the Links
60,Jeanne,The Murder on the Links
61,Renaulds,The Murder on the Links
62,Bertillon,The Murder on the Links
63,madame,The Murder on the Links
64,Laverguier,The Murder on the Links
65,Amelie Japp God,The Murder on the Links
66,Mrs Poirots,The Murder on the Links
67,Agatha,The Murder on the Links
68,Gabriel Beroldy,The Murder on the Links
69,Jack,The Murder on the Links
70,maman,The Murder on the Links
71,François,The Murder on the Links
72,Jack Beroldy,The Murder on the Links
73,Miss Papa,The Murder on the Links
74,Amelie.P.,The Murder on the Links
75,Marthe of Troy,The Murder on the Links
76,Auguste,The Murder on the Links
77,my mother,The Murder on the Links
78,Cinderella,The Murder on the Links
79,Stonor,The Murder on the Links
80,Marchaud,The Murder on the Links
81,Grouze,The Murder on the Links
82,Santiago Renaulds,The Murder on the Links
83,Laverguier Poirots,The Murder on the Links
84,Monsieur,The Murder on the Links
85,le juge,The Murder on the Links
86,Gabriel Jack Beroldy,The Murder on the Links
87,M. Renaulds,The Murder on the Links
88,I,The Murder on the Links
89,Van,The Murder on the Links
90,sergent de ville,The Murder on the Links
91,Madame,The Murder on the Links
92,Mon ami,The Murder on the Links
93,Greuseze,The Murder on the Links
94,Gabriel—Papa,The Murder on the Links
95,Greusez,The Murder on the Links
96,Gabriel Papa,The Murder on the Links
97,_mon ami___,The Murder on the Links
98,Gabriel Jack,The Murder on the Links
99,Madame Arthur,The Murder on the Links
100,Eh Arthur,The Murder on the Links
101,Victoria Cavendish,The Murder on the Links
102,Mr. Hiram P. Oulard,The Murder on the Links
103,Cleopatra Arthur,The Murder on the Links
104,Gruze,The Murder on the Links
105,Iselle,The Murder on the Links
106,Cleopatra God,The Murder on the Links
107,Gabriel,The Murder on the Links
108,_Maman___,The Murder on the Links
109,_Enfin!_,The Murder on the Links
110,Dame Beroldy,The Murder on the Links
111,Poirots père,The Murder on the Links
112,Gabriel Dabreuil,The Murder on the Links
113,Amelie. Poirots,The Murder on the Links
114,Japp,The Murder on the Links
115,Amelie. Durand,The Murder on the Links
116,Amelie Daubreuils,The Murder on the Links
117,George,The Murder on the Links
118,Marguerite Duveen,The Murder on the Links
119,Mr. Dulcie Monsieur,The Murder on the Links
120,Gabriel Santiago Renaulds,The Murder on the Links
121,Papa God,The Murder on the Links
122,Amelie Christie,The Murder on the Links
123,Gabriel Daubreuils,The Murder on the Links
124,Maître Grosíer,The Murder on the Links
125,the justly incensed magistrate,The Murder on the Links
126,Papa Poirots,The Murder on the Links
127,Conneau Renaulds,The Murder on the Links
128,M.,The Murder on the Links
129,Beroldys,The Murder on the Links
130,Conneau,The Murder on the Links
131,Gabriel Conneau,The Murder on the Links
132,Miss Arrichet,The Murder on the Links
133,_la petite acrobate_,The Murder on the Links
134,_Les femmes_,The Murder on the Links
135,Gabriel Santiago,The Murder on the Links
136,My mother,The Murder on the Links
137,Captain Arthur Greuze,The Murder on the Links
138,The Prince,The Murder on the Links
139,Prince,The Murder on the Links
