character1,character2,count
Laverguier Poirots,M Poirots,128
Laverguier Poirots,a,88
Amelie Christie,a,45
Amelie,a,39
Gabriel Jack,Gabriel Jack Beroldy,39
Gabriel Jack Beroldy,a,27
Gabriel Santiago,Gabriel Santiago Renaulds,24
Amelie Japp God,Japp,23
Gabriel Jack Beroldy,Laverguier Poirots,22
M Poirots,a,21
Gabriel,Gabriel Jack,16
Cleopatra Arthur,a,15
Gabriel Jack,a,15
Gabriel Jack,Laverguier Poirots,14
Gabriel,Gabriel Jack Beroldy,13
Amelie. Durand,a,12
Gabriel Santiago,Laverguier Poirots,12
Greuze,a,12
Amelie,Gabriel Jack Beroldy,11
Gabriel Daubreuils,a,9
Gabriel Santiago,a,9
Georges,a,9
Laverguier Poirots,Victoria Cavendish,9
Amelie Christie,Laverguier Poirots,8
Cleopatra,a,8
Francoise,a,8
Amelie,Laverguier Poirots,7
Gabriel,a,7
Gabriel Jack,M Poirots,7
Gabriel Santiago Renaulds,a,7
Mr. Dulcie Monsieur,a,7
Amelie,Gabriel Daubreuils,6
Amelie,Gabriel Santiago Renaulds,6
Amelie Christie,M Poirots,6
Cleopatra,Cleopatra Arthur,6
Gabriel Jack Beroldy,Gabriel Santiago,6
Gabriel Santiago,M Poirots,6
Amelie,Gabriel Jack,5
Amelie,Gabriel Santiago,5
Gabriel Jack,Gabriel Santiago,5
Gabriel Jack,Gabriel Santiago Renaulds,5
Gabriel Jack Beroldy,Gabriel Santiago Renaulds,5
Gabriel Papa,Papa God,5
Gabriel Santiago Renaulds,Laverguier Poirots,5
Aarons,a,4
Amelie,Amelie Christie,4
Amelie,Francoise,4
Cleopatra Arthur,Eh Arthur,4
Gabriel,Laverguier Poirots,4
Gabriel Daubreuils,Gabriel Santiago Renaulds,4
Gabriel Daubreuils,Jove Daubreuils,4
Gabriel Daubreuils,Laverguier Poirots,4
Gabriel Papa,a,4
Mademoiselle,a,4
Victoria Cavendish,a,4
Amelie Christie,Amelie Japp God,3
Amelie Christie,Japp,3
Browning Sapristi,a,3
Cleopatra,Gabriel Jack Beroldy,3
Gabriel,Gabriel Santiago,3
Gabriel,Greuze,3
Gabriel,M Poirots,3
Gabriel Daubreuils,Gabriel Santiago,3
Gabriel Jack Beroldy,M Poirots,3
