node,is_victim,pagerank,victim_connection_weight,degree,strength
Amélie,0,0.0027633651978040603,0,3,3.0
Bach,0,0.0028852483045611237,0,3,4.0
Baldwin,0,0.0038059532802307873,0,7,8.0
Barr,0,0.019514297327864895,1,15,76.0
Barr Smith,0,0.019982724895049334,1,15,78.0
Beales,0,0.003309433231396909,0,2,5.0
Billingsgate,0,0.0022246259763114094,0,1,1.0
Capshaw Mcconaughey,0,0.0030942050015578767,0,5,5.0
Captain Hemsworth,0,0.01196344280009967,0,13,32.0
Charles of Troy,0,0.013333333333333334,0,3,3.0
Commissary of Police,0,0.0025345827477939896,0,2,2.0
Costner,0,0.002696978486106864,0,2,3.0
Cruz Rourke,0,0.05274731797476611,0,31,237.0
Cruz Winslet,0,0.007033093052589617,0,9,20.0
Cruz. Lucien Boomer,0,0.008088855637223507,0,8,22.0
Dorsey,0,0.013333333333333334,0,3,3.0
Dover,0,0.002472352509795455,0,1,2.0
Dr. Jolie,0,0.0028985039052456365,0,1,4.0
Eastwood Young,0,0.0022246259763114094,0,1,1.0
Elgort,0,0.002506369655998762,0,2,2.0
Françoise,0,0.013961290901870382,0,14,36.0
Françoise Arrichet,0,0.002329690665944819,0,1,1.0
Gabriel Mccarthy,0,0.012195169235369601,0,15,43.0
Geneviève,0,0.010938166662145395,0,14,33.0
Glover,0,0.008044577576959809,0,6,12.0
Green Chastain,0,0.004737797853576881,0,6,10.0
Jackman,0,0.013333333333333334,0,3,3.0
Jagger,0,0.004971905218910063,3,3,5.0
Jagger Wood,1,0.004971905218910063,0,3,5.0
James Giamatti,0,0.0032614818787867986,0,2,6.0
Kendrick,0,0.0032942989418250465,0,5,5.0
Kline,0,0.012398774798665938,0,13,35.0
Kline Arnold Giamatti,0,0.025802151565023287,0,18,108.0
Kline Washington,0,0.07112965941792444,0,39,256.0
Kline Wood,0,0.00298556838129181,0,3,4.0
Kline le juge,0,0.0023011089582534575,0,1,1.0
Lamarr Carpenter,0,0.020665513140870628,0,15,88.0
Léonie,0,0.009734362755370745,0,5,15.0
Léonie Oulard,0,0.005369825677476013,0,3,5.0
Madame,0,0.06644253685801041,0,28,300.0
Madame Carpenter,0,0.02731653762291846,0,18,119.0
Madame Giamatti,0,0.017494800019570652,0,7,77.0
Madame Wood,0,0.02022588790490849,0,12,91.0
Madame la Vicomtesse,0,0.0027529940189823148,0,1,4.0
Maître Grosíer,0,0.002602970064883676,0,2,3.0
Merlinville,0,0.011034873299917735,0,13,41.0
Miss Urban,0,0.002236176254897728,0,1,1.0
Moore Washington,0,0.009941662550358025,0,11,34.0
Nixon,0,0.024638840246054467,0,18,98.0
Queen of Scots,0,0.013333333333333334,0,3,3.0
Ronan,0,0.003953504113694514,0,5,8.0
Rourke Wood,0,0.04407042978193513,0,26,203.0
Streep Watanabe,0,0.004622793312008737,0,3,8.0
Styles,0,0.002236176254897728,0,1,1.0
Sutherland,0,0.018230290285289382,0,14,56.0
Sutherland Armstrong,0,0.007263995117047202,0,9,17.0
Sutherland Carpenter,0,0.005853688057567405,0,4,14.0
Sutherland Dabreuil,0,0.0022767093649928645,0,1,1.0
Sutherland Knopfler,0,0.01940006635247345,0,18,77.0
Sutherland Knopfler Watanabe,0,0.018884773608740385,0,18,71.0
Sutherland Lamarr,0,0.031973435136307043,0,20,130.0
Sutherland Streep,0,0.006210167082886612,0,7,13.0
Tyson Mccarthy,0,0.005054805560732154,0,9,13.0
Washington Elucidates Certain Points,0,0.004307532663411006,0,9,10.0
Winfrey,0,0.005069262210093902,0,5,12.0
Young Cruz,0,0.028736535050809565,0,24,110.0
_Maman___,0,0.002433674531859242,0,2,2.0
_Mon ami___,0,0.005150364617403393,0,4,14.0
a,0,0.14983704195965744,0,53,567.0
arthur,0,0.002317777651231341,0,1,1.0
m,0,0.006005211869478399,0,7,15.0
mademoiselle,0,0.0035096304526361067,0,3,6.0
monsieur,0,0.005122660632657568,0,7,12.0
papa,0,0.003584202842907644,0,3,7.0
sisters,0,0.004035434505564175,0,3,3.0
