node,is_victim,pagerank,victim_connection_weight,degree,strength
Agatha Christie,0,0.0041981529362218875,0,1,1.0
Albert Mace,0,0.005117571892357676,0,2,2.0
Alfred,0,0.0534084715758096,0,11,85.0
Alfred Ing,0,0.0037255615215105115,0,1,1.0
Amy Hill,0,0.007980036467325216,0,3,3.0
Cynthia Murdoch,0,0.008998406932759363,0,4,9.0
Denby,0,0.007732201801667616,0,1,1.0
Dorcas,0,0.012088425565368696,0,5,13.0
Dr. Bauerstein,0,0.016231080839045058,0,7,15.0
Dr. Wilkins,0,0.01068423000741555,0,2,2.0
Elizabeth Wells,0,0.007847259691109014,0,3,8.0
Emily,0,0.012168883759226024,0,9,10.0
Emily Inglethorpe,0,0.004225828904317292,0,1,1.0
Evelyn,0,0.02365801269951958,0,10,32.0
Evelyn Howard,0,0.04115879524715842,0,12,58.0
Evie,0,0.005928618508042946,0,3,5.0
Hercule Poirot,0,0.00854839135225007,0,1,8.0
Jimmy Japp,0,0.017663439795701737,0,5,14.0
Lady Tadminster,0,0.02127659574468085,0,1,1.0
Mademoiselle Cynthia,0,0.03612299160156057,0,13,51.0
Manning,0,0.01771933883676237,0,6,10.0
Mary,0,0.059259540248086134,0,15,104.0
Mary Cavendish,0,0.042197592322357175,0,8,78.0
Monsieur Hastings,0,0.006837291951149954,0,4,6.0
Monsieur Inglethorp,0,0.00372505603491352,0,1,1.0
Monsieur John,0,0.08052888813775558,0,23,123.0
Monsieur John Cavendish,0,0.09543681797231861,0,14,171.0
Monsieur Lawrence,0,0.04248113215382475,0,13,69.0
Monsieur Poirot,0,0.06538466252778685,0,20,83.0
Mr. Alfred Inglethorp,0,0.07909529552531615,0,17,126.0
Mr. Lawrence Cavendish,0,0.020372054483794182,0,4,33.0
Mrs. Raikes,0,0.007574633017009857,0,7,7.0
Nibs,0,0.005599625751508817,0,1,4.0
Papa Poirot,0,0.004530714859339114,0,1,2.0
Sir Ernest,0,0.01691640380140945,0,3,10.0
Sir Ernest Heavywether,0,0.014694864353655884,0,1,8.0
Styles,0,0.03197529607321219,0,14,27.0
Superintendent Summerhaye,0,0.01002365629865213,0,3,8.0
William,0,0.014918423364374916,0,4,7.0
William Earl,0,0.011588819286864244,0,4,5.0
abbotsbury,0,0.02127659574468085,0,1,1.0
counsel,0,0.006784935676600009,0,4,4.0
court,0,0.014370846450337267,0,3,12.0
james,0,0.004263929866022911,0,1,1.0
parkson,0,0.005188250454486634,0,3,4.0
prys,0,0.003794668038912107,0,1,1.0
yessir,0,0.004697709925820754,0,1,1.0
