character1,character2,count
Carrey Hart Iger,Hart,68
Carrey le Sutherland,Sutherland de la Roche,55
Carrey,Carrey Arnold Eastwood,32
Ada Bateman,Wright Bateman,27
Carrey Hart Iger,Madame,25
Carrey Hart Iger,Madame Iger,25
Madame,Madame Iger,25
Carrey Hart Iger,Christenson,24
Carrey Hart Iger,Christenson Iger,24
Christenson,Christenson Iger,24
Carrey,Carrey le Sutherland,22
Gyllenhaal Jett,Miss Jett Aniston,20
Carrey Arnold Eastwood,Gyllenhaal,19
Carrey Arnold Eastwood,MAJOR Day Beckham,17
Carrey Arnold Eastwood,Christenson Bach Elgort,16
Christenson Bach Elgort,MAJOR Day Beckham,16
Christenson,Christenson Bach Elgort,15
Gyllenhaal Harrelson,Gyllenhaal Jett,15
Carrey,Christenson Bach Elgort,14
Carrey,Carrey Bach Elgort,13
Carrey Arnold Eastwood,Gyllenhaal Jett,13
Carrey Bach Elgort,Christenson Bach Elgort,13
Carrey,Carrey Hart Iger,12
Gyllenhaal,Gyllenhaal Dorsey,12
Carrey,Carrey Criss,11
Carrey,Gyllenhaal Criss,11
Carrey Criss,Gyllenhaal Criss,11
Christenson Bach Elgort,Mendes Elgort,11
Gyllenhaal Jett,MAJOR Day Beckham,11
Carrey Hart Iger,Christenson Bach Elgort,10
Gyllenhaal,Gyllenhaal Rock,9
Gyllenhaal Jett,Viscountess Bullock Cruz,9
Carrey Arnold Eastwood,Gyllenhaal Criss,7
Gyllenhaal,Gyllenhaal Jett,7
Carrey,Carrey le Commissaire,6
Carrey Arnold Eastwood,Segel,6
Carrey Hart Iger,Carrey le Sutherland,6
Carrey le Sutherland,Hart,6
Christenson,Paris,6
Christenson Bach Elgort,Gyllenhaal Jett,6
Christenson Bach Elgort,Hart,6
Paris,Wright Bateman,6
Amelia Barlow,Gyllenhaal Jett,5
Carrey Arnold Eastwood,Carrey le Sutherland,5
Carrey Arnold Eastwood,Commissary,5
Carrey Arnold Eastwood,Hercule Eastwood,5
Carrey Hart Iger,MAJOR Day Beckham,5
Carrey Hart Iger,Winslet,5
Carrey le Sutherland,Madame,5
Carrey le Sutherland,Paris,5
Gyllenhaal Harrelson,MAJOR Day Beckham,5
Gyllenhaal Harrelson,Miss Harrelson Cruz,5
Gyllenhaal Harrelson,mother,5
Gyllenhaal Jett,Hart,5
Gyllenhaal Jett,Sandler,5
Hart,MAJOR Day Beckham,5
MAJOR Day Beckham,Viscountess Bullock Cruz,5
MAJOR Day Beckham,Wright Bateman,5
Mary Anne Lamarr,Mrs. Caine,5
Miss Jett Aniston,Viscountess Bullock Cruz,5
Sandler,Viscountess Bullock Cruz,5
Ada Bateman,MAJOR Day Beckham,4
Ada Bateman,Paris,4
Banks,Carrey Arnold Eastwood,4
Carrey,Carrey le Juge,4
Carrey Arnold Eastwood,Carrey Hart Iger,4
Carrey Arnold Eastwood,Gyllenhaal Harrelson,4
Carrey Arnold Eastwood,Paris,4
Carrey Hart Iger,Curzon Street,4
Carrey Hart Iger,Death,4
Carrey Hart Iger,Miss Jett Aniston,4
Carrey le Sutherland,Redford,4
Christenson Bach Elgort,Miss Jett Aniston,4
Christenson Bach Elgort,Segel,4
Gyllenhaal,Segel,4
Gyllenhaal,d,4
Gyllenhaal Criss,Gyllenhaal Rock,4
Gyllenhaal Harrelson,Viscountess Bullock Cruz,4
Gyllenhaal Jett,grey,4
Gyllenhaal Jett,m,4
Hart,Sutherland de la Roche,4
Hart,Viscountess Bullock Cruz,4
Juge d'Instruction,d,4
MAJOR Day Beckham,Paris,4
Madame,Winslet,4
Mr. Choi Hall,Redford,4
Amelia Barlow,Pattinson,3
Bullock,Viscountess Bullock Cruz,3
Carrey,Madame,3
Carrey,Madame Iger,3
Carrey,Paris,3
Carrey Arnold Eastwood,Gyllenhaal Dorsey,3
Carrey Arnold Eastwood,Madame,3
Carrey Bach Elgort,Carrey Hart Iger,3
Carrey Hart Iger,Gyllenhaal Jett,3
Carrey Hart Iger,Wright Bateman,3
Carrey le Marquis,Gyllenhaal Rock,3
Carrey le Sutherland,Goodman,3
Carrey le Sutherland,Gyllenhaal Jett,3
Carrey le Sutherland,Madame Iger,3
Carrey le Sutherland,Wright Bateman,3
Carrège,Christenson Bach Elgort,3
Christenson,Lord Gadot,3
Christenson Bach Elgort,Christenson Iger,3
Christenson Bach Elgort,Gyllenhaal Harrelson,3
