canonical_name,alias_name
Monsieur Derek Kettering,
Monsieur Derek Kettering,Kettering
Monsieur Derek Kettering,M. Kettering
Monsieur Derek Kettering,DEREK KETTERING
Monsieur Derek Kettering,Derek Kettering
Monsieur Derek Kettering,Dereek Kettering
Monsieur Derek Kettering,Monsieur Kettering
Mrs. Kettering,
Mr. Kettering,
Monsieur Hercule Poirot,
Monsieur Hercule Poirot,Poirot
Monsieur Hercule Poirot,M. Poirot
Monsieur Hercule Poirot,Hercule Poirot
Monsieur Hercule Poirot,Monsieur Poirot
Monsieur Hercule Poirot,M. HERCULE POIROT
Monsieur Hercule Poirot,M. Hercule Poirot
Monsieur Van Aldin,
Monsieur Van Aldin,Van Aldin
Monsieur Van Aldin,Mr. Van Aldin
Monsieur Van Aldin,M. Van Aldin
Monsieur le Comte,
Monsieur le Comte,Comte
Rufus Van Aldin,
Rufus Van Aldin,RUFUS VAN ALDIN
Ruth Van Aldin,
M. le Marquis,
M. le Marquis,Marquis
Mademoiselle Papopolous,
Mademoiselle Papopolous,Papopolous
Mademoiselle Papopolous,M. Papopolous
Mademoiselle Katherine,
Mademoiselle Katherine,Katherine
DEMETRIUS PAPOPOLOUS,
DEMETRIUS PAPOPOLOUS,D. Papopolous
Mrs. Samuel Harfield,
Mrs. Samuel Harfield,Mrs. Harfield
Mrs. Samuel Harfield,Samuel Harfield
Mademoiselle Mirelle,
Mademoiselle Mirelle,MIRELLE
Mademoiselle Mirelle,Mirelle
Miss Katherine Grey,
Miss Katherine Grey,Miss Grey
Miss Katherine Grey,KATHERINE GREY
Miss Katherine Grey,Katherine Grey
Monsieur Papopolous,
Mademoiselle Lenox,
Mademoiselle Lenox,Lenox
Miss Lenox Tamplin,
Miss Lenox Tamplin,Lenox Tamplin
Hippolyte Flavelle,
Mr. Charles Evans,
Mr. Charles Evans,Mr. Evans
Mademoiselle Grey,
Mr. Joseph Aarons,
Mr. Joseph Aarons,Aarons
Mr. Joseph Aarons,Mr. Aarons
Marie Antoinette,
Mr. Chubby Evans,
Boris Ivanovitch,
Richard Knighton,
Richard Knighton,Knighton
Mademoiselle Zia,
Mademoiselle Zia,Zia
Antonio Pirezzio,
AGATHA CHRISTIE,
Olga Vassilovna,
Rosalie Tamplin,
Rosalie Tamplin,Lady Tamplin
Zia Papopolous,
Zia Papopolous,ZIA PAPOPOLOUS
Ruth Kettering,
Ruth Kettering,RUTH KETTERING
Tommy Saunders,
Marie Flavelle,
Olga Demiroff,
Jane Harfield,
Pierre Michel,
Gladys Cooper,
Lady Mary Fox,
M. Krassnine,
M. Krassnine,Krassnine
Albert Dykes,
Amelia Viner,
Amelia Viner,Miss Viner
Kitty Kidd,
Ada Mason,
Ada Mason,Mason
Ada Mason,ADA MASON
M. Caux,
M. Caux,Caux
Doctor Harrison,
Doctor Harrison,Dr. Harrison
Inspector Japp,
Brother Apache,
Mrs. Harrison,
Mademoiselle,
Mrs. Samuel,
Dr. Crippen,
Bartheimers,
Hippolyte,
Demetrius,
Leconbury,
Mr. Goby,
Mr. Goby,Goby
Monsieur,
Virginie,
Charlie,
Johnnie,
Antonio,
Ambrose,
Georges,
Rosalie,
Chubby,
Colton,
George,
Ruthie,
Anitra,
Mother,
Armand,
Archer,
Pavett,
Dereek,
Polly,
Helen,
Alice,
Ellen,
Annie,
PETER,
Kitty,
Boris,
Marie,
Derek,
Olga,
Jane,
Ruth,
roche,
catherine,
carrots,
dad,
galbraith,
cuthbertson,
claud,
ibsen,
arthur,
darling,
clothilde,
marcelle,
thomas,
cook,
victoria,
haviland,
carrege,
beatrice,
edward,
frampton,
clanravon,
papa,
cap,
martin,
lyons,
harris,
mesdemoiselles,
somebody,
stilton,
punch,
solomon,
joe,
roman,
policier,
apaches,
madonna,
