node,is_victim,pagerank,victim_connection_weight,degree,strength
Angenoux Henri,0,0.004396342561954887,0,2,2.0
Frederic Ballmeyer,0,0.011842689190408229,2,6,12.0
Henri Dax,0,0.005495423019395313,0,5,5.0
Hesse,0,0.006944677768579918,0,10,10.0
Jacques,0,0.01247727464733709,4,7,11.0
Jacques The,1,0.011590411977628372,0,5,9.0
Jean,0,0.18613987558976783,1,31,880.0
Jean 'Stangersonhow Cassette',0,0.005306200300799938,0,3,7.0
Jean Ballmeyer,0,0.007024863635711271,1,4,4.0
Jean Bernier,0,0.005348279446684447,0,3,5.0
Jean Dax,0,0.049180910134764784,0,14,248.0
Jean Dax Darzac,0,0.0976984012588516,0,20,494.0
Jean Edgar,0,0.009411840438210192,0,5,30.0
Jean Fred,0,0.04537187676225143,0,18,196.0
Jean Maleine,0,0.006408220961448446,0,4,13.0
Jean Mathilde Marquet,0,0.05909099237883312,0,23,253.0
Jean Nayves,0,0.005223922613003485,0,5,7.0
Jean Rouletabille,0,0.006521421851293606,0,3,14.0
Jean Sylvia,0,0.005932836745554752,0,5,12.0
Jean The.,0,0.05027957214265401,0,19,236.0
Leroux William Poe,0,0.014016871490475142,0,14,27.0
Louis,0,0.01693322726317733,0,12,59.0
Mademoiselle,0,0.08861017418594173,0,17,489.0
Mademoiselle The.,0,0.08700211154399101,0,18,479.0
Maitre Mdlle,0,0.00704085450744241,0,7,14.0
Maitre Nayves,0,0.03593893524663196,0,19,149.0
Maitre Robert,0,0.010354034573827123,0,12,23.0
Monsieur,0,0.009095705722804116,0,9,12.0
Saintlazare,0,0.012824766634792699,1,10,25.0
William,0,0.014948881276385778,0,2,3.0
William The,0,0.012424564795433798,0,1,2.0
arthur,0,0.02631578947368421,0,1,1.0
larsans,0,0.023376605577512623,0,11,96.0
m,0,0.004492025799358962,0,3,3.0
n,0,0.009706298769285054,0,12,26.0
ridendo,0,0.02631578947368421,0,1,1.0
roussel,0,0.004790169738881569,0,2,2.0
sainclair,0,0.004127160501557317,0,1,1.0
