canonical_name,alias_name
Georges Philibert de Sequigny,
Maître Barbet Delatour,
Maître André Hesse,
Maître Henri Jolie,
Maître Henri Jolie,Jolie
Maître Henri Jolie,Henri Jolie
Frédérick Elliott,
Frédérick Elliott,Elliott
Frédérick Elliott,Devine Elliott
Frédéric Elliott,
Devine President—Sutherland Quaid,
Devine President—Sutherland Quaid,Quaid
Devine President—Sutherland Quaid,Devine Quaid
Devine Sutherland Quaid,
Devine Sutherland Quaid,Sutherland Quaid
Burrows William Caine,
Burrows William Caine,Caine
Burrows William Caine,Mr. Caine
Burrows William Caine,Burrows Caine
Burrows William Caine,Mr. Burrows Caine
Devine 'Hawke Downey',
Devine 'Hawke Downey',Hawke Downey
Devine Jolie Ronan,
Devine Jolie Ronan,Ronan
Devine Jolie Ronan,Ronan'
Devine Jolie Ronan,Jolie Ronan
Devine Jolie Ronan,Devine Ronan
Devine de Davidson,
Devine de Davidson,Devine Davidson
Devine de Davidson,DeVine de Davidson
Devine de Rocouz,
Philip le Bel,
Frédéric,
Devine President,
Devine President,President
Devine Knightley,
Devine Knightley,Knightley
Nicholson Walken,
Sutherland Blunt,
Madame Dunaway,
Madame Dunaway,Dunaway
Jason Atkinson,
Devine Maleine,
Devine Portman,
Devine Portman,Portman
Devine Ziegler,
Cobain Morgan,
Devine keeper,
Cyndi Portman,
Cyndi Dunaway,
Madame O'neal,
Cheadle Black,
Cheadle Black,Black
Cheadle Black,Professor Black
Devine Palmer,
Devine Palmer,PalmEr
Devine Palmer,Palmer
William Black,
Devine Black,
Devine Jolie,
Mother Cher',
Mother Cher',Mother Cher
Crowe Black,
Madame Bean,
Madame Bean,Bean
Jean Hudson,
Cruz Hudson,
Cyndi Bean,
Olsen Pitt,
Devine Bl,
M. Black,
Machiavellian,
Stangersons,
Beckinsale,
Cheadle,
Epinay,
Caplan,
Arnold,
Bassey,
Devine,
Usher,
Dunst,
Crowe,
Eve,
Cro,
Niffler,
Patronus,
Pomona,
Queenie,
Regulus,
Severus,
Voldemort,
Bludger,
Peverell,
Phoenix,
Colin,
Lily,
Dobby,
Boggart,
Pettigrew,
Crumplehorn,
Bowtruckle,
Karkaroff,
Hat,
Alley,
Fred,
Dennis,
Seeker,
Andromeda,
Barty,
Binns,
Child,
Kreacher,
Chaser,
Riddle,
Bathilda,
Chudley,
Snape,
Fudge,
and,
Sirius,
Nimbus,
Draco,
Grindelwald,
Newt,
Cissa,
Howler,
Leta,
School,
Potter,
Animagus,
Parvati,
Weasley's,
Narcissa,
Tina,
Nymphadora,
Gilderoy,
Potion,
Teddy,
Quirrell,
Tonks,
Weasley,
