character1,character2,count
Mademoiselle,Mademoiselle Stangerson,295
Monsieur,Monsieur Robert Darzac,211
Mademoiselle Stangerson,Monsieur,191
Daddy Jacques,Monsieur Jacques,145
Mademoiselle Stangerson,Monsieur Stangerson,125
Monsieur,Monsieur Stangerson,125
Monsieur Robert,Monsieur Robert Darzac,115
Monsieur,Monsieur Robert,94
Monsieur,Monsieur Joseph Rouletabille,77
Mademoiselle,Monsieur,68
Mademoiselle Stangerson,Monsieur Robert Darzac,48
Mademoiselle Stangerson,Monsieur Jacques,42
Monsieur,Monsieur Jacques,42
Monsieur,Monsieur Larsan,41
Mademoiselle,Monsieur Robert Darzac,39
Daddy Jacques,Mademoiselle Stangerson,37
Monsieur Larsan,Monsieur Robert Darzac,37
Monsieur Joseph Rouletabille,Monsieur Robert Darzac,36
Daddy Jacques,Monsieur,34
Monsieur,man,31
Mademoiselle Stangerson,Monsieur Larsan,26
Mademoiselle Stangerson,Monsieur Joseph Rouletabille,24
Monsieur Jacques,Monsieur Stangerson,24
Monsieur Joseph Rouletabille,Monsieur Larsan,24
Mademoiselle Stangerson,Monsieur Robert,23
Daddy Jacques,Monsieur Stangerson,21
Monsieur Robert Darzac,man,20
Mademoiselle,Monsieur Larsan,19
Mademoiselle Stangerson,man,19
Monsieur Joseph Rouletabille,Monsieur Robert,19
Mademoiselle,Monsieur Joseph Rouletabille,18
Daddy Jacques,Monsieur Larsan,17
Mademoiselle,Monsieur Jacques,17
Mademoiselle,Monsieur Robert,17
Monsieur Jacques,Monsieur Larsan,17
Monsieur Larsan,Monsieur Robert,16
Daddy Jacques,Mademoiselle,15
Mademoiselle,man,15
Monsieur,Monsieur Fred,15
Monsieur Joseph Rouletabille,man,15
Mademoiselle,Monsieur Stangerson,13
Monsieur Joseph Rouletabille,glandier,12
Monsieur Larsan,man,12
Monsieur,glandier,11
Monsieur Robert Darzac,Monsieur Stangerson,10
Henri Robert,Monsieur Robert,9
Monsieur,Monsieur Dax,9
Monsieur Ballmeyer,Monsieur Larsan,9
Mademoiselle Stangerson,glandier,8
Monsieur Robert,man,8
Monsieur Jacques,Monsieur Robert Darzac,7
Monsieur Larsan,Monsieur Stangerson,7
Monsieur Robert,Monsieur Stangerson,7
Monsieur Robert Darzac,glandier,7
Daddy Mathieu,Monsieur Joseph Rouletabille,6
Monsieur,Monsieur Maleine,6
Monsieur Fred,Monsieur Joseph Rouletabille,6
Monsieur Jacques,man,6
Monsieur Stangerson,man,6
man,n,6
Daddy Bernier,Monsieur,5
Daddy Jacques,Monsieur Robert Darzac,5
Daddy Jacques,man,5
Mademoiselle,glandier,5
Monsieur,Mr. Arthur William Rance,5
Monsieur,n,5
Monsieur Jacques,Monsieur Joseph Rouletabille,5
Monsieur Jacques,Monsieur Robert,5
Monsieur Larsan,glandier,5
Monsieur Robert,glandier,5
Daddy Jacques,Monsieur Robert,4
