node,is_victim,pagerank,victim_connection_weight,degree,strength
Bellatrix,0,0.033569612541011,0,2,3.0
Fritz von Waldbaum,0,0.0625,0,1,1.0
Granger,0,0.04567880065749876,0,3,5.0
Gryffindor,0,0.0882898340764941,0,4,11.0
Lord Kreacher,0,0.041991435301915944,0,2,4.0
Luna,0,0.05695120857314774,0,1,7.0
Miss Quaffle,0,0.036561404898941566,0,1,4.0
Mr. Gryffindor Quaffle,0,0.0882898340764941,0,4,11.0
Mr. Luna Deathly,0,0.18390326571379156,0,8,23.0
Mr. Narcissa Pansy,0,0.09709944385506863,0,4,13.0
Mr. Quibbler,0,0.01617160122473539,0,1,1.0
Narcissa,0,0.09569783117401781,0,5,13.0
Peeves Oliver,0,0.0625,0,1,1.0
Prince,0,0.029276981078910327,0,3,3.0
Sirius,0,0.038498970702573826,0,2,4.0
charles,0,0.023019776125399283,0,2,2.0
