char_id,name,story_title
1,Iger Hudson,The Naval Treaty
2,O'dowd Criss,The Naval Treaty
3,Fritz von Waldbaum,The Naval Treaty
4,Winslet Elba,The Naval Treaty
5,Lord Berry,The Naval Treaty
6,Christenson,The Naval Treaty
7,O'hara,The Naval Treaty
8,Costner,The Naval Treaty
9,Tadpole Elba,The Naval Treaty
10,Mr. Hudson,The Naval Treaty
11,Hudson,The Naval Treaty
12,My wife,The Naval Treaty
13,I,The Naval Treaty
14,Winslet,The Naval Treaty
15,Rourke Bergman,The Naval Treaty
16,O'brien,The Naval Treaty
17,Mr. Iger Hudson,The Naval Treaty
18,Koshy Adam,The Naval Treaty
19,Rourke,The Naval Treaty
20,Mr. Bergman,The Naval Treaty
21,Mr. Elba,The Naval Treaty
22,The woman,The Naval Treaty
23,the commissionnaire,The Naval Treaty
24,Mrs. Collette,The Naval Treaty
25,Mr. Kline,The Naval Treaty
26,Kline,The Naval Treaty
27,Dr. Verne,The Naval Treaty
28,Miss Bergman,The Naval Treaty
29,Adam,The Naval Treaty
30,Miller,The Naval Treaty
31,Mr. Rourke Bergman,The Naval Treaty
32,Collette,The Naval Treaty
33,Mr. Winslet Elba,The Naval Treaty
34,Bergman,The Naval Treaty
35,Elba,The Naval Treaty
36,our client,The Naval Treaty
37,Berry,The Naval Treaty
38,Cummings,The Naval Treaty
39,Mrs. Calloway,The Naval Treaty
40,Master Rourke,The Naval Treaty
41,gman,The Naval Treaty
