character1,character2,count
Miss Harrison,Mr. Joseph Harrison,12
Joseph,Mr. Joseph Harrison,7
Mr. Percy Phelps,Percy,7
Mr. Percy Phelps,Sherlock Holmes,4
Miss Harrison,Sherlock Holmes,3
Mr. Joseph Harrison,Sherlock Holmes,3
Sherlock Holmes,briarbrae,3
Holdhurst,Sherlock Holmes,2
Percy,Sherlock Holmes,2
Sherlock Holmes,woking,2
briarbrae,woking,2
Annie,Joseph,1
Annie,Mr. Joseph Harrison,1
Annie,Percy,1
Charles,Charles Gorot,1
Charles,Joseph,1
Charles,Mr. Joseph Harrison,1
Holdhurst,Watson,1
Joseph,Percy,1
Mr. Forbes,Sherlock Holmes,1
Mr. Joseph Harrison,Percy,1
Mr. Joseph Harrison,woking,1
Mr. Percy Phelps,Tadpole,1
Mr. Percy Phelps,Watson,1
Mr. Percy Phelps,briarbrae,1
Sherlock Holmes,hudson,1
Tadpole,Watson,1
