node,is_victim,pagerank,victim_connection_weight,degree,strength
Aaron Tray,0,0.0016602297748143833,0,4,6.0
Anne Jabez,0,0.016052654737497184,7,30,208.0
Aurora,0,0.0014340068485368055,1,3,3.0
Baileys,0,0.0013132676029506908,0,1,1.0
Balzac,0,0.0027142130172345064,3,6,23.0
Bartholemew Bhowanee,0,0.006700994738270656,2,18,89.0
Bartholemew Hants,0,0.03030446485976574,72,32,473.0
Barty,0,0.0019168390273035221,0,3,3.0
Bay Steerforth,0,0.04735671286928577,25,52,647.0
Beatrice Tray,0,0.013355392333473017,7,30,168.0
Becky,0,0.001391243216775693,0,2,2.0
Beecot Judas,0,0.0013132676029506908,0,1,1.0
Billingsgate,0,0.0018315576630704227,0,4,4.0
Billy,0,0.0014791403784688603,1,4,4.0
Cezar,0,0.0018291932477629133,0,5,8.0
Commercial,0,0.005108969238022112,6,11,58.0
David,0,0.0013177945672903618,0,1,1.0
Duenna,0,0.0013132676029506908,0,1,1.0
Gad,0,0.007717527853245534,4,18,91.0
Galahad,0,0.0025049850316844913,0,9,18.0
Garner,0,0.002042746574509205,2,4,6.0
Garner Joseph,0,0.0016770246001594118,0,3,3.0
George,0,0.0069543527093936216,1,22,84.0
George Joseph,0,0.009492217419900851,1,27,106.0
Granny,0,0.0019648683781112743,1,6,11.0
Granny Wainwright,0,0.003305224995868413,0,12,31.0
Green,0,0.0017804993594878497,0,4,6.0
Herrick,0,0.0015642353802826916,0,3,5.0
Hume,0,0.0017233395168361149,0,3,3.0
Humph,0,0.0014403905530350166,0,3,3.0
Jacko,0,0.0013115243277571442,0,1,1.0
Jove,0,0.002453901285676992,1,9,19.0
Judson,0,0.030388565402121405,11,40,416.0
Judson Joseph,0,0.004144669221738282,0,15,40.0
Julius,0,0.004678553870025028,0,18,46.0
Krill,0,0.008333333333333333,0,1,1.0
Lady Goethe,0,0.007161302789158614,21,18,97.0
Lady Goethe Don,1,0.03295253941950526,2,42,473.0
Lemuel,0,0.0038335233152755016,0,3,3.0
Lor,0,0.0018380578100159603,0,6,9.0
Louis,0,0.0019984196610982963,0,4,5.0
Marie,0,0.0016135667086616691,0,1,1.0
Matilda Frankenstein,0,0.0023360376366360677,0,1,1.0
Matilder,0,0.0016242866422947692,0,5,6.0
Meadow,0,0.011374139812628727,5,27,150.0
Meadow Shakespeare,0,0.0015092345738225346,0,3,3.0
Miss Aaron,0,0.012832069323327446,4,26,174.0
Miss Aaron Bhowanee,0,0.0033580060742494783,0,11,34.0
Miss Bartholemew,0,0.038521851958508144,16,44,566.0
Miss Charming,0,0.002026286007780755,0,5,9.0
Miss Hants,0,0.007483682695144349,2,14,106.0
Miss Tray,0,0.00171484109778442,0,3,7.0
Mr. Balzac Scott,0,0.030631993886015986,20,48,384.0
Mr. Bartholemew Goliath,0,0.00598387081224949,2,17,62.0
Mr. Hawk,0,0.0023952113859038284,0,10,18.0
Mr. Steerforth God,0,0.0020569708118873525,0,6,13.0
Mr. Wargrove Fergus,0,0.024194000146762835,22,29,334.0
Mrs. Judson Goliath,0,0.0015997734183356824,0,3,5.0
Mrs. Unforeseen Bhowanee,0,0.03952771604251474,27,39,579.0
Old,0,0.015284453397295502,6,39,205.0
Othello,0,0.008333333333333333,0,1,1.0
Page,0,0.0026121419064970117,0,8,17.0
Page Ford,0,0.002138759887030926,0,6,11.0
Pash,0,0.0025188561506195133,0,4,4.0
Paterfamilias,0,0.0014974762775069891,0,2,4.0
Paul Dorrit,0,0.001700658534388775,0,7,7.0
Paul Hurd,0,0.0018221663412887191,0,6,9.0
Pish,0,0.01618091690174277,10,28,207.0
Pish Goliath,0,0.0036680343004585844,0,10,34.0
Purr Junk,0,0.002007740218084527,0,5,5.0
Qian Lillian,0,0.0019168390273035221,0,3,3.0
