char_id,name,story_title
1,Andrew Wainwright,The Opal Serpent
2,Suzanne Shell,The Opal Serpent
3,Fergus Hume,The Opal Serpent
4,G. W. Dillingham,The Opal Serpent
5,Deborah Junk,The Opal Serpent
6,Dulcinea of Gwynne Street,The Opal Serpent
7,Syvia,The Opal Serpent
8,APTAIN JESSOP,The Opal Serpent
9,MISS QIAN,The Opal Serpent
10,MRS. KRILL,The Opal Serpent
11,PASH,The Opal Serpent
12,SIMON BEECOT,The Opal Serpent
13,PAUL,The Opal Serpent
14,Mr.,The Opal Serpent
15,Paul,The Opal Serpent
16,Mrs.,The Opal Serpent
17,Beecot,The Opal Serpent
18,paterfamilias,The Opal Serpent
19,Paterfamilias,The Opal Serpent
20,Beecot senior,The Opal Serpent
21,Beecot Senior,The Opal Serpent
22,Paul Beecot,The Opal Serpent
23,Grexon Hay,The Opal Serpent
24,Hay-Grexon Hay,The Opal Serpent
25,Hay,The Opal Serpent
26,Grexon,The Opal Serpent
27,Steerforth,The Opal Serpent
28,David Copperfield,The Opal Serpent
29,Sylvia,The Opal Serpent
30,Norman,The Opal Serpent
31,Mr. Norman,The Opal Serpent
32,Aaron Norman,The Opal Serpent
33,Bart Tawsey,The Opal Serpent
34,Sylvia Norman,The Opal Serpent
35,Aaron,The Opal Serpent
36,Barty,The Opal Serpent
37,Deborah J,The Opal Serpent
38,Bart,The Opal Serpent
39,Miss Sylvia,The Opal Serpent
40,Deborah,The Opal Serpent
41,old Nick,The Opal Serpent
42,Miss Junk,The Opal Serpent
43,Judas,The Opal Serpent
44,Jezebel,The Opal Serpent
45,Mr. Beecot,The Opal Serpent
46,Old Bailey,The Opal Serpent
47,Anne Beecot,The Opal Serpent
48,Debby,The Opal Serpent
49,Mrs Beecot,The Opal Serpent
50,cot,The Opal Serpent
51,Dulcinea,The Opal Serpent
52,Frankenstein,The Opal Serpent
53,Mrs. Beecot,The Opal Serpent
54,Sampson,The Opal Serpent
55,Goliath,The Opal Serpent
56,Mr. Hay,The Opal Serpent
57,Julius Cezar,The Opal Serpent
