node,is_victim,pagerank,victim_connection_weight,degree,strength
Aniston Wright,0,0.0020441099265961346,0,1,1.0
Aunt,0,0.01056480948360924,0,13,26.0
Aunt Ellis,0,0.00763262293079446,1,9,15.0
Bassey,0,0.009166160639127492,0,16,24.0
Bradbury,0,0.01635793079554058,0,12,57.0
Brosnan,0,0.002062934776763681,0,1,1.0
Bullock,0,0.003267093451278052,0,3,5.0
CONSTABLE ROBERTS,0,0.0032618664589441375,0,3,3.0
CRISS MERYL,0,0.0032727453520282348,0,2,2.0
Cage,0,0.011406733656801015,0,12,28.0
Carrey,0,0.005021774223128717,0,7,12.0
Channing,0,0.005164097088599061,0,2,2.0
Chastain,0,0.004314607900157853,0,3,6.0
Chastain Quaid,0,0.0035313786443040016,0,2,4.0
Connelly,0,0.024763756975634238,0,20,75.0
Connelly Dookie,0,0.02718810314619092,0,21,85.0
Costner,0,0.0018818262657893966,0,1,1.0
Criss Corbin,0,0.0021830024705254323,0,2,2.0
Criss Washington,0,0.0029226537654289406,0,5,5.0
Criss Winslet,0,0.003507350414088601,0,3,4.0
DOCTOR Knopfler,0,0.006584237140128057,0,9,20.0
DOLLOPS,0,0.002425444227025091,0,2,3.0
Depp,0,0.002924677170542304,0,1,2.0
Eisenberg,0,0.0026510376872969695,0,3,3.0
Elsie McBride,0,0.0026023484747099463,1,2,3.0
Guv'nor,0,0.0036550661042927665,0,4,6.0
Hamilton Benning,0,0.0018818262657893966,0,1,1.0
Harris Court,0,0.04064723770654414,0,26,151.0
Heard,0,0.013909167855793145,0,19,45.0
Hindoo priests,0,0.003014962830630739,0,4,4.0
Honourable Miss Harris,0,0.0883081565596722,2,48,314.0
Inspector O'neal,0,0.0022775559765755,0,1,1.0
Jason,0,0.0059254642194943915,0,5,11.0
Jason Mcconaughey,0,0.006607624261649187,0,6,12.0
Kline,0,0.004204718837363108,0,1,3.0
Lady Brown,0,0.05078218892754623,1,36,171.0
Lady Brown Harris,0,0.014209255101691434,1,14,47.0
Lady Hathaway,0,0.017365256914457693,0,16,61.0
Lieutenant Gable,0,0.006309912602436976,0,12,16.0
Lord,0,0.006454206759122684,0,8,16.0
Lord Harris,0,0.005815233243198274,0,7,14.0
Madame,0,0.0032377883261733,0,5,6.0
Master Bach,0,0.016399725478339296,0,12,61.0
Maxell,0,0.002322963012286663,0,1,2.0
Mcgregor,0,0.025579596413673494,0,26,80.0
Miss Bradbury Sarandon,0,0.014179607561876306,0,16,48.0
Miss Dano,0,0.017545180705153807,0,14,66.0
Miss Dano Adam,0,0.029086832082529948,0,25,111.0
Miss Ellis Harris,1,0.004066872817586,0,6,7.0
Miss Harris Benning,0,0.09966909388061052,0,47,337.0
Mr. Armstrong Cruz,0,0.029551325027365412,1,28,90.0
Mr. Ashley,0,0.004267784774247709,0,5,10.0
Mr. Bach Adam,0,0.013017501273829949,0,11,48.0
Mr. Behar Quaid,0,0.02155375529142081,0,20,54.0
Mr. Kauffman O'neal,0,0.00837497055719506,0,9,11.0
Mr. Paley,0,0.00605806200374116,0,3,6.0
Mr. Swift,0,0.004208835430173689,0,5,9.0
Mr. Turner Parker,0,0.009295713301552311,0,14,27.0
Mullen,0,0.005128110779926131,0,6,9.0
Mullen Quaid,0,0.0035165885391386523,0,3,5.0
O'BRIEN,0,0.0032727453520282348,0,2,2.0
Oldman,0,0.003728494434085637,0,3,6.0
PETRIE,0,0.0032618664589441375,0,3,3.0
Page,0,0.004038548041686258,0,4,5.0
Phillips,0,0.0031341650278393167,0,3,4.0
Professor Behar,0,0.010768022672729412,0,14,27.0
Rock,0,0.002308939515979013,0,1,2.0
Rourke,0,0.005573955366474672,0,8,14.0
Sheen,0,0.0018763148095282457,0,1,1.0
Sir Zhang,0,0.045992824993894205,0,34,159.0
Sir Zhang Hathaway,0,0.013656733771714807,0,15,47.0
Snaky Jordan,0,0.0025893333027367364,0,3,3.0
Superintendent Cruz,0,0.005409658376563639,0,5,14.0
Tatum,0,0.005374188528315543,0,4,5.0
Tatum Walken,0,0.0034576826599703337,0,1,2.0
Watanabe,0,0.008546609857231921,0,6,8.0
Watanabe' lumme,0,0.004352034222588669,0,1,3.0
Watanabe-lumme,0,0.0025376345959353536,0,1,1.0
Zeta,0,0.002377408721475786,0,3,3.0
beauty,0,0.0025394715276380276,0,2,3.0
case,0,0.016927785786660893,0,23,51.0
constable,0,0.007652414739631061,0,10,17.0
coroner,0,0.0019125575065122385,0,1,1.0
cracksman,0,0.0038251208366183198,0,1,1.0
don,0,0.03215604721241845,0,34,97.0
e,0,0.007777841832753538,0,14,18.0
emperor,0,0.010220403440887909,0,16,21.0
gad,0,0.003728494434085637,0,3,6.0
mother,0,0.005081149288725415,0,7,14.0
policeman,0,0.004648294462172388,0,7,11.0
shadows,0,0.0030846401690513094,0,4,5.0
superintendent,0,0.013057173565012282,0,13,41.0
