canonical_name,alias_name
Sir Wizardry Astoria Express,
Sir Wizardry Astoria Express,Astoria Express
Mrs. Nymphadora Snape,
Mrs. Nymphadora Snape,Nymphadora Snape
Miss Granger Dungbomb,
Miss Granger Dungbomb,Miss Dungbomb
Sir Wizardry Astoria,
Sir Wizardry Astoria,Astoria
Miss Fawkes Alastor,
Miss Fawkes Alastor,Miss Alastor
Miss Fawkes Alastor,Fawkes Alastor
Crumplehorn Padfoot,
Mr. Luna Cattermole,
Mr. Luna Cattermole,Cattermole
Mr. Luna Cattermole,Mr. Cattermole
Mr. Luna Cattermole,Luna Cattermole
Sir Seeker Sirius,
Sir Seeker Sirius,Sirius
Granger Mandrake,
Mr. Lee Umbridge,
Mr. Lee Umbridge,Umbridge
Mr. Lee Umbridge,Mr Umbridge
Mr. Lee Umbridge,Mr. Umbridge
Mr. Lee Umbridge,Lee Umbridge
Petunia Buckbeak,
Voldemort Sirius,
Voldemort Sirius,Mr. Sirius
Mr. Find Sirius,
Minerva Moony,
Veela Fawkes,
Veela Fawkes,Fawkes
Fleur Padma,
Rose Tonks,
Sister Grindelwald,
Sister Grindelwald,Grindelwald
Professor Chaser,
Inspector Wands,
Mr. Hufflepuff,
Mr. Hufflepuff,Hufflepuff
Mr. Hufflepuff,MR. Hufflepuff
Inspector Ron,
Inspector Ron,Ron
Mr. Credence,
Mr. Credence,Credence
Dr. Hermione,
Dr. Flitwick,
Sir Wizardry,
Mrs. Pansy,
Mrs. Pansy,Pansy
Longbottom,
Miss James,
Miss Pansy,
Dr. Goblet,
Potion 14,
Voldemort,
Fantastic,
Karkaroff,
Scorpius,
Wormtail,
Prisoner,
Quirrell,
Kreacher,
Narcissa,
Hogwarts,
Angelina,
Slughorn,
Neville,
Mr. Ron,
Granger,
Severus,
Bludger,
Rubeus,
Eileen,
Howler,
Dudley,
Pomona,
Dennis,
Snitch,
Viktor,
Black,
Colin,
Molly,
Errol,
Dobby,
Draco,
Teddy,
Lee,
Weasley's,
Riddle,
Order,
Broomstick,
Chimaera,
Horklump,
Gilderoy,
Lethifold,
Cursed,
Alley,
Cissa,
Witchcraft,
Diggory,
Keeper,
Peverell,
Wizarding,
Fluffy,
Secrets,
Regulus,
Dursley,
Parvati,
Tina,
Tom,
Tournament,
Gryffindor,
Vernon,
Lestrange,
Fire,
Philosopher,
Diagon,
Firebolt,
Quibbler,
Potter,
Centaur,
Child,
Bones,
Platform,
Fenrir,
Snidget,
Albus,
and,
Stone,
Halfblood,
Oliver,
Where,
