character1,character2,count
Weasley's,and,137
Voldemort,and,123
Lee,and,78
Miss Fawkes Alastor,Veela Fawkes,78
Veela Fawkes,and,45
Sir Wizardry,and,41
Where,and,35
Voldemort,Weasley's,33
Mrs. Pansy,and,31
Mr. Luna Cattermole,and,28
Sir Wizardry Astoria,Sir Wizardry Astoria Express,25
Miss Fawkes Alastor,and,24
Lee,Mr. Lee Umbridge,21
Lee,Weasley's,21
Sir Wizardry,Weasley's,19
Lee,Voldemort,16
Veela Fawkes,Weasley's,15
Lee,Sir Wizardry,14
Inspector Ron,and,13
Quirrell,and,13
Sir Wizardry,Sir Wizardry Astoria,13
Sir Wizardry,Sir Wizardry Astoria Express,13
Mr. Hufflepuff,and,12
Prisoner,and,12
Voldemort,Where,11
Mr. Lee Umbridge,and,10
Sir Seeker Sirius,and,9
Snitch,and,9
Lee,Veela Fawkes,8
Quirrell,Voldemort,8
Draco,and,7
Mr. Luna Cattermole,Weasley's,7
Mrs. Pansy,Weasley's,7
Prisoner,Weasley's,7
Black,and,6
Dennis,and,6
Miss Fawkes Alastor,Voldemort,6
Miss Granger Dungbomb,and,6
Mr. Luna Cattermole,Quirrell,6
Neville,and,6
Platform,and,6
Veela Fawkes,Voldemort,6
Neville,Snitch,5
Prisoner,Voldemort,5
Sir Wizardry,Voldemort,5
Sir Wizardry Astoria,and,5
Sir Wizardry Astoria Express,and,5
Snitch,Voldemort,5
Draco,Lee,4
Granger,Miss Granger Dungbomb,4
Inspector Ron,Lee,4
Mr. Credence,and,4
Mr. Hufflepuff,Voldemort,4
Mr. Luna Cattermole,Voldemort,4
Order,Voldemort,4
Veela Fawkes,Where,4
Black,Weasley's,3
Dobby,Mrs. Pansy,3
Dobby,and,3
Fantastic,and,3
Inspector Ron,Sir Wizardry,3
Lee,Miss Fawkes Alastor,3
Miss Fawkes Alastor,Weasley's,3
Miss Pansy,Mrs. Pansy,3
Mr. Hufflepuff,Weasley's,3
Mr. Lee Umbridge,Sir Wizardry,3
Mr. Lee Umbridge,Voldemort,3
Mr. Lee Umbridge,Weasley's,3
Neville,Veela Fawkes,3
Neville,Weasley's,3
Order,and,3
Pomona,and,3
Sir Seeker Sirius,Voldemort,3
Weasley's,Where,3
Black,Voldemort,2
Broomstick,and,2
Colin,Voldemort,2
Colin,and,2
Dennis,Voldemort,2
Fire,Voldemort,2
Fire,and,2
Granger,Weasley's,2
Inspector Ron,Miss Fawkes Alastor,2
Inspector Ron,Veela Fawkes,2
Lee,Mr. Hufflepuff,2
Lee,Neville,2
Lee,Pomona,2
Lee,Sir Wizardry Astoria,2
Lee,Sir Wizardry Astoria Express,2
Minerva Moony,Miss Granger Dungbomb,2
Minerva Moony,and,2
Miss Fawkes Alastor,Neville,2
Miss Fawkes Alastor,Sir Seeker Sirius,2
Miss Fawkes Alastor,Sir Wizardry,2
Miss Fawkes Alastor,Where,2
Miss Granger Dungbomb,Weasley's,2
Miss James,Viktor,2
Mr. Hufflepuff,Where,2
Mr. Lee Umbridge,Sir Wizardry Astoria,2
Mr. Lee Umbridge,Sir Wizardry Astoria Express,2
Mrs. Pansy,Voldemort,2
Platform,Voldemort,2
Prisoner,Quirrell,2
Sir Seeker Sirius,Veela Fawkes,2
Sir Seeker Sirius,Voldemort Sirius,2
Sir Seeker Sirius,Where,2
Sir Wizardry,Veela Fawkes,2
Sir Wizardry,Where,2
Slughorn,and,2
Voldemort,Voldemort Sirius,2
Alley,and,1
Angelina,Voldemort,1
Angelina,and,1
Black,Lee,1
Black,Mr. Luna Cattermole,1
Bludger,Prisoner,1
Bludger,Weasley's,1
Bludger,and,1
Bones,and,1
Broomstick,Sister Grindelwald,1
Broomstick,Voldemort,1
Centaur,Child,1
Centaur,Fantastic,1
Centaur,Slughorn,1
Centaur,and,1
Child,Fantastic,1
Child,Slughorn,1
Child,Weasley's,1
Child,and,1
Chimaera,and,1
Crumplehorn Padfoot,Secrets,1
Dennis,Halfblood,1
Dennis,Lee,1
Diagon,and,1
Dobby,Miss Fawkes Alastor,1
Dobby,Prisoner,1
Dobby,Quirrell,1
Dobby,Veela Fawkes,1
Draco,Mr. Lee Umbridge,1
Eileen,and,1
Errol,and,1
Fantastic,Neville,1
Fantastic,Slughorn,1
Fantastic,Veela Fawkes,1
Fenrir,Weasley's,1
Fire,Inspector Ron,1
Fire,Weasley's,1
Fleur Padma,and,1
Gilderoy,Horklump,1
Gilderoy,and,1
Granger,Granger Mandrake,1
Granger,and,1
Hogwarts,Lee,1
Hogwarts,and,1
Horklump,and,1
Inspector Ron,Order,1
Inspector Ron,Sir Wizardry Astoria,1
Inspector Ron,Sir Wizardry Astoria Express,1
Keeper,Mr. Lee Umbridge,1
Keeper,Peverell,1
Lee,Molly,1
Lee,Mrs. Pansy,1
Lee,Platform,1
Lee,Prisoner,1
Lee,Sir Seeker Sirius,1
Lee,Where,1
Longbottom,Narcissa,1
Longbottom,Voldemort,1
Minerva Moony,Miss Fawkes Alastor,1
Minerva Moony,Veela Fawkes,1
Miss Fawkes Alastor,Order,1
Miss Fawkes Alastor,Wormtail,1
Miss Granger Dungbomb,Where,1
Miss James,and,1
Mr. Hufflepuff,Sir Seeker Sirius,1
Mr. Hufflepuff,Sir Wizardry,1
Mr. Lee Umbridge,Neville,1
Mr. Lee Umbridge,Peverell,1
Mr. Luna Cattermole,Platform,1
Mr. Luna Cattermole,Where,1
Mrs. Nymphadora Snape,Voldemort,1
Mrs. Pansy,Where,1
Narcissa,Voldemort,1
Order,Sister Grindelwald,1
Order,Veela Fawkes,1
Order,Weasley's,1
Petunia Buckbeak,and,1
Platform,Quirrell,1
Platform,Where,1
Potion 14,Snitch,1
Prisoner,Stone,1
Prisoner,Where,1
Quirrell,Where,1
Riddle,Weasley's,1
Rose Tonks,Voldemort,1
Severus,Wizarding,1
Severus,and,1
Sir Seeker Sirius,Sir Wizardry,1
Sir Seeker Sirius,Sir Wizardry Astoria,1
Sir Seeker Sirius,Sir Wizardry Astoria Express,1
Sir Wizardry Astoria,Voldemort,1
Sir Wizardry Astoria,Weasley's,1
Sir Wizardry Astoria Express,Voldemort,1
Sir Wizardry Astoria Express,Weasley's,1
Sister Grindelwald,Voldemort,1
Sister Grindelwald,and,1
Slughorn,Voldemort,1
Stone,and,1
Tina,Weasley's,1
Veela Fawkes,Wormtail,1
Viktor,and,1
Wizarding,and,1
