node,is_victim,pagerank,victim_connection_weight,degree,strength
Alley,0,0.002287990816366124,0,1,1.0
Angelina,0,0.0025769098167560474,0,2,2.0
Black,0,0.0056741436676949475,0,5,13.0
Bludger,0,0.002897551435337504,0,3,3.0
Bones,0,0.002287990816366124,0,1,1.0
Broomstick,0,0.0036666803207999546,0,3,4.0
Centaur,0,0.004509372325131275,0,4,4.0
Child,0,0.004905625068718594,0,5,5.0
Chimaera,0,0.002287990816366124,0,1,1.0
Colin,0,0.003153819633512094,0,2,4.0
Crumplehorn Padfoot,0,0.013333333333333334,0,1,1.0
Dennis,0,0.006763907442867015,0,4,10.0
Diagon,0,0.002287990816366124,0,1,1.0
Dobby,0,0.004937803158110223,3,6,10.0
Draco,0,0.005415437744938044,0,3,12.0
Eileen,0,0.002287990816366124,0,1,1.0
Errol,0,0.002287990816366124,0,1,1.0
Fantastic,0,0.00599713923971181,0,6,8.0
Fenrir,0,0.0022719496033632995,0,1,1.0
Fire,0,0.003729750553336742,0,4,6.0
Fleur Padma,0,0.002287990816366124,0,1,1.0
Gilderoy,0,0.003979268008750429,0,2,2.0
Granger,0,0.00715888969016165,0,4,8.0
Granger Mandrake,0,0.00276057075886489,0,1,1.0
Halfblood,0,0.002574953161473074,0,1,1.0
Hogwarts,0,0.002557438512005898,0,2,2.0
Horklump,0,0.003979268008750429,0,2,2.0
Inspector Ron,0,0.010013503379114112,0,9,28.0
Keeper,0,0.004037949263416253,0,2,2.0
Lee,0,0.059595067618308184,1,23,188.0
Longbottom,0,0.003980863331913152,0,2,2.0
Minerva Moony,0,0.004055874176752751,0,4,6.0
Miss Fawkes Alastor,0,0.03685487821273554,0,14,128.0
Miss Granger Dungbomb,0,0.008734625227829855,0,5,15.0
Miss James,0,0.005284836615268993,0,2,3.0
Miss Pansy,0,0.0029408380886051504,3,1,3.0
Molly,0,0.002269447695639775,0,1,1.0
Mr. Credence,0,0.003151963265464495,0,1,4.0
Mr. Hufflepuff,0,0.009088674689232192,0,7,25.0
Mr. Lee Umbridge,0,0.01816731792728707,0,11,48.0
Mr. Luna Cattermole,0,0.015984083287333632,0,7,48.0
Mrs. Nymphadora Snape,0,0.0022889190003899237,0,1,1.0
Mrs. Pansy,1,0.0177087547057983,0,7,48.0
Narcissa,0,0.003980863331913152,0,2,2.0
Neville,0,0.009352970625485882,0,8,23.0
Order,0,0.005887136703150889,0,7,12.0
Petunia Buckbeak,0,0.002287990816366124,0,1,1.0
Peverell,0,0.004037949263416253,0,2,2.0
Platform,0,0.005435278407940881,0,6,12.0
Pomona,0,0.00340286784037792,0,2,5.0
Potion 14,0,0.0024173412558777595,0,1,1.0
Prisoner,0,0.012312742320537279,0,9,31.0
Quirrell,0,0.011504933324556103,0,7,32.0
Riddle,0,0.0022719496033632995,0,1,1.0
Rose Tonks,0,0.0022889190003899237,0,1,1.0
Secrets,0,0.013333333333333334,0,1,1.0
Severus,0,0.003979268008750429,0,2,2.0
Sir Seeker Sirius,0,0.009702882325771883,0,11,25.0
Sir Wizardry,0,0.034960852017259465,0,13,119.0
Sir Wizardry Astoria,0,0.01553537505911033,0,9,51.0
Sir Wizardry Astoria Express,0,0.01553537505911033,0,9,51.0
Sister Grindelwald,0,0.0037730907730060426,0,4,4.0
Slughorn,0,0.005294488823745551,0,5,6.0
Snitch,0,0.009819482182378329,0,4,20.0
Stone,0,0.002625601831974205,0,2,2.0
Tina,0,0.0022719496033632995,0,1,1.0
Veela Fawkes,0,0.04901210326462465,0,15,170.0
Viktor,0,0.005284836615268993,0,2,3.0
Voldemort,0,0.08837282209561917,2,32,260.0
Voldemort Sirius,0,0.003237629462621728,0,2,4.0
Weasley's,0,0.08862115487854802,7,25,277.0
Where,0,0.02170996906519291,1,15,68.0
Wizarding,0,0.003979268008750429,0,2,2.0
Wormtail,0,0.0024897776449903943,0,2,2.0
and,0,0.24226245376993572,31,56,715.0
