char_id,name,story_title
1,Marguerite Janet,The Secret Adversary
2,Annie,The Secret Adversary
3,Vandemeyer Monsieur,The Secret Adversary
4,Mabel P. Bond,The Secret Adversary
5,Wheeler,The Secret Adversary
6,Mephistopheles,The Secret Adversary
7,Sir Ritz Lewis,The Secret Adversary
8,Napoleon,The Secret Adversary
9,The Speaker,The Secret Adversary
10,Her,The Secret Adversary
11,The Girl,The Secret Adversary
12,The Ambassador,The Secret Adversary
13,Miss Chicken Conrad,The Secret Adversary
14,Bown Greenbank,The Secret Adversary
15,Margaret,The Secret Adversary
16,Vandemeyer,The Secret Adversary
17,Chicken Conrad,The Secret Adversary
18,Archdeacon Conrad,The Secret Adversary
19,Eleanor,The Secret Adversary
20,Stepanov,The Secret Adversary
21,Lieutenant Wales Kramenin,The Secret Adversary
22,Mr. Kramenin,The Secret Adversary
23,Mr. Brown Annie,The Secret Adversary
24,Mr. Annie,The Secret Adversary
25,Madame Westhaven,The Secret Adversary
26,Johnnies,The Secret Adversary
27,Miss Conrad,The Secret Adversary
28,A. Willie,The Secret Adversary
29,Mr. Willie,The Secret Adversary
30,Bradshaw,The Secret Adversary
31,Mr. Napoleon,The Secret Adversary
32,Willie,The Secret Adversary
33,Mr Willie,The Secret Adversary
34,Mabel P,The Secret Adversary
35,Kramenin,The Secret Adversary
36,Topheles,The Secret Adversary
37,Mr. Bond,The Secret Adversary
38,Aunt Vandemeyer,The Secret Adversary
39,Amos Monsieur,The Secret Adversary
40,Mabel,The Secret Adversary
41,Inspector Roylance,The Secret Adversary
42,C.I.Hiram,The Secret Adversary
43,Peche Ivanovitch,The Secret Adversary
44,Mabel Bond,The Secret Adversary
45,Peter,The Secret Adversary
46,Mrs. Beresford God,The Secret Adversary
47,Finn,The Secret Adversary
48,Annette,The Secret Adversary
49,Adams,The Secret Adversary
50,Johnnies Cross,The Secret Adversary
51,Tommy,The Secret Adversary
52,Ivan,The Secret Adversary
53,Monsieur,The Secret Adversary
54,Number,The Secret Adversary
55,Brown,The Secret Adversary
56,Bond,The Secret Adversary
57,Scotland Yard,The Secret Adversary
58,Keith Chester,The Secret Adversary
59,James One,The Secret Adversary
60,James Fourteen,The Secret Adversary
61,Mr. Charing,The Secret Adversary
62,Sinn Chester,The Secret Adversary
63,Belfast,The Secret Adversary
64,Jove,The Secret Adversary
65,Boris,The Secret Adversary
66,Fishers,The Secret Adversary
67,Westway,The Secret Adversary
68,Rysdale,The Secret Adversary
69,Edward,The Secret Adversary
70,MR. Willie,The Secret Adversary
71,Mrs. Cross,The Secret Adversary
72,Miss Carter,The Secret Adversary
73,Chicken Amos,The Secret Adversary
74,Count Twopence,The Secret Adversary
75,Number Ivanovitch,The Secret Adversary
76,Marjorie Lewis,The Secret Adversary
