character1,character2,count
Mr. Naman Alia,Naman,35
Mr. Ranbir,Mr. Ranbir Aparna,24
Captain Katrina,Miss Shalini Katrina,15
Major Aparna,Mr. Ranbir Aparna,14
Mr. Naman Alia,this,12
Brother Nithya,Mr. Nithya Aparna,11
Brother Nithya,Mr. Ranbir Aparna,11
Lakshya Keshav,this,11
Mr. Nithya Aparna,Mr. Ranbir Aparna,11
Yash,treasure,10
this,treasure,10
Miss Shalini Katrina,treasure,8
Mr. Ranbir Aparna,this,7
Reema,Reema Zoya,7
Mr. Naman Alia,Mr. Sakshi Ronit,6
Mr. Ranbir Aparna,treasure,6
Mr. Sakshi Ronit,this,5
Rohan,this,5
Yash,this,5
Guneet,this,4
Lakshya Keshav,treasure,4
Miss Shalini Katrina,Mr. Ranbir Aparna,4
Miss Shalini Katrina,this,4
Pooja Ramya,Reema,4
Anirudh Om,Reema,3
Anirudh Om,this,3
Bandita,treasure,3
Brother Nithya,this,3
Guneet,Mr. Sakshi Ronit,3
Lakshya Keshav,Mr. Sakshi Ronit,3
Manisha Neerja,Reema,3
Manisha Neerja,Reema Zoya,3
Miss Shalini Katrina,Shalini,3
Mr. Naman Alia,Mr. Ranbir Aparna,3
small,this,3
Anirudh Om,Reema Zoya,2
Bandita,Yash,2
Bandita,this,2
Brother Nithya,Guneet,2
Captain Katrina,Major Aparna,2
Captain Katrina,Mr. Ranbir Aparna,2
Captain Katrina,treasure,2
Dr. Mahesh,Mr. Naman Alia,2
India,Mr. Ranbir Aparna,2
India,this,2
Lakshya Keshav,Miss Shalini Katrina,2
Lakshya Keshav,Mr. Naman Alia,2
Madhavan Shahid,white,2
Major Aparna,Miss Shalini Katrina,2
Major Aparna,treasure,2
Manisha Neerja,Pooja Ramya,2
Miss Shalini Katrina,Yash,2
Miss Shalini Katrina,white,2
Mr. Naman Alia,Shalu Deepika,2
Mr. Nithya Aparna,this,2
Mr. Ranbir,this,2
Mr. Sakshi Ronit,atheney,2
Pooja Ramya,Reema Zoya,2
Tarun Shriman,this,2
Aditi,Mr. Sakshi Ronit,1
Aditi,Urmila,1
Anirudh Om,Bandita,1
Arvind,Sir Ishaan,1
Brown,Rohan,1
Brown,white,1
Camberwell,Miss Shalini Katrina,1
Camberwell,Mr. Naman Alia,1
Camberwell,Mrs. Kritika Udita,1
Captain Katrina,Lakshya Keshav,1
Captain Katrina,Lieutenant Manju Pushkar,1
Captain Katrina,Tarun Vicky,1
Captain Katrina,Yash,1
Colonel Divya,Yash,1
Dr. Mahesh,Naman,1
Dr. Mahesh,this,1
Dr. Mahesh,treasure,1
Guneet,Lakshya Keshav,1
Guneet,Miss Shalini Katrina,1
Guneet,Mr. Nithya Aparna,1
Guneet,Mr. Ranbir Aparna,1
Guneet,Tarun Shriman,1
Hina,this,1
Hina,treasure,1
India,Major Aparna,1
India,treasure,1
Irrfan,this,1
Jacobson,Mr. Naman Alia,1
Jacobson,Mr. Sakshi Ronit,1
Karan Pallavi,Karan Pallavi Murder,1
Karan Pallavi,Mr. Naman Alia,1
Karan Pallavi,this,1
Karan Pallavi Murder,Mr. Naman Alia,1
Karan Pallavi Murder,this,1
Lakshya Keshav,Manisha Neerja,1
Lakshya Keshav,Naman,1
Lakshya Keshav,Pooja Ramya,1
Lakshya Keshav,Reema,1
Lakshya Keshav,Reema Zoya,1
Lieutenant Manju Pushkar,Major Aparna,1
Lieutenant Manju Pushkar,Miss Shalini Katrina,1
Lieutenant Manju Pushkar,Mr. Ranbir Aparna,1
Madhavan Shahid,Mr. Naman Alia,1
Madhavan Shahid,Yami,1
Madhavan Shahid,treasure,1
Major Aparna,this,1
McMurdo,Mr. Naman Alia,1
McMurdo,Naman,1
McMurdo,Tarun Shriman,1
McMurdo,this,1
Miss Shalini Katrina,Mrs. Kritika Udita,1
Miss Shalini Katrina,Tarun Vicky,1
Miss Shalini Katrina,hope,1
Mr. Kajol Tushar,white,1
Mr. Naman Alia,Mr. Ranbir,1
Mr. Naman Alia,treasure,1
Mr. Ranbir,Naman,1
Mr. Ranbir Aparna,Naman,1
Mr. Ranbir Aparna,Sarika Aparna,1
Mr. Ranbir Aparna,Yash,1
Mr. Sakshi Ronit,Naman,1
Mr. Sakshi Ronit,Tarun Shriman,1
Mr. Sakshi Ronit,Urmila,1
Mrs. Kritika Udita,hope,1
Naman,this,1
Pooja Ramya,this,1
Rohan,white,1
Roshan Pushkar,this,1
Roshan Pushkar,treasure,1
Shalini,this,1
Sholtos,this,1
Sholtos,treasure,1
Sikhs,Yash,1
Yami,white,1
Yash,small,1
hope,small,1
hope,treasure,1
small,white,1
this,white,1
