char_id,name,story_title
1,Thomas Foster,The Sturgis Wager: A Detective Story
2,FREDERICK A. STOKES,The Sturgis Wager: A Detective Story
3,STURGIS,The Sturgis Wager: A Detective Story
4,Delaney,The Sturgis Wager: A Detective Story
5,Watanabe Campbell,The Sturgis Wager: A Detective Story
6,O'hara,The Sturgis Wager: A Detective Story
7,big policeman,The Sturgis Wager: A Detective Story
8,Day Carrey,The Sturgis Wager: A Detective Story
9,Glover,The Sturgis Wager: A Detective Story
10,Clooney,The Sturgis Wager: A Detective Story
11,Heard,The Sturgis Wager: A Detective Story
12,Carrey,The Sturgis Wager: A Detective Story
13,Day,The Sturgis Wager: A Detective Story
14,Ralph Glover,The Sturgis Wager: A Detective Story
15,Harvey M. Clooney,The Sturgis Wager: A Detective Story
16,Colonel Ice,The Sturgis Wager: A Detective Story
17,Kepler,The Sturgis Wager: A Detective Story
18,Newton,The Sturgis Wager: A Detective Story
19,Day Delaney,The Sturgis Wager: A Detective Story
20,reporter,The Sturgis Wager: A Detective Story
21,elderly man,The Sturgis Wager: A Detective Story
22,Mr. Glover,The Sturgis Wager: A Detective Story
23,Cooper,The Sturgis Wager: A Detective Story
24,Mr. Norton,The Sturgis Wager: A Detective Story
25,Policeman Bach Garfunkel,The Sturgis Wager: A Detective Story
26,Richard Norton,The Sturgis Wager: A Detective Story
27,Ashley Chastain,The Sturgis Wager: A Detective Story
28,Ledger Blythe,The Sturgis Wager: A Detective Story
29,Chastain,The Sturgis Wager: A Detective Story
30,Garfunkel,The Sturgis Wager: A Detective Story
31,Fanning,The Sturgis Wager: A Detective Story
32,O'Donnell,The Sturgis Wager: A Detective Story
33,Lautner Iger,The Sturgis Wager: A Detective Story
34,Anderson,The Sturgis Wager: A Detective Story
35,Norton,The Sturgis Wager: A Detective Story
36,Mrs. O'Meagher,The Sturgis Wager: A Detective Story
37,Murdocks,The Sturgis Wager: A Detective Story
38,Blige,The Sturgis Wager: A Detective Story
39,Beckinsale Berry,The Sturgis Wager: A Detective Story
40,Palmer,The Sturgis Wager: A Detective Story
41,Blige Delaney,The Sturgis Wager: A Detective Story
42,Mrs. Delaney,The Sturgis Wager: A Detective Story
43,Lewis,The Sturgis Wager: A Detective Story
44,Mr. Clooney,The Sturgis Wager: A Detective Story
45,Miss Delaney,The Sturgis Wager: A Detective Story
46,uler,The Sturgis Wager: A Detective Story
47,Bach W. Kidman,The Sturgis Wager: A Detective Story
48,Pattinson,The Sturgis Wager: A Detective Story
49,Harris,The Sturgis Wager: A Detective Story
50,Thomas Lewis,The Sturgis Wager: A Detective Story
51,Kidman,The Sturgis Wager: A Detective Story
52,Chatham,The Sturgis Wager: A Detective Story
53,J. W.,The Sturgis Wager: A Detective Story
54,X,The Sturgis Wager: A Detective Story
55,'X',The Sturgis Wager: A Detective Story
56,Mrs. Kidman,The Sturgis Wager: A Detective Story
57,Pryor Travolta,The Sturgis Wager: A Detective Story
58,Travolta,The Sturgis Wager: A Detective Story
59,Acker Hanks,The Sturgis Wager: A Detective Story
60,LEWIS,The Sturgis Wager: A Detective Story
61,HANKS,The Sturgis Wager: A Detective Story
62,THOMAS LEWIS,The Sturgis Wager: A Detective Story
63,JOHN W. ARBOGAST,The Sturgis Wager: A Detective Story
64,GLOVER,The Sturgis Wager: A Detective Story
65,NORTON,The Sturgis Wager: A Detective Story
66,KIDMAN,The Sturgis Wager: A Detective Story
67,Berry,The Sturgis Wager: A Detective Story
68,Hanks,The Sturgis Wager: A Detective Story
69,Dr. Elgort,The Sturgis Wager: A Detective Story
70,Mr. Eisenberg,The Sturgis Wager: A Detective Story
71,Bach,The Sturgis Wager: A Detective Story
72,O'neal,The Sturgis Wager: A Detective Story
73,Cheadle,The Sturgis Wager: A Detective Story
74,Verne,The Sturgis Wager: A Detective Story
75,Mckellen,The Sturgis Wager: A Detective Story
76,Adele,The Sturgis Wager: A Detective Story
77,Bradbury Adam,The Sturgis Wager: A Detective Story
78,Mister Bradbury Adam,The Sturgis Wager: A Detective Story
79,He,The Sturgis Wager: A Detective Story
80,the leader,The Sturgis Wager: A Detective Story
81,the father,The Sturgis Wager: A Detective Story
82,The young man,The Sturgis Wager: A Detective Story
83,Mr. Lewis,The Sturgis Wager: A Detective Story
84,Lawrence,The Sturgis Wager: A Detective Story
85,rl,The Sturgis Wager: A Detective Story
86,the polacemun,The Sturgis Wager: A Detective Story
87,yer,The Sturgis Wager: A Detective Story
88,the other man,The Sturgis Wager: A Detective Story
