character1,character2,count
Blige Delaney,Miss Delaney,30
Blige Delaney,Mr. Glover,27
Mrs. Kidman,Thomas Lewis,23
Blige Delaney,Day,21
Blige,Blige Delaney,19
Day,Day Carrey,19
Mr. Clooney,Mr. Glover,19
Blige Delaney,Day Delaney,17
Day,Day Delaney,17
Day,Mr. Glover,13
Mr. Glover,Mr. Norton,12
Day,Mr. Clooney,8
Blige Delaney,Mr. Clooney,7
Day,Thomas Lewis,7
Acker Hanks,Thomas Lewis,6
Blige,Mr. Clooney,6
Day Carrey,Mr. Glover,6
Mr. Norton,Thomas Lewis,6
Blige,Thomas Lewis,5
Day Delaney,Mr. Glover,5
Mr. Glover,Thomas Lewis,4
Blige Delaney,Heard,3
Day,Miss Delaney,3
Day,Mr. Norton,3
Day,Mrs. Kidman,3
Day Carrey,Mr. Clooney,3
Miss Delaney,Mr. Clooney,3
Mr. Clooney,Thomas Lewis,3
Mr. Glover,Mrs. Kidman,3
Mr. Norton,Mrs. Kidman,3
Thomas Lewis,Verne,3
Acker Hanks,Mr. Glover,2
Acker Hanks,Mrs. Kidman,2
Acker Hanks,Pryor Travolta,2
Ashley Chastain,Garfunkel,2
Bach,Garfunkel,2
Beckinsale Berry,Thomas Lewis,2
Blige,Palmer,2
Blige Delaney,Mr. Norton,2
Day Carrey,Mr. Norton,2
Harris,Pattinson,2
Heard,Mr. Glover,2
Mr. Clooney,Mr. Norton,2
Mr. Glover,Verne,2
Pryor Travolta,Thomas Lewis,2
Acker Hanks,Day,1
Acker Hanks,Mr. Norton,1
Anderson,Blige Delaney,1
Anderson,Day,1
Anderson,Day Delaney,1
Ashley Chastain,Ledger Blythe,1
Ashley Chastain,Mr. Glover,1
Ashley Chastain,Mrs. Kidman,1
Bach,Blige Delaney,1
Beckinsale Berry,Heard,1
Beckinsale Berry,Mrs. Kidman,1
Blige,Day,1
Blige,Miss Delaney,1
Blige Delaney,Day Carrey,1
Blige Delaney,Garfunkel,1
Blige Delaney,Palmer,1
Blige Delaney,Thomas Lewis,1
Day Carrey,Mrs. Kidman,1
Day Carrey,Thomas Lewis,1
Day Delaney,Mr. Norton,1
Fanning,Garfunkel,1
Garfunkel,Heard,1
Garfunkel,Ledger Blythe,1
Harris,Mrs. Kidman,1
Harris,Thomas Lewis,1
Heard,Mr. Clooney,1
Heard,Mr. Norton,1
Ice,Mr. Clooney,1
Mckellen,Thomas Lewis,1
Mckellen,Verne,1
Miss Delaney,Mr. Glover,1
Mr. Clooney,Verne,1
