char_id,name,story_title
1,Padma Remus,The Teeth of the Tiger
2,Fenrir Patronus,The Teeth of the Tiger
3,Arsène Fleur,The Teeth of the Tiger
4,Azkaban Binns,The Teeth of the Tiger
5,McGonagall,The Teeth of the Tiger
6,D'Artagnan,The Teeth of the Tiger
7,Harry Diggory,The Teeth of the Tiger
8,Shakespeare,The Teeth of the Tiger
9,Weber,The Teeth of the Tiger
10,Erumpent,The Teeth of the Tiger
11,Quaffle le Préfet,The Teeth of the Tiger
12,Vérot,The Teeth of the Tiger
13,Alastor Vérot,The Teeth of the Tiger
14,Quaffle le Secrétaire,The Teeth of the Tiger
15,Quaffle Cursed,The Teeth of the Tiger
16,Cursed,The Teeth of the Tiger
17,Molly Gryffindor,The Teeth of the Tiger
18,Maître Witchcraft,The Teeth of the Tiger
19,Lucius Bludger,The Teeth of the Tiger
20,Major Comte d'Astrignac,The Teeth of the Tiger
21,Moony Fred,The Teeth of the Tiger
22,Arthur,The Teeth of the Tiger
23,Erumpent. Cursed,The Teeth of the Tiger
24,Bludger,The Teeth of the Tiger
25,Fred,The Teeth of the Tiger
26,Comte d'Astrignae,The Teeth of the Tiger
27,Major,The Teeth of the Tiger
28,Potter,The Teeth of the Tiger
29,Bathilda,The Teeth of the Tiger
30,Crimses,The Teeth of the Tiger
31,Weasley's,The Teeth of the Tiger
32,Crimes,The Teeth of the Tiger
33,Comte d'Astrignac,The Teeth of the Tiger
34,Mr. Bathilda,The Teeth of the Tiger
35,Crimes Bathilda,The Teeth of the Tiger
36,Hubert Bathilda,The Teeth of the Tiger
37,Weasley's Granger,The Teeth of the Tiger
38,Katie Granger,The Teeth of the Tiger
39,Nimbus Granger,The Teeth of the Tiger
40,Potter Granger,The Teeth of the Tiger
41,Moony Marauder,The Teeth of the Tiger
42,Moony Marauder Fred,The Teeth of the Tiger
43,Prefect of Police,The Teeth of the Tiger
44,Mr. Crimes Bathilda,The Teeth of the Tiger
45,Señor Bludger,The Teeth of the Tiger
46,Private Fred,The Teeth of the Tiger
47,d'Artagnan,The Teeth of the Tiger
48,Wizardry,The Teeth of the Tiger
49,de Padfoot,The Teeth of the Tiger
50,Quaffle,The Teeth of the Tiger
51,Mr. Crimes,The Teeth of the Tiger
52,Prefect,The Teeth of the Tiger
53,Doctor Triwizard,The Teeth of the Tiger
54,Major d'Astrignac,The Teeth of the Tiger
55,solicitor,The Teeth of the Tiger
56,Erumpent Cursed,The Teeth of the Tiger
57,Maître Lepertais,The Teeth of the Tiger
58,Merope,The Teeth of the Tiger
59,Hippolyte School,The Teeth of the Tiger
60,Dudley School,The Teeth of the Tiger
61,MooNY MArauder,The Teeth of the Tiger
62,Bathilda's,The Teeth of the Tiger
63,Sergeant Fluffy,The Teeth of the Tiger
64,VÉROt,The Teeth of the Tiger
65,Fluffy,The Teeth of the Tiger
66,Hogwarts,The Teeth of the Tiger
67,Crimes Bathilda's legatee,The Teeth of the Tiger
68,Dennis,The Teeth of the Tiger
69,Find,The Teeth of the Tiger
70,Moony,The Teeth of the Tiger
71,Chief,The Teeth of the Tiger
72,Dudley,The Teeth of the Tiger
73,School's house,The Teeth of the Tiger
74,School,The Teeth of the Tiger
75,Draco,The Teeth of the Tiger
76,Lestrang,The Teeth of the Tiger
77,Lestrange,The Teeth of the Tiger
78,Moon Marauder,The Teeth of the Tiger
79,Fleur,The Teeth of the Tiger
80,Malfoy,The Teeth of the Tiger
81,Prisoner School,The Teeth of the Tiger
82,Horace,The Teeth of the Tiger
83,Prisoner,The Teeth of the Tiger
