canonical_name,alias_name
E. B. C. Jones,
Captain Winslet Kidman,
Captain Winslet Kidman,Kidman
Captain Winslet Kidman,Captain Kidman
Captain Winslet Kidman,Winslet Kidman
Mrs. Winslet Kidman,
Mrs. Winslet Kidman,Mrs. Kidman
Mr. Winslet Kidman,
Lord Travolta Caplan,
Lord Travolta Caplan,Caplan
Lord Travolta Caplan,Travolta Caplan
Major Koshy Kidman,
Major Koshy Kidman,Koshy Kidman
Major Koshy Kidman,Major Kidman
DOROTHY L. SAYERS,
J. D. Beresford,
D. H. Lawrence,
D. H. Lawrence,Lawrence
W. J. Locke,
Detective-Inspector Devine,
Detective-Inspector Devine,Devine
Detective-Inspector Devine,Inspector Devine
Tin-Tummy Christenson,
Tin-Tummy Christenson,Christenson
Sleuths Incorporated,
Dorothy Richardson,
Sir Neeson Burrows,
Sir Neeson Burrows,Burrows
Sir Neeson Burrows,Neeson Burrows
Atkinson Eisenberg,
Cheadle Sutherland,
Walken MacStewart,
Walken MacStewart,MacStewart
Pryor Christenson,
Cummings Dicaprio,
Pattinson Foster,
Barlow Johansson,
Barlow Johansson,Johansson
Miss Harris Jett,
Miss Harris Jett,Jett
Miss Harris Jett,Miss Jett
Miss Harris Jett,Harris Jett
Cavendish Square,
Hathaway O'brien,
Hathaway O'brien,O'brien
Winslet Bradbury,
Winslet Bradbury,Bradbury
Winslet Barnwell,
Waller Emmerich,
Lawrence Kidman,
Miss Quaid Zeta,
Miss Quaid Zeta,Zeta
Miss Quaid Zeta,Miss Zeta
Miss Quaid Zeta,Miss Zeta.
Miss Quaid Zeta,Quaid Zeta
Miss Quaid Zeta,Quaid Zeta.
Lamarr Reynolds,
Costner Sandler,
Gloucester Gate,
Berry Hemsworth,
Captain Winslet,
Captain Winslet,Winslet
Mother Pearson,
Mother Pearson,Pearson
Mrs. Pearson,
Mr. Pearson,
O'hara Bullock,
Theron Saldana,
Theron Saldana,Saldana
Old Bruce-face,
Mcgregor Twist,
Henry Campbell,
Henry Campbell,Campbell
Henry Campbell,Lady Campbell
General Kidman,
Jolie Phillips,
Gooding Turner,
Cummins woman,
Criss O'brien,
Streep Brooks,
