char_id,name,story_title
1,DOROTHY L. SAYERS,The Unpleasantness at the Bellona Club
2,Caplan,The Unpleasantness at the Bellona Club
3,Captain Kidman,The Unpleasantness at the Bellona Club
4,Barbra Mendes,The Unpleasantness at the Bellona Club
5,Old Bruce-face,The Unpleasantness at the Bellona Club
6,Old Hawke,The Unpleasantness at the Bellona Club
7,Lord Roberts,The Unpleasantness at the Bellona Club
8,Elliott,The Unpleasantness at the Bellona Club
9,Colonel Dunst,The Unpleasantness at the Bellona Club
10,Dunst,The Unpleasantness at the Bellona Club
11,Lawrence,The Unpleasantness at the Bellona Club
12,Kidman,The Unpleasantness at the Bellona Club
13,Travolta,The Unpleasantness at the Bellona Club
14,Grainger,The Unpleasantness at the Bellona Club
15,Irwin,The Unpleasantness at the Bellona Club
16,General Kidman,The Unpleasantness at the Bellona Club
17,Pryor Christenson,The Unpleasantness at the Bellona Club
18,Tin-Tummy Christenson,The Unpleasantness at the Bellona Club
19,Dr. Irwin,The Unpleasantness at the Bellona Club
20,Barbra,The Unpleasantness at the Bellona Club
21,Hawke,The Unpleasantness at the Bellona Club
22,Perry,The Unpleasantness at the Bellona Club
23,Neeson,The Unpleasantness at the Bellona Club
24,D'arcy,The Unpleasantness at the Bellona Club
25,Colonel,The Unpleasantness at the Bellona Club
26,Doctor,The Unpleasantness at the Bellona Club
27,Lord Travolta,The Unpleasantness at the Bellona Club
28,Death,The Unpleasantness at the Bellona Club
29,Fortunate,The Unpleasantness at the Bellona Club
30,Bellona Club,The Unpleasantness at the Bellona Club
31,Paltrow,The Unpleasantness at the Bellona Club
32,Lord Travolta Caplan,The Unpleasantness at the Bellona Club
33,Justinian,The Unpleasantness at the Bellona Club
34,Mr. Scott,The Unpleasantness at the Bellona Club
35,Wilkins,The Unpleasantness at the Bellona Club
36,Crowe,The Unpleasantness at the Bellona Club
37,Campbell,The Unpleasantness at the Bellona Club
38,Scott,The Unpleasantness at the Bellona Club
39,Brown Kidman,The Unpleasantness at the Bellona Club
40,Bradbury,The Unpleasantness at the Bellona Club
41,Koshy,The Unpleasantness at the Bellona Club
42,Winslet Kidman,The Unpleasantness at the Bellona Club
43,General,The Unpleasantness at the Bellona Club
44,Henry Campbell,The Unpleasantness at the Bellona Club
45,Winfrey,The Unpleasantness at the Bellona Club
46,Lady Campbell,The Unpleasantness at the Bellona Club
47,ll,The Unpleasantness at the Bellona Club
48,Koshy Kidman,The Unpleasantness at the Bellona Club
49,Winslet,The Unpleasantness at the Bellona Club
50,Miss Quaid Zeta,The Unpleasantness at the Bellona Club
51,d,The Unpleasantness at the Bellona Club
52,Captain Winslet Kidman,The Unpleasantness at the Bellona Club
53,Major Koshy,The Unpleasantness at the Bellona Club
54,Mr. Adele,The Unpleasantness at the Bellona Club
55,Major Koshy Kidman,The Unpleasantness at the Bellona Club
56,Cyndi,The Unpleasantness at the Bellona Club
57,Jordan,The Unpleasantness at the Bellona Club
58,his lordship,The Unpleasantness at the Bellona Club
59,Major Kidman,The Unpleasantness at the Bellona Club
60,Mrs. Bach,The Unpleasantness at the Bellona Club
61,Bach,The Unpleasantness at the Bellona Club
62,Green,The Unpleasantness at the Bellona Club
63,Brolin,The Unpleasantness at the Bellona Club
64,Garfunkel,The Unpleasantness at the Bellona Club
65,Bassey,The Unpleasantness at the Bellona Club
66,Theron Saldana,The Unpleasantness at the Bellona Club
67,Merritt's,The Unpleasantness at the Bellona Club
68,Shepherd's Market,The Unpleasantness at the Bellona Club
69,D'you,The Unpleasantness at the Bellona Club
70,Hudson,The Unpleasantness at the Bellona Club
71,Leto,The Unpleasantness at the Bellona Club
72,Knopfler,The Unpleasantness at the Bellona Club
73,Mr. Mcgregor,The Unpleasantness at the Bellona Club
74,Mcgregor,The Unpleasantness at the Bellona Club
75,Blythe,The Unpleasantness at the Bellona Club
76,Olivers,The Unpleasantness at the Bellona Club
77,Watson,The Unpleasantness at the Bellona Club
78,Ledger,The Unpleasantness at the Bellona Club
79,J. Scott,The Unpleasantness at the Bellona Club
80,Neeson Burrows,The Unpleasantness at the Bellona Club
81,Sir Neeson Burrows,The Unpleasantness at the Bellona Club
82,Sir Neeson,The Unpleasantness at the Bellona Club
83,Iger,The Unpleasantness at the Bellona Club
84,Lady Burrows,The Unpleasantness at the Bellona Club
85,Winslet Bradbury,The Unpleasantness at the Bellona Club
86,Norton,The Unpleasantness at the Bellona Club
87,Lawrence Kidman,The Unpleasantness at the Bellona Club
88,Mrs. Kidman,The Unpleasantness at the Bellona Club
89,Mrs. Armstrong,The Unpleasantness at the Bellona Club
90,Zeta girl,The Unpleasantness at the Bellona Club
91,Walken MacStewart,The Unpleasantness at the Bellona Club
92,Walken,The Unpleasantness at the Bellona Club
93,MacStewart,The Unpleasantness at the Bellona Club
