character1,character2,count
Captain Winslet Kidman,General,87
Captain Winslet Kidman,General Kidman,85
General,General Kidman,85
Captain Winslet Kidman,Major Koshy Kidman,72
Captain Winslet Kidman,Major Koshy,47
Captain Winslet,Captain Winslet Kidman,42
Major Koshy,Major Koshy Kidman,41
Captain Winslet Kidman,Major,36
Major,Major Koshy Kidman,32
Miss Quaid Zeta,Quaid,30
Captain Winslet Kidman,Lord Travolta Caplan,21
Detective-Inspector Devine,Lord Travolta Caplan,20
Lord Travolta,Lord Travolta Caplan,17
Colonel,Colonel Dunst,15
Dr. Irwin,Lord Travolta Caplan,14
Captain Winslet,Major Koshy,13
Gable,Gable Tyson,13
Captain,Captain Winslet Kidman,10
Death,General,10
Harris,Miss Harris Jett,10
Jno. Scott,Lord Travolta Caplan,10
Lord Travolta Caplan,Major Koshy,9
D. H. Lawrence,Lord Travolta Caplan,8
General,Henry Campbell,8
Miss Quaid Zeta,Zeta Beckham,8
Captain Winslet,Lord Travolta Caplan,7
Captain Winslet Kidman,Death,7
Colonel,Lord Travolta Caplan,7
General,Lord Travolta Caplan,7
Captain Winslet,D. H. Lawrence,6
Captain Winslet Kidman,Mr. Mcgregor,6
Colonel Dunst,Lord Travolta Caplan,6
Criss,Criss O'brien,6
Criss,Hathaway O'brien,6
Criss O'brien,Hathaway O'brien,6
Death,General Kidman,6
Dr. Irwin,General,6
General,Major Koshy,6
Henry Neeson,Sir Neeson Burrows,6
Bellona Club,Lord Travolta Caplan,5
Captain Winslet Kidman,Detective-Inspector Devine,5
Captain Winslet Kidman,Henry Campbell,5
Captain Winslet Kidman,Lord Travolta,5
Detective-Inspector Devine,Lord Travolta,5
General,Heard,5
Lord Travolta Caplan,Major Koshy Kidman,5
Waller,Waller Emmerich,5
Captain Winslet,Major Koshy Kidman,4
Captain Winslet,Winslet Bradbury,4
Captain Winslet Kidman,Dr. Irwin,4
Captain Winslet Kidman,Jno. Scott,4
Gable,Miss Quaid Zeta,4
Gable Tyson,Miss Quaid Zeta,4
General,Leto,4
General,somebody,4
General Kidman,Henry Campbell,4
Hathaway O'brien,Waller,4
Lord Travolta Caplan,Mother Pearson,4
Miss Quaid Zeta,Tyrese,4
Bellona Club,Captain Winslet Kidman,3
Bellona Club,General,3
Captain,Captain Winslet,3
Captain,Major,3
Captain Winslet,General,3
Captain Winslet,Major,3
Captain Winslet Kidman,Leto,3
Captain Winslet Kidman,Miss Quaid Zeta,3
Captain Winslet Kidman,may,3
Captain Winslet Kidman,means,3
Costner,Mother Pearson,3
Crowe,General,3
Death,Henry Campbell,3
Detective-Inspector Devine,General,3
Dr. Irwin,General Kidman,3
General,Mr. Mcgregor,3
Heard,Henry Campbell,3
Heard,Lord Travolta Caplan,3
Henry Campbell,Lord Travolta Caplan,3
Jno. Scott,M. Wilkins,3
Knopfler,Knopfler Day,3
Lord Travolta,Major,3
Lord Travolta Caplan,M. Wilkins,3
Lord Travolta Caplan,Mr. Mcgregor,3
Lord Travolta Caplan,Sir Neeson Burrows,3
Major,Major Koshy,3
Mcgregor Twist,Mr. Mcgregor,3
Miss Quaid Zeta,Mr. Adele,3
Miss Quaid Zeta,Shyamalan,3
Walken,Walken MacStewart,3
Barbra,Lord Travolta Caplan,2
Barlow,Lord Travolta Caplan,2
Barrymore,Hubbard-Walmisley,2
Bellona Club,Death,2
Bellona Club,General Kidman,2
Bellona Club,M. Wilkins,2
Brolin,Lord Travolta Caplan,2
Brown,Lord Travolta Caplan,2
Captain,Lord Travolta Caplan,2
Captain,Major Koshy,2
Captain,Perry,2
Captain,may,2
Captain Winslet,General Kidman,2
Captain Winslet,Heard,2
Captain Winslet Kidman,D. H. Lawrence,2
Captain Winslet Kidman,Gable,2
Captain Winslet Kidman,Gable Tyson,2
Captain Winslet Kidman,Heard,2
Captain Winslet Kidman,Lawrence Kidman,2
Captain Winslet Kidman,M. Wilkins,2
Captain Winslet Kidman,fire,2
Captain Winslet Kidman,somebody,2
Colonel,Henry Campbell,2
Costner,Costner Sandler,2
Costner Sandler,Mother Pearson,2
Criss,Waller,2
Criss,Waller Emmerich,2
Criss O'brien,Waller,2
Criss O'brien,Waller Emmerich,2
Crowe,Henry Campbell,2
D. H. Lawrence,Lawrence Kidman,2
D. H. Lawrence,Mother Pearson,2
Death,Miss Quaid Zeta,2
Death,Winslet Bradbury,2
Death,somebody,2
Detective-Inspector Devine,Dr. Irwin,2
Detective-Inspector Devine,General Kidman,2
Detective-Inspector Devine,Jno. Scott,2
Detective-Inspector Devine,Major Koshy,2
Detective-Inspector Devine,Mrs. Cobain,2
Dr. Irwin,Henry Campbell,2
Dr. Irwin,Miss Quaid Zeta,2
Dr. Irwin,Theron Saldana,2
Dr. Irwin,rigor,2
Fanning,Parker Dano,2
Fortunate,Lord Travolta Caplan,2
Gable,General,2
Gable,General Kidman,2
Gable,Shyamalan,2
Gable Tyson,General,2
Gable Tyson,General Kidman,2
Gable Tyson,Shyamalan,2
General,Lord Travolta,2
General,fire,2
General,may,2
General,nurse,2
General Kidman,Lord Travolta Caplan,2
General Kidman,Major Koshy,2
General Kidman,somebody,2
Harris,Lord Travolta Caplan,2
Harris,Miss Quaid Zeta,2
Hathaway,Lord Travolta,2
Hathaway O'brien,Waller Emmerich,2
Heard,Miss Quaid Zeta,2
Heard,Sir Neeson Burrows,2
Henry Campbell,Major Koshy,2
Henry Campbell,Mr. Adele,2
Henry Campbell,Winfrey,2
Jno. Scott,Major Koshy,2
Jno. Scott,Mr. Adele,2
Jno. Scott,Mr. Mcgregor,2
Lamarr Reynolds,Lord Travolta Caplan,2
Leto,Lord Travolta Caplan,2
Lincoln,Mr. Adele,2
Lord Travolta,M. Wilkins,2
Lord Travolta,Major Koshy Kidman,2
Lord Travolta,Miss Quaid Zeta,2
Lord Travolta,Mr. Mcgregor,2
Lord Travolta,somebody,2
Lord Travolta Caplan,Miller,2
Lord Travolta Caplan,Parker Dano,2
Lord Travolta Caplan,means,2
Lord Travolta Caplan,rose,2
Lord Travolta Caplan,true,2
