node,is_victim,pagerank,victim_connection_weight,degree,strength
-- Kiran,0,0.006752543980647571,0,9,22.0
Aadil,0,0.007142857142857143,0,1,1.0
Aamir,0,0.0022273728475520997,0,4,4.0
Aditya,0,0.002552423026169314,0,1,1.0
Aishwarya Radhika,0,0.007142857142857143,0,1,1.0
Akanksha,0,0.005335868127664955,0,6,17.0
Akshay,0,0.0022466418993223078,0,2,2.0
Akshay Nandita,0,0.004577395286019419,0,5,8.0
Ar_mis_tice Day,0,0.00189376682232057,0,2,2.0
Arjun Kavita,0,0.007142857142857143,0,1,1.0
Arjun Keshav,0,0.003484184262185628,0,2,2.0
Ashok,0,0.0017437796943643264,0,2,3.0
Aunt Nushrat,0,0.0013127625472963507,0,1,1.0
Austin Urmila,0,0.007142857142857143,0,1,2.0
Bar Shilpa,0,0.021302222306772502,2,22,102.0
Bennett,0,0.007142857142857143,0,1,1.0
Captain,0,0.011108685082200021,1,20,43.0
Captain Alok,0,0.0047498278526115585,0,8,18.0
Captain Gaurav,0,0.030609425378302628,2,26,138.0
Chaitanya,0,0.007142857142857143,0,1,1.0
Colonel,0,0.009351862862552046,0,11,29.0
Colonel Ritesh,0,0.006924514982009966,0,6,22.0
Cummins woman,0,0.001261111742628768,0,1,1.0
D'you,0,0.001873009427536126,0,4,4.0
Darshan Chitrangada,0,0.0032406381784966572,0,3,4.0
Death,0,0.011456158981827995,5,20,42.0
Detective-Inspector Meenal,0,0.016300396168720834,2,22,65.0
Dorothy Richardson,0,0.007142857142857143,0,1,1.0
Dr. Gauri,0,0.0025877288657202937,0,3,6.0
Dr. Udita,0,0.015621769021581081,3,22,52.0
Father Sunny,0,0.0013267936981123175,0,1,1.0
Gaurav Alok,0,0.019036787552655372,0,13,93.0
Gaurav Robey,0,0.0012599478218451219,0,1,1.0
Genelia,0,0.0013865386539534674,0,1,1.0
General,0,0.05755894242246784,89,38,283.0
General Alok,1,0.04494463169891645,0,31,233.0
General Sonakshi,0,0.0021638958010331225,0,2,2.0
Gopika,0,0.0022184885698622453,1,6,6.0
Guv'nor,0,0.0017782647429410736,0,3,3.0
Harsh,0,0.0015621583131636145,0,2,2.0
Henry Disha,0,0.01255922756572522,4,21,51.0
Henry Medha,0,0.004888053193925891,0,6,14.0
Hina,0,0.0026353111576913964,0,4,4.0
Hrithik,0,0.0014268082073288625,0,2,2.0
Inspector Meenal,0,0.004933118117074037,0,7,17.0
Irrfan Sushmita,0,0.0013127625472963507,0,1,1.0
Jagdeep Siddharth,0,0.007142857142857143,0,1,1.0
Kajol Juhi,0,0.007142857142857143,0,1,1.0
Kalyani Zeeshan,0,0.003853415775869149,0,9,10.0
Karisma,0,0.0018125025452873727,0,3,3.0
Karun,0,0.005204121034315074,0,9,16.0
Karun Abhay,0,0.005899802687086927,0,9,19.0
Kiran Alok,0,0.0019489810468236014,0,2,4.0
Kirti,0,0.0012910058884011977,0,1,1.0
Kritika Taapsee,0,0.0013127625472963507,0,1,1.0
Kuldeep,0,0.0021638958010331225,0,2,2.0
Lady Shabana,0,0.0015962497056515757,0,2,2.0
Lord,0,0.036597245057843786,4,33,164.0
Lord Bhumi,0,0.031024402335384945,1,31,138.0
Lord Bhumi Swara,0,0.06245752683387792,2,59,220.0
M. Divya,0,0.005823764871277523,1,12,19.0
Ma Abhay,0,0.0017297237301386618,0,3,3.0
Maanvi,0,0.007142857142857143,0,1,1.0
Major,0,0.01422277080321922,0,16,68.0
Major Shilpa Alok,0,0.10276398690738045,89,57,491.0
Manan,0,0.0012493072150375705,0,1,1.0
Miss Akanksha Tanmay,0,0.004502507762913828,0,4,14.0
Miss Mrunal Kavya,0,0.027992580144089275,5,36,123.0
Mitali,0,0.005148560289543494,1,11,17.0
