character1,character2,count
i,man,70
Brother Neerja McMurdo,i,34
Sherlock Kiran,i,25
Councillor McGinty,Varsha,17
Mitali Javed,i,17
Brother Neerja McMurdo,man,16
Councillor McGinty,Varsha McGinty,16
Mr. Shraddha Fawad,i,16
Name,i,16
Varsha,Varsha McGinty,16
Dr. Suman,i,15
Mr. Neerja Jaya,man,15
Parth,Parth Chitrangada,15
Parth,Teddy Chitrangada,15
Parth Chitrangada,Teddy Chitrangada,15
Asha,i,14
Brother Dharmendra,i,14
Friend MacDonald,Kiara,14
Friend MacDonald,Kiara MacDonald,14
Kiara,Kiara MacDonald,14
Sahil,i,14
Brother Neerja McMurdo,Mike Anjali,12
Councillor,i,11
Mr. Neerja Jaya,i,11
Guneet,Mr. Neerja Jaya,10
Guneet,i,10
Mitali,i,10
man,old,10
Councillor McGinty,i,9
Mitali,Mitali Javed,9
Mr. Neerja Jaya,Mr. Shraddha Fawad,9
Teddy Chitrangada,i,9
Brother Neerja McMurdo,Councillor McGinty,8
Ekta,man,8
Leena,i,8
Shalini,i,8
i,old,8
Councillor McGinty,Mitali Javed,7
Councillor McGinty,Sahil,7
Friend MacDonald,i,7
Guneet,man,7
Mr. Ishaan Hina,i,7
Muskaan Kriti,i,7
Professor Niharika,i,7
Brother Neerja McMurdo,Mitali Javed,6
Brother Neerja McMurdo,Teddy Chitrangada,6
Councillor McGinty,Sahil McGinty,6
Councillor McGinty,man,6
Ekta,Muskaan Kriti,6
Ekta,i,6
Esha,i,6
Faith,i,6
Sahil,Sahil McGinty,6
Varsha,i,6
Brother Neerja McMurdo,Councillor,5
Brother Neerja McMurdo,Sahil,5
Brother Neerja McMurdo,Sahil McMurdo,5
Friend MacDonald,Sherlock Kiran,5
Mitali Javed,man,5
Mr. Neerja Jaya,Sherlock Kiran,5
Sahil,Sahil McMurdo,5
Sherlock Kiran,inspector,5
Asha,Jacob Priyadarshan,4
Brother Dharmendra,Brother Neerja McMurdo,4
Captain Akshaye,i,4
Councillor,man,4
Councillor McGinty,Shalini,4
Dr. Suman,man,4
Friend MacDonald,Mr. Ishaan Hina,4
Gully,man,4
Guneet,Sussex,4
Jacob Priyadarshan,old,4
Kiara,i,4
Kiara Yash,i,4
Mike Anjali,i,4
Mr. Ishaan Hina,man,4
Mr. Neerja Jaya,Name,4
Mr. Shraddha Fawad,man,4
Muskaan Kriti,man,4
Rajesh Shikha,i,4
Shalini,man,4
