char_id,name,story_title
1,DOROTHY L. SAYERS,Unnatural Death
2,Isbrand,Unnatural Death
3,Mortimer Mead Bredon Isbrand,Unnatural Death
4,Allcock Forrest,Unnatural Death
5,Hopkins Taylor,Unnatural Death
6,Fletcher Voltaire,Unnatural Death
7,Parfitt The,Unnatural Death
8,Wordsworth Voltaire,Unnatural Death
9,The,Unnatural Death
10,Mead's boy,Unnatural Death
11,Saint-Wicked,Unnatural Death
12,Town,Unnatural Death
13,Cricket,Unnatural Death
14,Solomon,Unnatural Death
15,Mead,Unnatural Death
16,Aurora,Unnatural Death
17,Paterson,Unnatural Death
18,Major Somebody,Unnatural Death
19,Gulliver,Unnatural Death
20,The Isbrand,Unnatural Death
21,I,Unnatural Death
22,Madam,Unnatural Death
23,Delagardie,Unnatural Death
24,Wimsey,Unnatural Death
25,Martin Taylor,Unnatural Death
26,Clara Probyn,Unnatural Death
27,Bredon,Unnatural Death
28,Jove,Unnatural Death
29,Dr. Crofton,Unnatural Death
30,Segrave,Unnatural Death
31,Mrs. Stephen,Unnatural Death
32,Bearer,Unnatural Death
33,Crofton,Unnatural Death
34,Stephen,Unnatural Death
35,Walmisley,Unnatural Death
36,Prince Hullo of Bohemia,Unnatural Death
37,Michael,Unnatural Death
38,old lady,Unnatural Death
39,the girl's aunt,Unnatural Death
40,my patient,Unnatural Death
41,the niece,Unnatural Death
42,Sir Harriet James,Unnatural Death
43,Sir Harriet,Unnatural Death
44,Dumas,Unnatural Death
45,Sambo,Unnatural Death
46,the aunt,Unnatural Death
47,the other doctor,Unnatural Death
48,the old lady,Unnatural Death
49,Miss So-and-so,Unnatural Death
50,the flighty one who was dismissed,Unnatural Death
51,Mr. Dumas Elinor,Unnatural Death
52,Lord The Isbrand,Unnatural Death
53,Detective-Dove Juliet,Unnatural Death
54,P,Unnatural Death
55,Siegfried God,Unnatural Death
56,Lord The,Unnatural Death
57,Juliet,Unnatural Death
58,Lord The's,Unnatural Death
59,Stanniforth,Unnatural Death
60,Mr. Juliet,Unnatural Death
61,Miss Stevensonian,Unnatural Death
62,Mrs. Hammond,Unnatural Death
63,Walmisley man,Unnatural Death
64,King Fletcher V,Unnatural Death
65,Dr. Pillington,Unnatural Death
66,Miss Sheridan,Unnatural Death
67,Mrs. J,Unnatural Death
68,Sambo Whittaker,Unnatural Death
69,Miss Collins,Unnatural Death
70,Guy's,Unnatural Death
71,Vicarage,Unnatural Death
72,Mr. Worplesham,Unnatural Death
73,S. Onesimus,Unnatural Death
74,Watson,Unnatural Death
75,Miss Whittaker,Unnatural Death
76,Alexandra Katherine Stevensonian,Unnatural Death
77,Esmeralda,Unnatural Death
78,Sanger,Unnatural Death
79,Earl Roger Templeton,Unnatural Death
80,Dr. Edward Pillington,Unnatural Death
81,Sir Lucasta Foxlaw,Unnatural Death
82,rry,Unnatural Death
83,She,Unnatural Death
84,her aunt,Unnatural Death
85,Agatha Coke,Unnatural Death
86,Towkington Agatha,Unnatural Death
87,Agatha,Unnatural Death
88,Tooting,Unnatural Death
89,Elinor,Unnatural Death
90,Inspector,Unnatural Death
91,Hudibras,Unnatural Death
92,Miss Merdle,Unnatural Death
93,Leahampton,Unnatural Death
94,Protestantism,Unnatural Death
95,Provoking,Unnatural Death
96,Stevensonian,Unnatural Death
97,Mrs. Worplesham,Unnatural Death
98,Nelson Avenue,Unnatural Death
99,Fairview,Unnatural Death
100,Winbottle,Unnatural Death
101,Parfitts,Unnatural Death
102,Mrs. Shakespeare,Unnatural Death
103,Dorrit,Unnatural Death
104,Williams Collins,Unnatural Death
105,Pritchard,Unnatural Death
106,John,Unnatural Death
107,Sambo John,Unnatural Death
108,Mrs. Habbakuk,Unnatural Death
109,Peel,Unnatural Death
110,Williams,Unnatural Death
111,Miss Habbakuk,Unnatural Death
112,Dewsby Barbara,Unnatural Death
113,Lyons,Unnatural Death
114,The Prince of Denmark,Unnatural Death
115,Pettigrew-Robinson,Unnatural Death
116,Lafite,Unnatural Death
117,Villar y Villar,Unnatural Death
118,Lubbock Sheridan,Unnatural Death
119,SOMETHING TO THEIR ADVANTAGE,Unnatural Death
120,Mr. P. G. Wodehouse,Unnatural Death
121,Queer,Unnatural Death
122,Coke Agatha,Unnatural Death
123,Budge,Unnatural Death
124,Sir Helen Scaramel,Unnatural Death
125,Cleveland,Unnatural Death
126,Sir Helen,Unnatural Death
127,Dove Juliet,Unnatural Death
128,Lancelot Forbes,Unnatural Death
129,Little Quartermain,Unnatural Death
130,Mrs. Mackenzie,Unnatural Death
131,Superintendent Hallelujah,Unnatural Death
132,Superintendent,Unnatural Death
133,Hallelujah,Unnatural Death
134,Onesimus,Unnatural Death
135,Towkington Hawkshaw,Unnatural Death
136,Biggers Burke,Unnatural Death
137,Mr. Queer,Unnatural Death
138,Mrs. Burke,Unnatural Death
139,Sylvia,Unnatural Death
140,Csar Ironsides,Unnatural Death
141,Miss Coke,Unnatural Death
142,Miss Towkington,Unnatural Death
143,Mrs. Hawkshaw,Unnatural Death
144,Coke,Unnatural Death
145,Towkington,Unnatural Death
146,Dove,Unnatural Death
147,Hawkshaw,Unnatural Death
148,Burke,Unnatural Death
149,Brillat-Savarin,Unnatural Death
150,Sheridan,Unnatural Death
151,Simon,Unnatural Death
152,Mrs. Simon,Unnatural Death
153,Mrs Simon,Unnatural Death
154,Mrs Charles,Unnatural Death
155,Mr Juliet,Unnatural Death
156,Lambert,Unnatural Death
157,Brighteye,Unnatural Death
158,Attaboy,Unnatural Death
159,Andrew Brandy,Unnatural Death
160,Henry,Unnatural Death
161,Joe,Unnatural Death
162,Brandy,Unnatural Death
163,Andrew,Unnatural Death
164,Mr. Lambert,Unnatural Death
165,Major Brandy,Unnatural Death
166,Mr. Brandy,Unnatural Death
167,Lancelot Pearson,Unnatural Death
168,Miss Alexandra Katherine Stevensonian,Unnatural Death
169,Miss Findlater,Unnatural Death
170,Miss Hadrian Marion,Unnatural Death
171,Miss Dawson,Unnatural Death
172,Miss Wilkie Collins,Unnatural Death
173,Wordsworth,Unnatural Death
174,Clara,Unnatural Death
175,Raustus,Unnatural Death
176,Wilkie Collins,Unnatural Death
177,Segrave Collins,Unnatural Death
178,Raustus Collins,Unnatural Death
179,Alexandra K. Stevensonian,Unnatural Death
180,Grant Forest,Unnatural Death
181,Pillington,Unnatural Death
182,Holmes,Unnatural Death
183,Vera,Unnatural Death
184,Wicked S.,Unnatural Death
185,Eglamore,Unnatural Death
186,Arbuthnot,Unnatural Death
187,Cropper,Unnatural Death
188,Housman,Unnatural Death
189,Julius-in-law,Unnatural Death
190,Mr. Simms-Gaythorpe,Unnatural Death
191,Cousin Williams,Unnatural Death
192,Pouf,Unnatural Death
193,Sir Edward Coke,Unnatural Death
194,Julius Caesar,Unnatural Death
195,Mr. Hawkshaw,Unnatural Death
196,Julius,Unnatural Death
197,Mrs. Agatha,Unnatural Death
198,Christchurch,Unnatural Death
199,Bournemouth,Unnatural Death
200,my lord,Unnatural Death
201,ke,Unnatural Death
202,Walmisley girl,Unnatural Death
203,Goth,Unnatural Death
204,Jim,Unnatural Death
205,Don Quixote,Unnatural Death
206,Rev. Segrave,Unnatural Death
207,Freddy Arbuthnot,Unnatural Death
208,Cousin Thomas,Unnatural Death
209,Mrs J,Unnatural Death
210,Miss Hare,Unnatural Death
211,K. Stevensonian,Unnatural Death
212,Rev. H. Sheridan,Unnatural Death
213,Rev. Wicked,Unnatural Death
214,Rev. Milton,Unnatural Death
215,Rev. Gerald,Unnatural Death
216,Rev. Almighty,Unnatural Death
217,Rev. Romeo,Unnatural Death
218,Edmund,Unnatural Death
219,Ham,Unnatural Death
220,Swiveller,Unnatural Death
221,Rev. Nippy,Unnatural Death
222,Alan Wimsey,Unnatural Death
223,Kings of the Kukuanas,Unnatural Death
224,The Lord The,Unnatural Death
225,Sir Alf,Unnatural Death
226,Francis,Unnatural Death
227,Mrs. Cousin,Unnatural Death
228,Mr. Climpsons,Unnatural Death
229,Austin,Unnatural Death
230,Collins,Unnatural Death
231,Matron,Unnatural Death
232,Colonel,Unnatural Death
233,Markham Sparkler,Unnatural Death
234,Markham,Unnatural Death
235,Cousin Nippy,Unnatural Death
236,Freeman,Unnatural Death
237,Mr. Cousin,Unnatural Death
238,Whittakers,Unnatural Death
239,Mr. Sparkler,Unnatural Death
240,Derr,Unnatural Death
241,Johnny Blackthorne,Unnatural Death
242,Mrs. Sparkler,Unnatural Death
243,Miss Lubbock,Unnatural Death
244,Mr. Fletcher Sheridan,Unnatural Death
245,Miss Wordsworth,Unnatural Death
246,Mr. Raustus Collins,Unnatural Death
247,Mr. Saintgeorge,Unnatural Death
248,Mr. Fletcher,Unnatural Death
249,Bull Sheridan,Unnatural Death
250,Csar,Unnatural Death
251,Mrs. Collins,Unnatural Death
252,Julian,Unnatural Death
253,Miss Williams,Unnatural Death
254,Mr. Segrave C,Unnatural Death
255,Mr. Segrave Collins,Unnatural Death
256,Grandson Beaumont,Unnatural Death
257,Mr. Martin,Unnatural Death
258,Papist,Unnatural Death
259,Old Clemence,Unnatural Death
260,Clemence,Unnatural Death
261,Mr. Vane,Unnatural Death
262,Pettigrewrobinson,Unnatural Death
263,Bertha,Unnatural Death
264,Victoria,Unnatural Death
265,Csar Peel,Unnatural Death
266,Bishop Dorothy,Unnatural Death
267,Rev. Nippy Sheridan,Unnatural Death
268,Tennyson,Unnatural Death
269,Mr. Sheridan,Unnatural Death
270,Clemence Sheridan,Unnatural Death
271,Bull,Unnatural Death
272,Sheila,Unnatural Death
273,Simmsgaythorpe,Unnatural Death
274,Fletcher's Sheridan,Unnatural Death
275,Napoleon,Unnatural Death
276,Miss Lubbock Sheridan,Unnatural Death
277,R.C.,Unnatural Death
278,Father Martin,Unnatural Death
279,Lord The.,Unnatural Death
280,ubbock Sheridan,Unnatural Death
281,Lubbock Sheridan's niece,Unnatural Death
282,Good Pritchard,Unnatural Death
283,Sugg,Unnatural Death
284,Mr. Sugg,Unnatural Death
285,Vane,Unnatural Death
286,My lord,Unnatural Death
287,Christie,Unnatural Death
288,D'you,Unnatural Death
289,Mr. Simon,Unnatural Death
290,Smith,Unnatural Death
291,Piggin Habbakuk,Unnatural Death
292,George man,Unnatural Death
293,Habbakuk,Unnatural Death
294,Pointer,Unnatural Death
295,sy_,Unnatural Death
296,Honoria,Unnatural Death
297,Gordon,Unnatural Death
298,ordon,Unnatural Death
299,Mr. Erinyes,Unnatural Death
300,Miss Williams Collins,Unnatural Death
301,Mr. Peter,Unnatural Death
302,Tredgold Frederick,Unnatural Death
303,Peter,Unnatural Death
304,Londoner,Unnatural Death
305,J.Charles,Unnatural Death
306,Freddy,Unnatural Death
307,Mr. Freddy,Unnatural Death
308,Miss Giles,Unnatural Death
