canonical_name,alias_name
Cousin Hallelujah Dawson,
Cousin Hallelujah Dawson,Dawson
Cousin Hallelujah Dawson,Hallelujah Dawson
Rev. Hallelujah Dawson,
Miss Dawson,
Mr. Dawson,
Bredon Delagardie Peter,
Bredon Delagardie Peter,Peter
Paul Austin Delagardie,
Paul Austin Delagardie,Delagardie
Cousin Hallelujah Mary,
Cousin Hallelujah Mary,Mary
Cousin Hallelujah Mary,Miss Mary
Gerald Bredon Wimsey,
Gerald Bredon Wimsey,WIMSEY
Gerald Bredon Wimsey,Wimsey
J. F. Trigg,
J. F. Trigg,Trigg
J. F. Trigg,Mr. Trigg
Sir Charles Pillington,
Sir Charles Pillington,Pillington
Sir Andrew Mackenzie,
Miss Clara Whittaker,
Miss Clara Whittaker,Whittaker
Miss Clara Whittaker,Miss Whittaker
Miss Clara Whittaker,Clara Whittaker
Mrs. Hamilton Budge,
Mrs. Hamilton Budge,Budge
Mrs. Hamilton Budge,Mrs. Budge
Miss Mary Whittaker,
Miss Mary Whittaker,Mary Whittaker
Mr. James Whittaker,
Mr. James Whittaker,James Whittaker
Mr. Sherlock Holmes,
Miss Vera Findlater,
Miss Vera Findlater,Findlater
Miss Vera Findlater,Miss Findlater
Miss Vera Findlater,Vera Findlater
Sir Warburton Giles,
Miss Agatha Dawson,
Miss Agatha Dawson,Agatha Dawson
Mr. Austin Freeman,
Alexandra Climpson,
Alexandra Climpson,Climpson
Alexandra Climpson,Miss Climpson
Francis Delagardie,
Sheila Kaye-Smith,
Sir James Lubbock,
Sir James Lubbock,Lubbock
Charles Whittaker,
Charles Whittaker,Mrs. Whittaker
Lady Peter Wimsey,
Cousin Hallelujah,
Cousin Hallelujah,Hallelujah
Cousin Hallelujah,Rev. Hallelujah
Mrs. Marion Mead,
Mrs. Marion Mead,Mrs. Mead
Sylvia Lyndhurst,
Sylvia Lyndhurst,Lyndhurst
Freddy Arbuthnot,
Mr. Henry Dawson,
Sir Julian Freke,
Edmund Sparkler,
Gilbert Frankau,
Sir Edward Coke,
Dorcas Gulliver,
Dorcas Gulliver,Mrs. Gulliver
Nurse Philliter,
Nurse Philliter,Miss Philliter
Honoria Lucasta,
Dr. Edward Carr,
Dr. Edward Carr,Carr
Dr. Edward Carr,Dr. Carr
Gotobed Bertha,
Gotobed Bertha,Bertha
Gotobed Bertha,Miss Bertha
Wilkie Collins,
Wilkie Collins,Collins
Gotobed Evelyn,
Gotobed Evelyn,Evelyn
Gotobed Evelyn,Miss Evelyn
Evelyn Cropper,
Evelyn Cropper,Cropper
Mrs. Cropper,
Mrs. Cropper,Mrs Cropper
Mr. Cropper,
Bertha Gotobed,
Bertha Gotobed,Gotobed
Charles Parker,
Charles Parker,Parker
Inspector Parker,
Mrs. Parker,
Mr. Parker,
Lancelot Gobbo,
Evelyn Gotobed,
Clemence Dane,
Julius Caesar,
Simon Dawson,
Nurse Forbes,
Nurse Forbes,Forbes
Thomas Hardy,
S. Onesimus,
Ben Cobling,
Ben Cobling,Cobling
Mrs. Cobling,
Mr. Cobling,
J. Murbles,
J. Murbles,Murbles
J. Murbles,Mr. Murbles
Cousin Tom,
Henry Vane,
Superintendent Walmisley,
Superintendent Walmisley,Walmisley
Mr. Simms-Gaythorpe,
Mr. Simms-Gaythorpe,Simms-Gaythorpe
Mr. Stanniforth,
Miss Murgatroyd,
Miss Murgatroyd,Murgatroyd
Mrs. Winbottle,
Mrs. Findlater,
