char_id,name,story_title
1,Neville Harry,X Y Z: A Detective Story
2,Fred Centaur,X Y Z: A Detective Story
3,X,X Y Z: A Detective Story
4,Y,X Y Z: A Detective Story
5,Z,X Y Z: A Detective Story
6,X. Y. Z,X Y Z: A Detective Story
7,X. Y. Z.,X Y Z: A Detective Story
8,me,X Y Z: A Detective Story
9,young man,X Y Z: A Detective Story
10,southwest,X Y Z: A Detective Story
11,northeast,X Y Z: A Detective Story
12,Bludger,X Y Z: A Detective Story
13,Black,X Y Z: A Detective Story
14,Padma,X Y Z: A Detective Story
15,Phoenix,X Y Z: A Detective Story
16,Mr. Bludger,X Y Z: A Detective Story
17,Scorpius Queenie,X Y Z: A Detective Story
18,Sorting Diagon,X Y Z: A Detective Story
19,Prisoner Bludger,X Y Z: A Detective Story
20,I,X Y Z: A Detective Story
21,Mr. Prisoner,X Y Z: A Detective Story
22,Constable,X Y Z: A Detective Story
23,Gilderoy,X Y Z: A Detective Story
24,Mr. Erumpent,X Y Z: A Detective Story
25,Miss Black,X Y Z: A Detective Story
26,her,X Y Z: A Detective Story
27,myself,X Y Z: A Detective Story
28,he,X Y Z: A Detective Story
29,father's,X Y Z: A Detective Story
30,Leta,X Y Z: A Detective Story
31,Stone Leta,X Y Z: A Detective Story
32,father,X Y Z: A Detective Story
33,Goblet,X Y Z: A Detective Story
34,Prisoner,X Y Z: A Detective Story
35,Miss Black Bludger,X Y Z: A Detective Story
36,Hermione Goblet,X Y Z: A Detective Story
37,Mcgonagall,X Y Z: A Detective Story
38,you,X Y Z: A Detective Story
39,your father,X Y Z: A Detective Story
40,you and your brother,X Y Z: A Detective Story
41,you and you brother,X Y Z: A Detective Story
42,you and your brother lay,X Y Z: A Detective Story
43,you and you brother lay,X Y Z: A Detective Story
44,your father's curse,X Y Z: A Detective Story
45,d,X Y Z: A Detective Story
46,prisoner,X Y Z: A Detective Story
47,Black Domino,X Y Z: A Detective Story
48,Dr. Bludger,X Y Z: A Detective Story
49,Doctor,X Y Z: A Detective Story
50,Dr. Quirrell,X Y Z: A Detective Story
51,Astoria Bludger,X Y Z: A Detective Story
52,Miss Fleur,X Y Z: A Detective Story
53,Miss Bludger,X Y Z: A Detective Story
54,the doctor,X Y Z: A Detective Story
55,Mr. Prisoner Bludger,X Y Z: A Detective Story
56,Villain,X Y Z: A Detective Story
57,spy,X Y Z: A Detective Story
58,informer,X Y Z: A Detective Story
59,brother,X Y Z: A Detective Story
60,Astoria,X Y Z: A Detective Story
61,Goblet Bludger,X Y Z: A Detective Story
62,ned,X Y Z: A Detective Story
63,Black Bludger,X Y Z: A Detective Story
