node,is_victim,pagerank,victim_connection_weight,degree,strength
Brown,0,0.018547598724185967,0,3,3.0
D'arcy Paley,0,0.05,0,1,1.0
Drew,0,0.038256179605698416,0,6,6.0
Gyllenhaal,0,0.010654328543700907,0,1,1.0
Hall Thompson,0,0.05,0,1,1.0
Humph,0,0.012920015680984845,0,1,1.0
Kimmel,0,0.022356638892280713,0,3,4.0
Kimmel Streep,0,0.01511617826095979,0,2,2.0
Ledger,0,0.04619471198304555,0,6,10.0
Miss Ronan,0,0.028418926360870546,0,4,5.0
Miss Ronan Streep,0,0.020616780883136326,0,3,3.0
Miss Streep,0,0.016765084381540434,0,2,3.0
Mr. Mullen Streep,0,0.1222556334642331,0,5,40.0
O Mullen,0,0.14937849052366373,0,8,47.0
Parsons Streep,0,0.019539492179880984,0,2,4.0
Villain,0,0.014128002965306821,0,2,2.0
Woodley Parsons,0,0.10390746971279612,0,9,28.0
Young Mr. Streep,0,0.19552208255231598,0,13,58.0
domino,0,0.037421598143925455,0,6,9.0
white,0,0.028000787141474366,0,6,6.0
