character1,character2,count
Mr. Taika Mendes,Taika,52
Dehaan,Hawke Dehaan Reynolds,37
Mr. Blythe Eastwood,Mr. Jordan,19
Kutcher,Sutherland Penn,14
Beckinsale Beckham,Mr. Campbell,12
Kutcher,Kutcher Penn,11
Kutcher Penn,Sutherland Penn,11
Mr. Jordan,Young,7
Hawke Dehaan Reynolds,Kutcher,5
Beckinsale Beckham,Mr. Taika Mendes,4
Dehaan,Kutcher,4
Dehaan,Sutherland Penn,4
Hawke Dehaan Reynolds,Sutherland Penn,4
Mr. Campbell,Mr. Taika Mendes,4
Brother Eastwood,Mr. Blythe Eastwood,3
Dehaan,Mr. Jordan,2
Hawke Dehaan Reynolds,Mr. Jordan,2
Kutcher,Young,2
Mr. Blythe Eastwood,Mr. Campbell,2
Mr. Blythe Eastwood,Sutherland Penn,2
Mrs. Day,Pryor,2
Sutherland Penn,Young,2
Young,Ziegler,2
Aniston,Hawke,1
Aniston,Jagger,1
Aniston,Mr. Blythe Eastwood,1
Aniston,Mr. Jordan,1
Barbra,Burrows,1
Beckinsale Beckham,Oldman,1
Beckinsale Beckham,Oldman Mccarthy,1
Beckinsale Beckham,Walken,1
Bening,Rock,1
Bening,Sheen,1
Blythe Efron,Hawke,1
Burnett,Palmer,1
Calloway,Mr. Blythe Eastwood,1
Connelly,Scott Bergman,1
Dehaan,Hawke,1
Dehaan,Mr. Blythe Eastwood,1
Diaz,Gadot,1
Diaz,Moore,1
Gadot,Moore,1
Hawke,Hawke Dehaan Reynolds,1
Hawke,Hawke Ledger,1
Hawke,Hawke Mccarthy,1
Hawke,Jagger,1
Hawke,Mr. Blythe Eastwood,1
Hawke,Mr. Jordan,1
Hawke Dehaan Reynolds,Mr. Blythe Eastwood,1
Hawke Dehaan Reynolds,Mrs. Day,1
Hawke Ledger,Mr. Taika Mendes,1
Hawke Ledger,Mrs. Day,1
Hawke Ledger,Taika,1
Hawke Ledger,Young,1
Hutton,Williams,1
Ice,Lewis,1
Ice,Quaid,1
Jagger,Mr. Blythe Eastwood,1
Jagger,Mr. Jordan,1
Kutcher,Mr. Blythe Eastwood,1
Kutcher,Mrs. Day,1
Kutcher Penn,Mr. Blythe Eastwood,1
Kutcher Penn,Mrs. Day,1
Kutcher Penn,Young,1
Lewis,Quaid,1
Miss Rapp,Mr. Campbell,1
Miss Rapp,O'hara,1
Mr. Blythe Eastwood,Young,1
Mr. Campbell,O'hara,1
Mr. Campbell,Taika,1
Mr. Campbell,Walken,1
Mr. Taika Mendes,Sutherland Kauffman,1
Mr. Taika Mendes,Sutherland Pattinson,1
Mrs. Day,Sutherland Penn,1
Mrs. Day,Winfrey,1
Mrs. Day,Young,1
Oldman,Oldman Mccarthy,1
Pryor,Winfrey,1
Rock,Sheen,1
Sutherland Kauffman,Taika,1
Teller,Young,1
