canonical_name,alias_name
Eliza Robinson Riddlesdale,
Eliza Robinson Riddlesdale,Riddlesdale
Eliza SHERLOCK HOLMES,
Eliza SHERLOCK HOLMES,Holmes
Eliza SHERLOCK HOLMES,Inspector Holmes
Jack The Giant-Killer,
Smith Kailung Watson,
Smith Kailung Watson,Watson
Smith Kailung Watson,Smith Watson
Smith Kailung Watson,Kailung Watson
Bach van Humperdinck,
Mother (of Jake),
Mother (of Jake),Jake
Detective Inspector Marchbanks,
Detective Inspector Marchbanks,MARCHBANKS
Detective Inspector Marchbanks,Marchbanks
Lady Mudstains Gargoyles,
Lady Mudstains Gargoyles,Gargoyles
Mr. Lob Heathwarburton,
Mr. Lob Heathwarburton,Heathwarburton
Mr. Lob Heathwarburton,Heath-Warburton
Mr. Lob Heathwarburton,Mr. Heathwarburton
Bolingbroke Wrinching,
Erica Heath-Warburton,
Sir Sexton Mackenzie,
Mr. Humperdinck Hms.,
Mr. Humperdinck Hms.,Mr. Hms
Mr. Humperdinck Hms.,Humperdinck Hms
Mr. Humperdinck Hms.,Mr. Humperdinck Hms
Gooch Heathwarburton,
Sir Farmer Arbuthnot,
Sir Farmer Arbuthnot,ARBUTHNOT
Sir Farmer Arbuthnot,Arbuthnot
Sir Farmer Arbuthnot,Farmer Arbuthnot
Sir Farmer Arbuthnot,SIR FARMER ARBUTHNOT
Mr. John Marchbanks,
Mr. John Marchbanks,Mr. Marchbanks
Mr. John Marchbanks,John Marchbanks
Miss Lydia Brigette,
Miss Lydia Brigette,BRIGETTE
Miss Lydia Brigette,Brigette
Miss Lydia Brigette,Miss Brigette
Miss Lydia Brigette,Lydia Brigette
Charles Marchbanks,
Charles Marchbanks,Inspector Marchbanks
SIR BAGOT TABLEAU,
Vonderaa Freeborn,
Vonderaa Freeborn,Freeborn
Vonderaa Freeborn,Mrs. Freeborn
Rev. Jove Faustus,
Alma Shakespeare,
Melbourne Parker,
Melbourne Parker,Parker
Melbourne Parker,Mr. Parker
Montague Mester,
Montague Mester,MESTER
Montague Mester,Mester
Montague Mester,Mr. Mester
Donne Inspector,
Zedekiah Mester,
Jake Gargoyles,
Jake Gargoyles,JAKE GARGOYLES
God Fleetwhite,
Eliza KAI-LUNG,
Eliza KAI-LUNG,Kailung
Eliza KAI-LUNG,KAI-LUNG
Mudstains Jane,
Farmer Counsel,
Farmer Counsel,Counsel
Mrs. Counsel,
Mrs. Counsel,MRS COUNSEL
Mr. Counsel,
Moses Brigette,
DENIS CATHCART,
DENIS CATHCART,CATHCART
DENIS CATHCART,Cathcart
Manon Lescaut,
Manon Lescaut,Dr. Lescaut
Biggy Counsel,
Vonderaa Begg,
Vonderaa Begg,Begg
James Perkins,
James Perkins,Perkins
James Perkins,JAMES PERKINS
Sherlock Jush,
Sir Conchy Of,
Sir Conchy Of,Conchy Of
Brooks Dobbin,
Brooks Dobbin,Dobbin
Mrs. Dobbin,
Mr. Dobbin,
Racine Parker,
Bach Brigette,
GEORGE MORNIN,
GEORGE MORNIN,Mornin
GEORGE MORNIN,Mr. Mornin
Sherlock Bone,
Sherlock Bone,Bone
Monsieur Jem,
Monsieur Jem,Jem
Ballad Grant,
Ballad Grant,Grant
Ballad Grant,Mr. Grant
Mr Snoates C,
Bach Denver,
Vonderaa Z,
Constable Z15,
Dr. Z,
Dobbin.Tim,
Freke Bone,
Iv Adele,
Bach Lhs,
Bach Lhs,Lhs
Mr. Brownrigg-Fortescue,
Mr. Brownrigg-Fortescue,Brownriggfortescue
Pettigrew-Robinsons,
Pettigrew-Robinsons,PETTIGREWROBINSONS
Pettigrew-Robinsons,Pettigrewrobinsons
PETTIGREW-ROBINSON,
Mr. Digglesbrake,
Mrs. Wordsworth,
Mrs. Wordsworth,Wordsworth
Mr. Mountweazle,
Lady Mudstains,
Lady Mudstains,Mudstains
Mr. Mackenzie,
Dr. Frederick,
Dr. Frederick,Frederick
Mr. Fitzwater,
Mr. Fitzwater,Fitzwater
Mr. Fitzwater,MR FITZWATER
Dr. Pinafore,
Dr. Pinafore,Pinafore
Grimethorpes,
LADY MAISRY,
LADY MAISRY,Maisry
Mr. Faustus,
Richard III,
Richard III,Richard
Miss Brooks,
Mrs. Foulis,
Mrs. Foulis,Foulis
Mr. Falling,
Mr. Gerald,
Mr. Gerald,Gerald
Sir Conchy,
Chesterton,
Sir Farmer,
Sir Farmer,Farmer
Pritchard,
Dr. Blake,
Nathaniel,
LADY MARY,
LADY MARY,Mary
Thingummy,
Mr. Tommy,
Mr. Tommy,Tommy
Sherlock,
MONTAGUE,
Bourgois,
Zedekiah,
Miss Him,
Carlisle,
Manichee,
Theodore,
Fleming,
Timothy,
Briquet,
Tarrant,
Lubbock,
Lubbock,LUBBOCK
Leblanc,
Johnson,
Turgeot,
Reuter',
Reuter',Reuter
Aladdin,
Hardraw,
Aumerle,
Ferrers,
Steward,
Bach Ii,
Bach Ii,Bach
Inquest,
Thorpe,
Dragon,
Briggs,
Andrew,
Bunter,
Walter,
Walter,WALTER
Simone,
Simone,SIMONE
Mother,
Hebert,
Medusa,
Nelson,
Barrow,
Helen,
Usher,
James,
Lydia,
Hullo,
Moses,
Groot,
Smith,
Rouge,
Percy,
Biggs,
Impey,
Eliza,
Mr. W,
Jerry,
Mater,
Coke,
John,
Greg,
Bar,
Liz,
Ben,
Bet,
Xv,
cat,
vii,
notes,
ix,
goyles,
peter,
wimsey,
julian,
tom,
freddy,
craikes,
d,
murbles,
p,
curry,
barbara,
blood,
david,
copperfield,
gaiter,
william,
snooks,
ellen,
bjove,
polly,
grimethorpe,
jezebel,
jabez,
g,
mademoiselle,
elizabeth,
henry,
lawks,
spilsbury,
napoleon,
morrison,
joyce,
robert,
geo,
browning,
lochinvar,
hiya,
truth,
dowson,
simpson,
featherstone,
clive,
meribah,
wilkes,
watchett,
mark,
dolby,
hewitt,
pot,
stapley,
goyleses,
francois,
northumberland,
herald,
officers,
ii,
glibbery,
attenbury,
high,
wigmore,
gawd,
murphy,
wiggy,
cluer,
sugg,
palmerston,
shugg,
