character1,character2,count
Miss Lydia Brigette,Moses,28
Miss Lydia Brigette,Moses Brigette,28
Moses,Moses Brigette,28
Mother (of Jake),Mr. Gerald,25
Lady Mudstains,Lady Mudstains Gargoyles,24
lochinvar,tom,24
Sir Farmer,Sir Farmer Arbuthnot,20
Lady Mudstains,Mother (of Jake),17
Bach Ii,Miss Lydia Brigette,15
Lady Mudstains Gargoyles,Mother (of Jake),15
Bach Ii,ii,14
Detective Inspector Marchbanks,Lady Mudstains,14
Detective Inspector Marchbanks,Lady Mudstains Gargoyles,14
Jake Gargoyles,Lady Mudstains Gargoyles,14
Jake Gargoyles,Mother (of Jake),14
Inquest,Miss Lydia Brigette,12
Lady Mudstains,Miss Lydia Brigette,12
Bach Brigette,Bach Ii,11
Bach Brigette,Miss Lydia Brigette,11
Detective Inspector Marchbanks,Mother (of Jake),11
Sir Conchy,Sir Conchy Of,10
Lady Mudstains Gargoyles,Miss Lydia Brigette,9
Mother (of Jake),d,9
Charles Marchbanks,Detective Inspector Marchbanks,8
Detective Inspector Marchbanks,Miss Lydia Brigette,8
Inquest,Turgeot,8
Lady Mudstains,d,8
Detective Inspector Marchbanks,cat,7
Sir Conchy,Sir Farmer,7
Bar,Lady Mudstains,6
Lady Mudstains,Mother,6
Lady Mudstains,Zedekiah,6
Lady Mudstains Gargoyles,Turgeot,6
Miss Lydia Brigette,Montague Mester,6
Moses,Turgeot,6
Turgeot,d,6
Bar,d,5
Bar,lochinvar,5
Bar,tom,5
DENIS CATHCART,Mr. Gerald,5
Detective Inspector Marchbanks,notes,5
Farmer Counsel,Sir Farmer,5
James,James Perkins,5
Lady Mudstains,cat,5
Lydia,Miss Lydia Brigette,5
Miss Lydia Brigette,Sir Farmer,5
Miss Lydia Brigette,Turgeot,5
Miss Lydia Brigette,d,5
Mother (of Jake),blood,5
Turgeot,Zedekiah,5
Zedekiah,d,5
cat,ii,5
Bach Ii,Detective Inspector Marchbanks,4
Bach Ii,cat,4
Chesterton,Farmer Counsel,4
Detective Inspector Marchbanks,Eliza Robinson Riddlesdale,4
Detective Inspector Marchbanks,John,4
Detective Inspector Marchbanks,Mr. John Marchbanks,4
Detective Inspector Marchbanks,high,4
Eliza KAI-LUNG,Smith Kailung Watson,4
Eliza Robinson Riddlesdale,Inquest,4
Farmer Counsel,Miss Lydia Brigette,4
Farmer Counsel,lochinvar,4
Farmer Counsel,tom,4
Inquest,Lady Mudstains,4
Inquest,Lady Mudstains Gargoyles,4
Inquest,tom,4
John,Mr. John Marchbanks,4
