node,is_victim,pagerank,victim_connection_weight,degree,strength
Adler,0,0.0022758570391979904,1,3,3.0
Affleck,0,0.0025614982135767203,0,3,3.0
Arquette Atkinson,0,0.003922843753308345,0,1,2.0
Baldwin,0,0.0015555806862349092,0,1,1.0
Beales,0,0.005720750802734092,0,4,5.0
Beales Penn,0,0.0025280912824918065,0,2,2.0
Beales Schumer,0,0.006336341564458434,0,2,4.0
Bean,0,0.06463319566758001,4,42,137.0
Beckham,0,0.005848661231891014,0,1,1.0
Benning,0,0.004218824344550493,0,2,4.0
Black,0,0.007893221523471694,2,11,14.0
Blunt,0,0.005132774230851177,2,6,10.0
Blythe Williams,0,0.0016552943998367601,0,1,1.0
Bohemian,0,0.021865373928078358,28,14,53.0
Bohemian Zeta.,1,0.05400633771646,0,33,129.0
Bonham,0,0.006290349573160681,0,8,8.0
Boomer,0,0.006290349573160681,0,8,8.0
Brolin Redford,0,0.0066219020436701585,1,10,13.0
Brooks,0,0.0024581653868355267,0,3,3.0
Brosnan Gable,0,0.006521754474625716,0,5,9.0
Bruce,0,0.0033584440819716607,0,2,4.0
Bruce Heard,0,0.002269248852417846,0,2,2.0
Bullock,0,0.001964604846184672,0,2,2.0
Burnett,0,0.007575757575757576,0,1,1.0
Campbell,0,0.001526339036166551,0,1,1.0
Carpenter,0,0.0015829789410355159,0,1,1.0
Charles,0,0.002836927600576832,0,4,4.0
Charles Jagger,0,0.005307148269538937,0,5,10.0
Cheadle Washington,0,0.003237221181944294,0,1,2.0
Cher,0,0.0019017502862379231,0,1,1.0
Connelly,0,0.007326106856466872,2,9,12.0
Connelly Quaid Barlow,0,0.007455954361639066,2,7,14.0
Corbin,0,0.009860625436769866,0,9,13.0
Cummings,0,0.002543124655566371,0,2,3.0
Day,0,0.022004642762273253,6,29,45.0
Devine,0,0.006290349573160681,0,8,8.0
Dr. Kauffman,0,0.003594023727327201,0,3,6.0
Dunst,0,0.0016639643435747758,0,1,1.0
Elgort,0,0.0059031877213695395,0,2,2.0
Elliott,0,0.0026991388532040285,0,2,2.0
Elliott Cage,0,0.0026991388532040285,0,2,2.0
Emmerich,0,0.0069503026935854115,0,8,9.0
Fanning,0,0.011029950263490703,0,2,2.0
Firth,0,0.002394014785977455,0,1,3.0
Gad,0,0.001986601285047164,0,1,2.0
Gadot,0,0.0016020621641640522,0,1,1.0
Gaye Barrymore,0,0.0020834958106073394,0,2,2.0
Gere,0,0.002851217963402795,0,2,2.0
Giamatti,0,0.0031818736317754904,0,4,4.0
Green,0,0.011034058438316478,0,10,21.0
Hanks,0,0.005715328703439847,0,7,9.0
Hawke Kline,0,0.007575757575757576,0,1,1.0
Hemsworth,0,0.008412042502951593,0,2,3.0
Hiddleston,0,0.0015555806862349092,0,1,1.0
Hill,0,0.0015565129040836922,0,1,1.0
Hudson,0,0.006290349573160681,0,8,8.0
Iger,0,0.012511296001727554,1,13,26.0
Iger Christenson,0,0.010380813199423293,6,10,23.0
Inspector Caine,0,0.0024169059186319,1,3,3.0
JUDGE Teller,0,0.0019565889984202826,0,2,2.0
James,0,0.011837423496518399,2,12,20.0
James Franco,0,0.005946015443971994,1,8,11.0
Jett,0,0.001526339036166551,0,1,1.0
Johansson.Woodley,0,0.003829441699435706,0,1,2.0
Jolie,0,0.004995719471305169,0,3,3.0
Jordan,0,0.0043747107876894635,0,6,7.0
Kidman,0,0.007575757575757576,0,1,1.0
Kimmel,0,0.0021915650507859153,0,1,2.0
Kimmel Nixon,0,0.015517706616310998,3,15,25.0
Knopfler Pugh,0,0.005848661231891014,0,1,1.0
Lady Travolta,0,0.04751944190926413,7,30,111.0
Lady Travolta Pitt,0,0.0426679408903899,5,29,93.0
Lautner,0,0.0017810950334199319,0,1,1.0
Lawrence,0,0.004218824344550493,0,2,4.0
Ledger,0,0.0015375706706598216,0,1,1.0
Lewis,0,0.0033786708844573523,0,4,4.0
Lively,0,0.008075427845200276,3,11,18.0
Mckellen,0,0.002212052537415354,0,1,1.0
Mendes Choi,0,0.0018428889877372527,1,2,2.0
Meryl,0,0.00504083701978003,0,5,8.0
Miller,0,0.0015373719485490098,0,1,1.0
Miss Zane,0,0.004642988291874747,0,5,9.0
Moore Atkinson,0,0.003922843753308345,0,1,2.0
Mr. Ashley Washington,0,0.0049432015045465785,0,2,4.0
Mr. Barr,0,0.0031818736317754904,0,4,4.0
Mr. Blunt Jagger,0,0.04981303740516741,6,38,101.0
Mr. Capshaw,0,0.023726153570162046,0,14,48.0
Mr. Plummer,0,0.008173202861356338,0,11,18.0
Mr. Portman,0,0.0061345831421177055,1,5,10.0
Mrs. Blige,0,0.005277248858654296,4,7,11.0
Mullen,0,0.008412042502951593,0,2,3.0
Murdoch,0,0.0015565129040836922,0,1,1.0
Nicholson Calloway,0,0.0036963643354056023,0,5,6.0
Norton,0,0.0045022982050479735,0,3,5.0
O'brien,0,0.0023682478914414298,0,1,2.0
O'dowd,0,0.0069503026935854115,0,8,9.0
O'neal,0,0.004711958188284808,0,4,8.0
Oldman,0,0.0015373719485490098,0,1,1.0
Paley,0,0.0075747195025832135,0,7,15.0
Palmer,0,0.0195054503043784,5,19,39.0
Paltrow Brown,0,0.0025518161611681094,0,1,1.0
Paltrow Jagger,0,0.0015555806862349092,0,1,1.0
Paltrow Phillips,0,0.0014922180468640582,1,1,1.0
Paltrow Rock,0,0.0024178388186239224,0,3,3.0
Paltrow Thomas Atkinson,0,0.00819228258224312,0,3,5.0
Paltrow Zeta.,0,0.009189879309560285,12,4,21.0
Parker,0,0.005031331963351193,0,5,9.0
Pearson,0,0.019684671845667218,5,18,43.0
Perry,0,0.007575757575757576,0,1,1.0
Quaid,0,0.006187706218027002,2,7,12.0
Roberts,0,0.007575757575757576,0,1,1.0
Ronan,0,0.002851217963402795,0,2,2.0
Rudd,0,0.005369004440973532,4,4,11.0
Saldana,0,0.01424486501191328,2,15,26.0
Segel,0,0.0020649726557601493,0,2,2.0
Sheen,0,0.0015373719485490098,0,1,1.0
Shyamalan,0,0.002976934985509873,0,2,2.0
Sir Armstrong,0,0.021117318960642274,3,19,53.0
Sir Armstrong Efron,0,0.01504990595856343,0,12,39.0
Sir O'hara,0,0.010651980694356354,1,7,27.0
Sir O'hara Ziegler,0,0.008354748301365598,1,5,21.0
Sutherland,0,0.003796558648991943,0,2,3.0
Swift,0,0.006796082880447462,0,9,9.0
Taika Kutcher,0,0.0026022526133253608,0,3,3.0
Theron,0,0.007575757575757576,0,1,1.0
Tyrese,0,0.0020166061765469973,0,2,2.0
Vance,0,0.00762356648153487,0,8,10.0
Waller,0,0.0038388623285272785,0,4,6.0
Wood,0,0.010279802077294089,0,12,16.0
Wright,0,0.002193001369424793,0,2,2.0
Young,0,0.017464316606266298,4,15,37.0
Zendaya,0,0.0026315692083013114,0,3,3.0
