char_id,name,story_title
1,Parasha Prokofitch,Crime and Punishment
2,Aniska Pavlitch,Crime and Punishment
3,Fomitch,Crime and Punishment
4,Nikodim,Crime and Punishment
5,Alyona,Crime and Punishment
6,Lycurgus,Crime and Punishment
7,Semyon,Crime and Punishment
8,Alyoshka I.,Crime and Punishment
9,Vasya Kapernaumovs,Crime and Punishment
10,Rodion,Crime and Punishment
11,Berg,Crime and Punishment
12,Semyonovna,Crime and Punishment
13,Petrovna,Crime and Punishment
14,Prokofitch,Crime and Punishment
15,Porfiry,Crime and Punishment
16,Yushin,Crime and Punishment
17,Tit Hatter,Crime and Punishment
18,Tit,Crime and Punishment
19,Schiller,Crime and Punishment
20,Petrovitch,Crime and Punishment
21,Fourier Radishchev,Crime and Punishment
22,Afanasy,Crime and Punishment
23,Alyona Radishchev,Crime and Punishment
24,Kobilatnikov,Crime and Punishment
25,Filka,Crime and Punishment
26,Lebeziatnikov Radishchev,Crime and Punishment
27,Mr. Filka,Crime and Punishment
28,my wife,Crime and Punishment
29,Radishchev,Crime and Punishment
30,Svidrigailov,Crime and Punishment
31,Lebeziatnikov,Crime and Punishment
32,Blanc,Crime and Punishment
33,Afrosinya Philip,Crime and Punishment
34,Rororodionovitch Lippevechsel,Crime and Punishment
35,Prilukov Tolstyakov,Crime and Punishment
36,Kobelev Pfoo,Crime and Punishment
37,Darya,Crime and Punishment
38,Afrosinya Krestovsky,Crime and Punishment
39,Kryukov Babushkin,Crime and Punishment
40,Grigoryev,Crime and Punishment
41,Kobelev Svidrigailov,Crime and Punishment
42,Frantsovna,Crime and Punishment
43,Potanchikov Luise,Crime and Punishment
44,Luzhin,Crime and Punishment
45,Schegolskoy,Crime and Punishment
46,Svidrigaïlov,Crime and Punishment
47,Pestryakov Wagner,Crime and Punishment
48,Mr. Svidrigaïlov,Crime and Punishment
49,hegolskoy,Crime and Punishment
50,Tfoo Byelinsky Pavlovna,Crime and Punishment
51,Tfoo Byelinsky,Crime and Punishment
52,Rodya Rousseau,Crime and Punishment
53,Razumihin Schiller,Crime and Punishment
54,Mr. Pavlovna,Crime and Punishment
55,Kolya Raphael,Crime and Punishment
56,Pavlovna,Crime and Punishment
57,Mihail Alexey Schiller,Crime and Punishment
58,Blanc Kobilatnikov,Crime and Punishment
59,Schiegolskoy,Crime and Punishment
60,Mangot,Crime and Punishment
61,Kepler,Crime and Punishment
62,Svidrigaïlovs,Crime and Punishment
63,Rodya Rousseau Mangot,Crime and Punishment
64,the gentleman,Crime and Punishment
65,the constable,Crime and Punishment
66,Pashenka,Crime and Punishment
67,Vassilyevsky Ostrov,Crime and Punishment
68,Lesser Harkov,Crime and Punishment
69,Marmeladovs,Crime and Punishment
70,Achilles,Crime and Punishment
71,father,Crime and Punishment
72,grandmother,Crime and Punishment
73,brother,Crime and Punishment
74,Razsudkin,Crime and Punishment
75,Afanasyvitch,Crime and Punishment
76,Father,Crime and Punishment
77,Petrovitch Radishchev,Crime and Punishment
78,_he_,Crime and Punishment
79,she,Crime and Punishment
80,He,Crime and Punishment
81,he,Crime and Punishment
82,Yusupov,Crime and Punishment
83,Mihailovsky,Crime and Punishment
84,old woman,Crime and Punishment
85,The old woman,Crime and Punishment
86,Sonia,Crime and Punishment
87,Vahrushin,Crime and Punishment
88,Vahrushin--aie,Crime and Punishment
89,Papa,Crime and Punishment
90,landlady,Crime and Punishment
91,d,Crime and Punishment
92,the man,Crime and Punishment
93,Semyonova Radishchev,Crime and Punishment
94,the student,Crime and Punishment
95,Alexandr Grigorievitch,Crime and Punishment
96,Lewes,Crime and Punishment
97,Vrazumihin,Crime and Punishment
